UPC,Price,Variant,Source Link
0889007001971,5.65,Junior,https://www.levenger.com/products/circa-vivacious-pocket-dividers-set-of-5?variant=42488748834965
0889007001988,6.65,Letter,https://www.levenger.com/products/circa-vivacious-pocket-dividers-set-of-5?variant=42514476957845
0889007585167,9.75,Default Title,https://www.levenger.com/products/3x5-lined-notecards-100?variant=42485498314901
0889007591212,49.75,Black,https://www.levenger.com/products/getaway-phone-ticket-wallet?variant=42486662135957
0889007004477,6.75,Default Title,https://www.levenger.com/products/circa-smarttabs?variant=42485361279125
0889007698997,19.75,Junior,https://www.levenger.com/products/circa-tea-and-roses-annotation-ruled-refill-300-sheets?variant=45592952275093
0889007697488,99.65,Mocha,https://www.levenger.com/products/leather-book-butler?variant=45501196894357
0889007640286,99.50,Pine,https://www.levenger.com/products/getaway-phone-ticket-wallet?variant=42556716875925
0889007698621,12.75,Default Title,https://www.levenger.com/products/under-the-sea-3-x-5-to-do-cards-set-of-100?variant=45549444202645
0889007699000,21.75,Letter,https://www.levenger.com/products/circa-tea-and-roses-annotation-ruled-refill-300-sheets?variant=45592952438933
0889007591205,99.50,Chili Pepper,https://www.levenger.com/products/getaway-phone-ticket-wallet?variant=42556716777621
0889007696443,4.85,Midway,https://www.levenger.com/products/circa-colorfull-keep-and-share-refill-50-sheets?variant=45440149192853
0889007640279,99.50,Grape,https://www.levenger.com/products/getaway-phone-ticket-wallet?variant=42556716843157
0889007697228,49.65,Junior,https://www.levenger.com/products/highlands-canvas-writers-folio?variant=45488018817173
0889007697051,9.75,Midway,https://www.levenger.com/products/circa-secret-garden-weekly-monthly-undated-agenda-refill-40-sheets?variant=45479387857045
0889007697174,29.75,Default Title,https://www.levenger.com/products/highlands-canvas-eyeglass-case?variant=45487917269141
0889007056759,89.65,Default Title,https://www.levenger.com/products/executive-zip-folio-letter-black?variant=42485771337877
0889007696405,8.95,Midway,https://www.levenger.com/products/circa-colorfull-weekly-monthly-undated-agenda-refill-40-sheets?variant=45440160071829
0889007700584,9.75,Midway,https://www.levenger.com/products/circa-greenleaves-daily-planner-discbound-refill-50-sheets?variant=45630700454037
0889007695392,21.75,1 1/2 Inch,https://www.levenger.com/products/satine-aluminum-circa-discs-set-of-11?variant=45423461662869
0842967121653,10.95,Default Title,https://www.levenger.com/products/rifle-paper-co-garden-party-gift-stickers?variant=45437439508629
0889007636029,6.75,Default Title,https://www.levenger.com/products/circa-jotlet-full-page-dot-grid-100-sheets?variant=42485779792021
0720158335242,69.85,Default Title,https://www.levenger.com/products/sensa-presidents-limited-edition-ballpoint-pen?variant=45437425057941
0889007697808,159.50,Navy,https://www.levenger.com/products/carrie-convertible-clutch?variant=45771372953749
0021274059457,349.95,White / Medium,https://www.levenger.com/products/lamy-dialog-cc-fountain-pen?variant=42911864651925
0889007696696,4.85,Midway,https://www.levenger.com/products/circa-lemonade-to-do-refill-50-sheets?variant=45437462610069
0889007698638,9.85,Default Title,https://www.levenger.com/products/vibrant-color-gradient-ruled-3-x-5-cards-set-of-100?variant=45549444563093
0889007696375,4.85,Midway,https://www.levenger.com/products/circa-lemonade-keep-and-share-refill-50-sheets?variant=45581717209237
0889007633783,32.65,Dark Cherry,https://www.levenger.com/products/cubi-bookcase-shelves-set-of-2?variant=42514089476245
0889007490300,22.50,1 1/2 Inch,https://www.levenger.com/products/translucent-circa-discs-set-of-22?variant=42513344102549
