UPC,Price,Variant,Source Link
0753951039819,137.75,Rollerball,https://www.levenger.com/products/estie-raven-pen?variant=43995935342741
0889007682798,84.65,Black / Letter,https://www.levenger.com/products/tuckaway-leather-folio?variant=43670024618133
3597390165985,99.95,Black,https://www.levenger.com/products/s-t-dupont-medium-ballpoint-refills-10-pack?variant=42547642073237
4012700825131,199.95,Medium,https://www.levenger.com/products/pelikan-classic-m200-orange-delight-fountain-pen?variant=44079343370389
0889007706500,29.00,Default Title,https://www.levenger.com/products/circa-mystery-box?variant=46186436886677
0889007706517,49.00,Default Title,https://www.levenger.com/products/writer-s-mystery-box?variant=46186436591765
8033231950235,159.75,Ballpoint,https://www.levenger.com/products/montegrappa-elmo-01-frost-pen?variant=45305290391701
0889007683818,48.00,Medium,https://www.levenger.com/products/true-writer-classic-elements-water-fountain-pen?variant=43819184488597
0889007702908,4.75,Default Title,https://www.levenger.com/products/25-three-ring-annotation-ruled-sheets?variant=45798144049301
0889007706524,79.00,Default Title,https://www.levenger.com/products/leather-mystery-box?variant=46186435149973
0073228029818,69.95,Ballpoint,https://www.levenger.com/products/cross-century-ii-chrome-pen?variant=44389765316757
8033231111162,49.85,Black,https://www.levenger.com/products/montegrappa-large-ballpoint-refills-pack-of-10?variant=42547701579925
4012700823915,199.85,Fine,https://www.levenger.com/products/pelikan-classic-m205-rose-quartz-fountain-pen-set?variant=44156500705429
8033231950228,159.75,Ballpoint,https://www.levenger.com/products/montegrappa-elmo-01-peach-fuzz-pen?variant=45305291276437
7610186904226,12.50,Blue,https://www.levenger.com/products/caran-dache-goliath-ballpoint-refill-medium?variant=42514202951829
0889007707514,74.75,Default Title,https://www.levenger.com/products/luxe-desk-pad-midnight-blue-final-clearance?variant=46334066983061
0720158335112,63.85,Green,https://www.levenger.com/products/sensa-modern-classic-ballpoint-pen?variant=45191340589205
0889007707996,135.00,Default Title,https://www.levenger.com/products/elox-grey-ring-pen-rollerball-final-clearance?variant=46349402538133
4012700823014,229.95,Medium,https://www.levenger.com/products/pelikan-classic-m200-pastel-blue-fountain-pen?variant=44079349137557
8033549718381,3.95,Default Title,https://www.levenger.com/products/pininfarina-grafeex-tip-replacement-set-of-2?variant=43417001820309
0889007631574,19.95,Saddle,https://www.levenger.com/products/smooth-leather-circa-jotlet-w-levenger-logo?variant=46326549315733
0889007681104,89.75,Default Title,https://www.levenger.com/products/bomber-jacket-softolio-2-0-mocha-letter?variant=43600440983701
0074040015409,49.95,Rollerball,https://www.levenger.com/products/sheaffer-100-glossy-black-with-gold-trim-pen?variant=43651776741525
0889007703868,142.50,Default Title,https://www.levenger.com/products/excellence-a2-guilloche-pen?variant=45901730840725
0073228038452,124.75,Rollerball,https://www.levenger.com/products/cross-townsend-chrome-pen?variant=44785512186005
0889007708009,100.00,Default Title,https://www.levenger.com/products/esteem-fountain-pen-black-fine-final-clearance?variant=46349402570901
0073228015224,69.85,Rollerball,https://www.levenger.com/products/cross-century-ii-chrome-pen?variant=43995942256789
4012700823922,199.85,Medium,https://www.levenger.com/products/pelikan-classic-m205-rose-quartz-fountain-pen-set?variant=44156501393557
8033231950204,169.75,Rollerball,https://www.levenger.com/products/montegrappa-elmo-01-peach-fuzz-pen?variant=45305292619925
0073228146959,89.85,Beige / Ballpoint,https://www.levenger.com/products/cross-century-ii-special-edition-pen?variant=44785501110421
0889007706890,171.00,Default Title,https://www.levenger.com/products/bomber-jacket-expandable-brief-2-0-mocha-final-clearance?variant=46291866878101
0889007683504,7.00,Default Title,https://www.levenger.com/products/special-request-circa-full-page-grid-refill-compact-100-sheets?variant=43733692547221
0889007685003,11.50,Default Title,https://www.levenger.com/products/special-request-3-ring-full-page-ruled-refill-100-sheets?variant=43851838554261
0889007708023,34.75,Default Title,https://www.levenger.com/products/circa-midway-leather-foldover-cover-pine-final-clearance?variant=46349402603669
0889007707934,129.50,Default Title,https://www.levenger.com/products/majorca-briefbag-grape-final-clearance?variant=46349392314517
0889007708047,59.50,Default Title,https://www.levenger.com/products/peoples-of-the-world-ballpoint-pen-yellow-final-clearance?variant=46349402636437
0073228132853,109.95,Rollerball,https://www.levenger.com/products/cross-century-ii-pearlescent-white-lacquer-pen?variant=45343870255253
0889007707989,74.75,Default Title,https://www.levenger.com/products/dakota-bedside-companion-final-clearance?variant=46349402407061
3700285225491,10.85,Black,https://www.levenger.com/products/recife-riviera-shakin-ballpoint-refills?variant=42547717931157
0889007706548,140.00,Default Title,https://www.levenger.com/products/classic-m205-rose-quartz-fountain-pen-set?variant=46207737102485
