UPC,Price,Variant,Source Link
0731851913958,193.50,Default Title,https://www.levenger.com/products/leboeuf-mark-twain-rollerball-pen?variant=45856986300565
0073228038452,124.75,Rollerball,https://www.levenger.com/products/cross-townsend-chrome-pen?variant=44785512186005
0720158335075,193.50,Default Title,https://www.levenger.com/products/leboeuf-james-madison-rollerball-pen?variant=45191319093397
4260423844582,320.00,Blue / Ballpoint,https://www.levenger.com/products/waldmann-xetra-vienna-s-e-pen?variant=43352152277141
0080333722176,89.10,Ballpoint,https://www.levenger.com/products/conklin-endura-deco-crest-demo-blue-pen?variant=45560706826389
0080333722183,107.10,Rollerball,https://www.levenger.com/products/conklin-endura-deco-crest-demo-blue-pen?variant=45560708104341
4260423844674,320.00,Blue / Rollerball,https://www.levenger.com/products/waldmann-xetra-vienna-s-e-pen?variant=43352153292949
4260423844698,320.00,Green / Ballpoint,https://www.levenger.com/products/waldmann-xetra-vienna-s-e-pen?variant=43352153456789
4260423844780,320.00,Green / Rollerball,https://www.levenger.com/products/waldmann-xetra-vienna-s-e-pen?variant=43352153555093
4260423844919,320.00,Pink / Ballpoint,https://www.levenger.com/products/waldmann-xetra-vienna-s-e-pen?variant=43352153718933
4260423844674,320.00,Pink / Rollerball,https://www.levenger.com/products/waldmann-xetra-vienna-s-e-pen?variant=43352153882773
9783836584319,44.85,Default Title,https://www.levenger.com/products/great-escapes-usa-the-hotel-book?variant=45630645338261
4009746018993,148.50,Black / Ballpoint,https://www.levenger.com/products/diplomat-esteem-pen?variant=45521379557525
4009746018986,171.00,Black / Rollerball,https://www.levenger.com/products/diplomat-esteem-pen?variant=45521379786901
4009746019150,79.20,Blue / Ballpoint,https://www.levenger.com/products/diplomat-esteem-pen?variant=45521380049045
4009746019143,94.50,Blue / Rollerball,https://www.levenger.com/products/diplomat-esteem-pen?variant=45521380212885
8033231950105,179.75,Medium,https://www.levenger.com/products/montegrappa-elmo-01-peach-fuzz-fountain-pen?variant=45305292193941
4009746019259,184.50,Ballpoint,https://www.levenger.com/products/diplomat-aero-midnight-blue-pen?variant=45539154722965
4009746018528,229.50,Ballpoint,https://www.levenger.com/products/diplomat-elox-grey-ring-pen?variant=45191343833237
0611959756995,103.95,Default Title,https://www.levenger.com/products/the-great-gatsby-book?variant=45407332401301
0731851913910,202.50,Fine,https://www.levenger.com/products/leboeuf-yellow-brick-road-fountain-pen?variant=45788587131029
