UPC,Price,Variation,Source Link
197868649882,62.65,"See Her Run - Medium Wash, 4X",https://www.levi.com/US/en_US/clothing/women/outerwear/original-trucker-jacket-plus-size/p/A84920002
198402567440,68.6,"Travertine - White, 34W X 30L",https://www.levi.com/US/en_US/clothing/women/pants/90s-straight-womens-pants/p/001VV0001
198402909080,62.65,"Switch Stitch - Medium Wash, 4X",https://www.levi.com/US/en_US/clothing/women/outerwear/90s-trucker-jacket-plus-size/p/A19920015
198627602995,29.5,"Medium Heather Gray - Grey, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/essential-short-sleeve-tee/p/A93280021
198627604517,29.5,"Chambray Blue - Blue, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/essential-short-sleeve-tee/p/A93280022
197667781875,41.65,"Olive - Green, 33",https://www.levi.com/US/en_US/clothing/women/dresses-skirts/94-cargo-mini-skirt/p/A75200001
198627698691,17.15,"Bright White - White, 4X",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/perfect-logo-t-shirt-plus-size/p/357900412
198627349159,20.65,"Pirate Black - Black, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/graphic-classic-t-shirt/p/A22260136
198402560359,48.65,"Eternal Indigo - Medium Wash, 26M",https://www.levi.com/US/en_US/clothing/women/jeans/bootcut/726-high-rise-flare-womens-jeans-plus-size/p/A36250015
196978668899,38.15,"Caviar - Black, XXL",https://www.levi.com/US/en_US/clothing/women/sweaters-sweatshirts/everyday-sweatshirt/p/A59420004
198627038152,41.65,"Soft Black, 26",https://www.levi.com/US/en_US/clothing/women/jeans/skinny/311-shaping-skinny-capri-womens-jeans-plus-size/p/A01260020
196978554635,41.65,"Lapis - Medium Wash, 34W X 30L",https://www.levi.com/US/en_US/clothing/women/jeans/taper/boyfriend-mid-rise-womens-jeans/p/198870218
196524390984,41.65,"Lapis Level - Light Wash, 26",https://www.levi.com/US/en_US/clothing/women/plus-size/jeans/311-shaping-skinny-capri-womens-jeans-plus-size/p/A01260010
197667719960,41.65,"Working Late - Medium Wash, 34W X 27L",https://www.levi.com/US/en_US/clothing/women/jeans/taper/boyfriend-mid-rise-womens-jeans/p/198870321
196978555038,41.65,"Lapis Gem - Medium Wash, 34W X 30L",https://www.levi.com/US/en_US/clothing/women/jeans/taper/boyfriend-mid-rise-womens-jeans/p/198870225
197667715276,55.65,"Caution Hot Pants - Medium Wash, 34W X 31L",https://www.levi.com/US/en_US/clothing/women/jeans/94-baggy-womens-jeans/p/A35100029
192531494707,24.5,"White, 4X",https://www.levi.com/US/en_US/clothing/women/plus-size/tops/levis-logo-perfect-t-shirt-plus-size/p/357900000
196978555434,41.65,"Cobalt Layer - Dark Wash, 34W X 30L",https://www.levi.com/US/en_US/clothing/women/jeans/taper/boyfriend-mid-rise-womens-jeans/p/198870164
198627623907,41.65,"Grape Leaf Camo - Green, 34",https://www.levi.com/US/en_US/clothing/women/dresses-skirts/94-cargo-mini-skirt/p/A75200014
197667802327,55.65,"Mastermind - Medium Wash, 34W X 31L",https://www.levi.com/US/en_US/clothing/women/jeans/94-baggy-womens-jeans/p/A35100028
198627286379,20.65,"Mazarine Blue, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/crystal-ruched-top/p/003QL0003
198627349203,17.15,"Moody Cowboy Hat - White, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/perfect-t-shirt/p/173693278
197868571947,29.5,"White, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/essential-short-sleeve-t-shirt/p/A93280000
198627873722,48.65,"Soft Black - Black, 34W X 34L",https://www.levi.com/US/en_US/clothing/women/jeans/straight/314-shaping-tailored-womens-jeans/p/003KS0000
198627285570,20.65,"Sea Moss - Green, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/crystal-ruched-top/p/003QL0002
198627559893,48.65,"Eternal Indigo Mid - Medium Wash, 26L",https://www.levi.com/US/en_US/clothing/women/plus-size/jeans/314-shaping-straight-womens-jeans-plus-size/p/196410062
197667812616,48.65,"Zealous Blue - Dark Wash, 26S",https://www.levi.com/US/en_US/clothing/women/plus-size/jeans/314-shaping-straight-womens-jeans-plus-size/p/196410059
198627287352,20.65,"Anthracite Night - Black, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/crystal-ruched-top/p/003QL0001
198114012399,55.65,"Ermine - Green, 33",https://www.levi.com/US/en_US/clothing/women/dresses-skirts/surplus-skirt/p/A86960002
196978555069,41.65,"Simply White, 34W X 30L",https://www.levi.com/US/en_US/clothing/women/jeans/boyfriend/boyfriend-mid-rise-womens-jeans/p/198870306
197282925678,48.65,"Soft Black, 26S",https://www.levi.com/US/en_US/clothing/women/plus-size/jeans/314-shaping-straight-womens-jeans-plus-size/p/196410058
198402658728,20.65,"Love Is A State Of Mind - White, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/graphic-short-stack-t-shirt/p/A49240079
198627481385,41.65,"Soft As Butter - Medium Wash, 4X",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/moxie-blouse-plus-size/p/004KA0001
198627505920,41.65,"Mood Yellow - Yellow, XL",https://www.levi.com/US/en_US/clothing/women/sweaters-sweatshirts/supersoft-crewneck-cardigan/p/0037P0011
198402650111,20.65,"Anthracite Night - Black, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/hayes-long-sleeve-t-shirt/p/001J40004
197667781950,41.65,"Safari - Tan, 34",https://www.levi.com/US/en_US/clothing/women/dresses-skirts/94-cargo-mini-skirt/p/A75200002
198114048060,62.65,"Road Less Traveled - Black, 4X",https://www.levi.com/US/en_US/clothing/women/outerwear/90s-trucker-jacket-plus-size/p/A19920013
197667548607,48.65,"Bright White, XXL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/doreen-linen-blend-utility-shirt/p/A74670006
197667785835,62.65,"Turning Heads - Light Wash, 4X",https://www.levi.com/US/en_US/clothing/women/plus-size/90s-trucker-jacket-plus-size/p/A19920009
197868592652,29.5,"Vintage White, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/graphic-iconic-t-shirt/p/A88020000
197868572524,29.5,"Black, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/essential-short-sleeve-t-shirt/p/A93280001
198627286942,20.65,"Sugar Swizzle - White, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/crystal-ruched-top/p/003QL0000
198627619658,48.65,"Eternal Indigo Light - Light Wash, 26S",https://www.levi.com/US/en_US/clothing/women/jeans/bootcut/726-high-rise-flare-womens-jeans-plus-size/p/A36250018
198402569550,29.5,"Safari - Tan, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/dreamy-tank-top/p/A73260011
198402525365,68.6,"Breezy India Ink - Blue, 34W X 30L",https://www.levi.com/US/en_US/clothing/women/pants/90s-straight-lightweight-womens-pants/p/001VV0004
196978600301,41.65,"Night Is Young - Black, 34W X 30L",https://www.levi.com/US/en_US/clothing/women/jeans/taper/boyfriend-mid-rise-womens-jeans/p/198870242
198627620425,48.65,"Hint Of Tint - Medium Wash, 26S",https://www.levi.com/US/en_US/clothing/women/jeans/bootcut/725-high-rise-bootcut-womens-jeans-plus-size/p/868930041
198114212133,24.15,"Vanilla Stripe Spellbound - Black, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/muse-long-sleeve-t-shirt/p/A87830006
198402649375,20.65,"White, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/hayes-long-sleeve-t-shirt/p/001J40003
198402525556,68.6,"Breezy Ecru - White, 34W X 30L",https://www.levi.com/US/en_US/clothing/women/pants/90s-straight-lightweight-womens-pants/p/001VV0005
198627714629,17.15,"Anthracite Night - Black, 4X",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/perfect-logo-t-shirt-plus-size/p/357900413
198627650507,48.65,"Eternal Indigo Dark - Dark Wash, 26S",https://www.levi.com/US/en_US/clothing/women/jeans/bootcut/726-high-rise-flare-womens-jeans-plus-size/p/A36250017
197667857204,29.5,"White, XXL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/dreamy-tank-top/p/A73260001
198627878420,48.65,"Rolling River - Dark Wash, 34W X 34L",https://www.levi.com/US/en_US/clothing/women/jeans/straight/314-shaping-tailored-womens-jeans/p/003KS0001
198627879304,48.65,"Is It Denim - Dark Wash, 34W X 34L",https://www.levi.com/US/en_US/clothing/women/jeans/bootcut/725-heritage-bootcut-zip-womens-jeans/p/A49620003
198402544441,48.65,"Eternal Indigo - Dark Wash, 26L",https://www.levi.com/US/en_US/clothing/women/jeans/bootcut/725-high-rise-bootcut-womens-jeans-plus-size/p/868930036
198402542454,48.65,"Eternal Indigo - Dark Wash, 26L",https://www.levi.com/US/en_US/clothing/women/jeans/skinny/721-high-rise-skinny-womens-jeans-plus-size/p/833680107
198627483372,17.15,"Sugar Swizzle - Blue, XL",https://www.levi.com/US/en_US/clothing/women/shirts-blouses-tops/graphic-essential-racer-tank/p/003QP0000
