UPC,Price,Variant,Source Link
0773602134021,25,Creamy beige,https://www.maccosmetics.com/product/13840/363/products/makeup/eyes/eyeshadow/eye-shadow
0773602044467,32,Muted golden brown (matte),https://www.maccosmetics.com/product/13842/329/products/makeup/face/blush-bronzer/powder-blush
0773602001446,25,Soft pinkish-beige,https://www.maccosmetics.com/product/13840/363/products/makeup/eyes/eyeshadow/eye-shadow
0773602089734,16.8,Rich coffee bean brown,https://www.maccosmetics.com/product/13838/323/products/makeup/eyes/eyeliner/eye-kohl
0773602023172,29.4,,https://www.maccosmetics.com/product/13805/285/products/brushes-tools/brushes/face-brushes/190-synthetic-foundation-brush
0773602663606,25,Pale peachy beige ,https://www.maccosmetics.com/product/13854/128593/products/makeup/lips/lipstick/macximal-sleek-satin-lipstick
0773602685158,25,Light beige toned rose,https://www.maccosmetics.com/product/13854/123863/products/makeup/lips/lipstick/macximal-silky-matte-lipstick
0773602784936,32,,https://www.maccosmetics.com/product/13851/140989/products/makeup/lips/lip-palettes-kits/lip-combo-by-alexconsani
0773602720590,17.5,Warm Orchid ,https://www.maccosmetics.com/product/13854/126057/products/makeup/lips/lipstick/amplified-creme-lipstick-mac-40-lipstick-bringbacks-in-up-the-amp
0773602659333,27,Bright coral pink,https://www.maccosmetics.com/product/13854/88565/products/makeup/lips/lipstick/lustreglass-sheer-shine-lipstick/mac-bronze
0773602358038,32,Dirty tangerine (matte),https://www.maccosmetics.com/product/13842/329/products/makeup/face/blush-bronzer/powder-blush
0773602648672,24.5,,https://www.maccosmetics.com/product/13835/115812/products/makeup/eyes/eye-palettes-kits/connect-in-colour-eye-shadow-palette-embedded-in-burgundy
0773602663606,25,Pale peachy beige ,https://www.maccosmetics.com/product/13854/128593/products/makeup/lips/lipstick/macximal-sleek-satin-lipstick
0773602134021,25,Creamy beige,https://www.maccosmetics.com/product/13840/363/products/makeup/eyes/eyeshadow/eye-shadow
0773602543908,17.5,Black,https://www.maccosmetics.com/product/13838/1250/products/makeup/eyes/eyeliner/liquidlast-24-hour-waterproof-liner
0773602001545,25,Soft muted beige-taupe,https://www.maccosmetics.com/product/13840/363/products/makeup/eyes/eyeshadow/eye-shadow
0773602422029,37,Original pearlescent pink ,https://www.maccosmetics.com/product/13824/364/products/skincare/moisturizers/strobe-cream
0773602594498,25,Cobalt blue,https://www.maccosmetics.com/product/13838/103725/products/makeup/eyes/eyeliner/mac-colour-excess-gel-pencil-eye-liner
0773602567935,28,Warm nude,https://www.maccosmetics.com/product/13854/75919/products/makeup/lips/lipstick/powder-kiss-liquid-lipcolour
0773602422029,37,Original pearlescent pink ,https://www.maccosmetics.com/product/13824/364/products/skincare/moisturizers/strobe-cream
0773602470358,29.4,,https://www.maccosmetics.com/product/13805/53991/products/brushes-tools/brushes/face-brushes/159-synthetic-duo-fibre-blush-brush
0773602458271,34,Midtone pinky nude,https://www.maccosmetics.com/product/13842/31094/products/makeup/face/blush-bronzer/mineralize-blush
0773602430086,25,Soft beige brown,https://www.maccosmetics.com/product/13852/340/products/makeup/lips/lip-liner/lip-pencil
0773602685158,25,Light beige toned rose,https://www.maccosmetics.com/product/13854/123863/products/makeup/lips/lipstick/macximal-silky-matte-lipstick
0773602430086,25,Soft beige brown,https://www.maccosmetics.com/product/13852/340/products/makeup/lips/lip-liner/lip-pencil
0773602425921,22.4,,https://www.maccosmetics.com/product/31843/46045/products/skincare/serums-treatments/prep-prime-essential-oils-grapefruit-chamomile
0773602567935,28,Warm nude,https://www.maccosmetics.com/product/13854/75919/products/makeup/lips/lipstick/powder-kiss-liquid-lipcolour
0773602125753,11.2,,https://www.maccosmetics.com/product/13837/296/products/makeup/eyes/eyelashes/mac-lash-4-idol-lash
0773602458271,34,Midtone pinky nude,https://www.maccosmetics.com/product/13842/31094/products/makeup/face/blush-bronzer/mineralize-blush
0773602567317,16.8,Carbon black,https://www.maccosmetics.com/product/13838/323/products/makeup/eyes/eyeliner/eye-kohl
0773602688838,20.3,,https://www.maccosmetics.com/product/13839/126238/products/makeup/eyes/mascara/macstack-legit-lift-lash-primer
0773602686254,34,Intense Orange Brown,https://www.maccosmetics.com/product/13842/126125/products/makeup/face/blush-bronzer/glow-play-cushiony-blush
0773602685158,25,Light beige toned rose,https://www.maccosmetics.com/product/13854/123863/products/makeup/lips/lipstick/macximal-silky-matte-lipstick
0773602620036,14,,https://www.maccosmetics.com/product/13805/285/products/brushes-tools/brushes/face-brushes/190-synthetic-foundation-brush
