UPC,Price,Variant,Source Link
0761736921402,23.70,Default Title,https://us.maisondesabre.com/products/iphone-12-pro-case-shibuya-fuchsia?variant=42226708709558
0725414128705,53.40,Default Title,https://us.maisondesabre.com/products/iphone-14-plus-case-saharan-nude?variant=42226878185654
0725414128903,65.40,Default Title,https://us.maisondesabre.com/products/the-sling-phone-case-iphone-14-pro-max-shibuya-fuchsia?variant=42227051626678
0647581256510,59.40,Default Title,https://us.maisondesabre.com/products/iphone-15-pro-max-case-lapis-blue?variant=42375229866166
0761736924571,44.50,Default Title,https://us.maisondesabre.com/products/apple-watch-band-38-41mm-saharan-nude-price?variant=42225474470070
0725414129085,65.40,Default Title,https://us.maisondesabre.com/products/the-sling-phone-case-iphone-14-shibuya-fuchsia?variant=42227062833334
0647581256381,59.40,Default Title,https://us.maisondesabre.com/products/iphone-15-plus-case-black-caviar?variant=42373127438518
0725414128941,65.40,Default Title,https://us.maisondesabre.com/products/the-sling-phone-case-iphone-14-pro-saharan-nude?variant=42227058639030
0647581256961,54.50,Default Title,https://us.maisondesabre.com/products/the-card-phone-case-iphone-15-pro-max-sandstone-nude?variant=42373405081782
0671891985716,53.40,Default Title,https://us.maisondesabre.com/products/iphone-14-pro-max-case-bondi-blue?variant=42226887950518
0647581256695,71.40,Default Title,https://us.maisondesabre.com/products/the-sling-phone-case-iphone-15-pro-graphite-grey?variant=42373338824886
0725414130197,53.40,Default Title,https://us.maisondesabre.com/products/iphone-14-pro-case-shibuya-fuchsia?variant=42226889621686
0671891985686,53.40,Default Title,https://us.maisondesabre.com/products/iphone-14-pro-max-case-saharan-nude?variant=42226890145974
0647581256909,54.50,Default Title,https://us.maisondesabre.com/products/the-card-phone-case-iphone-15-pro-manhattan-sandstone?variant=42373399347382
0761736924601,44.50,Default Title,https://us.maisondesabre.com/products/apple-watch-band-42-49mm-emerald-green?variant=42225459790006
0647581256848,54.50,Default Title,https://us.maisondesabre.com/products/the-card-phone-case-iphone-15-sandstone-nude?variant=42373393842358
0647581256428,59.40,Default Title,https://us.maisondesabre.com/products/iphone-15-pro-case-lapis-blue?variant=42373148016822
0647581256442,59.40,Default Title,https://us.maisondesabre.com/products/iphone-15-pro-case-black-caviar?variant=42373134680246
0761736921396,23.70,Default Title,https://us.maisondesabre.com/products/iphone-12-pro-case-bondi-blue?variant=42226635505846
0647581254332,65.40,Default Title,https://us.maisondesabre.com/products/the-sling-phone-case-iphone-14-pro-graphite-grey?variant=42227056574646
0725414128910,65.40,Default Title,https://us.maisondesabre.com/products/the-sling-phone-case-iphone-14-pro-max-manhattan-orange?variant=42227052150966
0761736921297,23.70,Default Title,https://us.maisondesabre.com/products/iphone-12-pro-case-emerald-green?variant=42226693996726
0679262012214,59.40,Default Title,https://us.maisondesabre.com/products/the-iphone-16-pro-max-case-lavender-purple?variant=43425997095094
0725414128828,53.40,Default Title,https://us.maisondesabre.com/products/iphone-14-case-bondi-blue?variant=42226856624310
0761736924526,44.50,Default Title,https://us.maisondesabre.com/products/apple-watch-band-42-49mm-black-caviar?variant=42225455956150
0725414128644,53.40,Default Title,https://us.maisondesabre.com/products/iphone-14-pro-case-bondi-blue?variant=42226885230774
0761736921358,23.70,Default Title,https://us.maisondesabre.com/products/iphone-12-pro-case-saharan-nude?variant=42226670731446
0725414130333,49.50,Default Title,https://us.maisondesabre.com/products/the-card-phone-case-iphone-14-pro-manhattan-sandstone?variant=42226988155062
0679262011972,59.40,Default Title,https://us.maisondesabre.com/products/the-iphone-16-case-lapis-blue?variant=43425984086198
0647581256817,71.40,Default Title,https://us.maisondesabre.com/products/the-sling-phone-case-iphone-15-pro-max-manhattan-orange?variant=42373374214326
0647581255025,49.50,Default Title,https://us.maisondesabre.com/products/the-card-phone-case-iphone-14-graphite-caviar?variant=42226998476982
0647581256770,71.40,Default Title,https://us.maisondesabre.com/products/the-sling-phone-case-iphone-15-pro-max-graphite-grey?variant=42373365530806
0761736920139,23.70,Default Title,https://us.maisondesabre.com/products/iphone-13-pro-case-saharan-nude?variant=42226827559094
0725414130326,49.50,Default Title,https://us.maisondesabre.com/products/the-card-phone-case-iphone-14-pro-sandstone-nude?variant=42227004309686
0647581254615,53.40,Default Title,https://us.maisondesabre.com/products/iphone-14-pro-max-case-shibuya-fuchsia?variant=42226880577718
0647581256954,54.50,Default Title,https://us.maisondesabre.com/products/the-card-phone-case-iphone-15-pro-max-manhattan-sandstone?variant=42373404590262
0679262012511,65.40,Default Title,https://us.maisondesabre.com/products/the-iphone-16-pro-max-case-pomegranate-red-hello-kitty?variant=43476781531318
0647581256367,59.40,Default Title,https://us.maisondesabre.com/products/iphone-15-case-shibuya-fuchsia?variant=42373125406902
0647581256992,54.50,Default Title,https://us.maisondesabre.com/products/the-card-phone-case-iphone-15-pro-max-graphite-caviar?variant=42373405769910
0647581256572,59.40,Default Title,https://us.maisondesabre.com/products/iphone-15-pro-max-case-pecan-brown?variant=42373218271414
0679262011347,48.30,Default Title,https://us.maisondesabre.com/products/the-sabremoji™-city-charm-new-york?variant=43288606015670
0761736921259,23.70,Default Title,https://us.maisondesabre.com/products/iphone-12-case-bondi-blue?variant=42226696224950
0679262011422,59.50,Default Title,https://us.maisondesabre.com/products/the-sabremoji™-weekender-charm-manhattan-orange?variant=43288586322102
0795847219837,139.30,Default Title,https://us.maisondesabre.com/products/the-phone-pouch-shibuya-fuchsia?variant=42225569661110
0725414128620,53.40,Default Title,https://us.maisondesabre.com/products/iphone-14-pro-case-lapis-blue?variant=42226862555318
0725414130524,52.50,Default Title,https://us.maisondesabre.com/products/the-luggage-tag-manhattan-orange?variant=42225432854710
