UPC,Price,Variant,Source Link
,32.50,brown / 6,https://www.matissefootwear.com/collections/sale/products/penelope-heeled-sandal-brown?variant=41765970673735
,32.50,brown / 7,https://www.matissefootwear.com/collections/sale/products/penelope-heeled-sandal-brown?variant=41765970706503
,32.50,brown / 8,https://www.matissefootwear.com/collections/sale/products/penelope-heeled-sandal-brown?variant=41765970739271
,32.50,brown / 9,https://www.matissefootwear.com/collections/sale/products/penelope-heeled-sandal-brown?variant=41765970772039
,32.50,brown / 10,https://www.matissefootwear.com/collections/sale/products/penelope-heeled-sandal-brown?variant=41765970804807
,82.00,caramel / 5.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463270768711
,82.00,caramel / 6,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463270801479
,82.00,caramel / 6.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463270834247
,82.00,caramel / 7,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463270867015
,82.00,caramel / 7.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463270899783
,82.00,sandstone / 5.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310221895
,82.00,sandstone / 6,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310254663
,82.00,sandstone / 6.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310287431
,82.00,sandstone / 7,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310320199
,82.00,sandstone / 7.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310352967
,82.00,caramel / 8,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463270932551
,82.00,caramel / 8.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463270965319
,82.00,caramel / 9,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463270998087
,82.00,caramel / 9.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463271030855
,82.00,caramel / 10,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463271063623
,82.00,sandstone / 8,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310385735
,82.00,sandstone / 8.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310418503
,82.00,sandstone / 9,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310451271
,82.00,sandstone / 9.5,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310484039
,82.00,caramel / 11,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-caramel?variant=41463271096391
,82.00,sandstone / 10,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310516807
,24.00,camel / 5,https://www.matissefootwear.com/collections/sale/products/del-mar-platform-sandal-camel?variant=41390949204039
,82.00,sandstone / 11,https://www.matissefootwear.com/collections/sale/products/caty-ankle-boot-sandstone?variant=41290310549575
,24.00,camel / 6,https://www.matissefootwear.com/collections/sale/products/del-mar-platform-sandal-camel?variant=41390949236807
,48.00,brown snake / 5.5,https://www.matissefootwear.com/collections/sale/products/basilio-heeled-mule-brown-snake?variant=41015752163399
,24.00,camel / 7,https://www.matissefootwear.com/collections/sale/products/del-mar-platform-sandal-camel?variant=41390949269575
,24.00,camel / 8,https://www.matissefootwear.com/collections/sale/products/del-mar-platform-sandal-camel?variant=41390949302343
,24.00,camel / 9,https://www.matissefootwear.com/collections/sale/products/del-mar-platform-sandal-camel?variant=41390949335111
,30.00,black / 5,https://www.matissefootwear.com/collections/sale/products/capricorn-heeled-sandal-black?variant=41457024106567
,48.00,brown snake / 6,https://www.matissefootwear.com/collections/sale/products/basilio-heeled-mule-brown-snake?variant=41015752196167
,48.00,brown snake / 6.5,https://www.matissefootwear.com/collections/sale/products/basilio-heeled-mule-brown-snake?variant=41015752228935
,48.00,brown snake / 7,https://www.matissefootwear.com/collections/sale/products/basilio-heeled-mule-brown-snake?variant=41015752261703
,48.00,brown snake / 7.5,https://www.matissefootwear.com/collections/sale/products/basilio-heeled-mule-brown-snake?variant=41015752294471
,48.00,brown snake / 8,https://www.matissefootwear.com/collections/sale/products/basilio-heeled-mule-brown-snake?variant=41015752327239
,24.00,camel / 10,https://www.matissefootwear.com/collections/sale/products/del-mar-platform-sandal-camel?variant=41390949367879
,30.00,black / 6,https://www.matissefootwear.com/collections/sale/products/capricorn-heeled-sandal-black?variant=41457024139335
,30.00,black / 7,https://www.matissefootwear.com/collections/sale/products/capricorn-heeled-sandal-black?variant=41457024172103
,30.00,black / 8,https://www.matissefootwear.com/collections/sale/products/capricorn-heeled-sandal-black?variant=41457024204871
,48.00,brown snake / 8.5,https://www.matissefootwear.com/collections/sale/products/basilio-heeled-mule-brown-snake?variant=41015752360007
,24.00,camel / 11,https://www.matissefootwear.com/collections/sale/products/del-mar-platform-sandal-camel?variant=41390949400647
,27.50,natural / 5,https://www.matissefootwear.com/collections/sale/products/ciao-fisherman-sandal-natural?variant=41482460397639
,30.00,black / 9,https://www.matissefootwear.com/collections/sale/products/capricorn-heeled-sandal-black?variant=41457024237639
