UPC,Price,Variation,Source Link
'053482502012,14.99,,https://www.michaels.com/product/pigma-micron-mangacomic-pro-6-piece-set-10185915?michaelsStore=5804&inv=1
'020180100074,20.24,,https://www.michaels.com/product/manuscript-flat-round-black-lead-refill-set-D615409S
'007817139424,26.24,,https://www.michaels.com/product/staedtler-triangular-watercolor-pencil-set-10700550?michaelsStore=5804&inv=3
'031901906672,9.74,,https://www.michaels.com/product/staedtler-mars-technico-780-leadholder-10102626?michaelsStore=5804&inv=2
'842497169996,13.49,"0: 3.5 mm,1: Blue",https://www.michaels.com/product/jam-paper-35mm-thick-calligraphy-pen-2ct-D346741S
'842497170008,13.49,"0: 3.5,1: Assorted",https://www.michaels.com/product/jam-paper-35mm-thick-calligraphy-pen-2ct-D346741S
'020180100036,38.99,,https://www.michaels.com/product/manuscript-black-lettering-pencil-set--D615411S
'041540009467,12.74,,https://www.michaels.com/product/paper-mate-flair-felt-tip-pen-set-6-color-candy-pop-10582881?michaelsStore=5804&inv=5
'071641376755,14.99,,https://www.michaels.com/product/sharpie-ultra-fine-5-count-permanent-marker-set-D620552S
'071641306653,7.49,0: 5,https://www.michaels.com/product/sharpie-fine-point-black-permanent-markers-10380959?michaelsStore=5804&inv=4
'071641301627,2.99,0: 2,https://www.michaels.com/product/sharpie-fine-point-black-permanent-markers-10380959?michaelsStore=5804&inv=4
'886946223877,22.49,0: 48,https://www.michaels.com/product/colored-pencils-by-artist's-loft-10178654?michaelsStore=5804&inv=1
'089241813129,14.99,0: 24,https://www.michaels.com/product/colored-pencils-by-artist's-loft-10178654?michaelsStore=5804&inv=1
'089241813112,7.49,0: 12,https://www.michaels.com/product/colored-pencils-by-artist's-loft-10178654?michaelsStore=5804&inv=1
'191518592498,29.99,0: 72,https://www.michaels.com/product/colored-pencils-by-artist's-loft-10178654?michaelsStore=5804&inv=1
'655350580421,16.49,,https://www.michaels.com/product/prima-watercolor-brush-pen-set-D402850S
'661670902126,13.49,,https://www.michaels.com/product/art-advantage-20color-dualtip-washable-marker-set-D724574S
'053482503545,4.49,,https://www.michaels.com/product/gelly-roll-moods-mindful-bold-gel-pen-set-10715674?michaelsStore=5804&inv=5
'071641099760,11.24,,https://www.michaels.com/product/paper-mate-inkjoy-retractable-07mm-gel-pen-6-color-set-10582864?michaelsStore=5804&inv=2
'085014724470,14.99,,https://www.michaels.com/product/tombow-primary-palette-dual-brush-pen-set-10514318?michaelsStore=5804&inv=7
'071641172272,7.49,,https://www.michaels.com/product/sharpie-sgel-07mm-gel-pens-10624888?michaelsStore=5804&inv=4
'020180100067,20.24,,https://www.michaels.com/product/manuscript-round-lead-mixed-color-refill-set-D615408S
'092633807033,11.24,,https://www.michaels.com/product/fabercastell-9000-graphite-6-pencil-tin-set-10350214?michaelsStore=5804&inv=4
'071641181731,14.99,,https://www.michaels.com/product/sharpie-snote-12-color-chisel-tip-marker-set-10670841?michaelsStore=5804&inv=2
'053482581727,7.49,,https://www.michaels.com/product/gelly-roll-moonlight-06-fine-point-gel-pen-5-color-set-grays-10635584?michaelsStore=5804&inv=3
'007817042809,29.99,,https://www.michaels.com/product/staedtler-duo-fibertip-pens-10539289?michaelsStore=5804&inv=4
'842497196114,13.49,0: Blue,https://www.michaels.com/product/jam-paper-50mm-thick-calligraphy-pen-2ct-D346744S
'842497170015,13.49,0: Black,https://www.michaels.com/product/jam-paper-50mm-thick-calligraphy-pen-2ct-D346744S
'085014561891,14.99,,https://www.michaels.com/product/tombow-tropical-palette-dual-brush-pens-10567811?michaelsStore=5804&inv=12
'661670912460,29.24,,https://www.michaels.com/product/art-advantage-50-piece-mixed-media-pencil-set-D614814S
'902778288474,22.49,,https://www.michaels.com/product/uni-posca-pc3m-soft-color-fine-tip-marker-set-10692892
'007817188583,44.99,,https://www.michaels.com/product/staedtler-fiber-tip-pen-set-10604036?michaelsStore=5804&inv=6
'511338052624,37.49,,https://www.michaels.com/product/copic-sketching-grays-sketch-marker-set-10230288?michaelsStore=5804&inv=1
'071641371613,2.99,,https://www.michaels.com/product/sharpie-ultra-fine-point-permanent-markers-black-10396737?michaelsStore=5804&inv=5
'020180110004,32.24,,https://www.michaels.com/product/manuscript-lettering-pencil-set-D612364S
'053482581741,7.49,,https://www.michaels.com/product/gelly-roll-moonlight-06-fine-point-gel-pen-5-color-set-dawn-10635592?michaelsStore=5804&inv=4
'071641172197,17.24,,https://www.michaels.com/product/sharpie-sgel-fine-point-black-pens-4ct-D622022S
'020180000749,37.49,,https://www.michaels.com/product/manuscript-black-handwriting-pen-classroom-pack-D615412S
'028906572889,23.24,,https://www.michaels.com/product/leisure-arts-24-color-brush-chisel-dual-tip-marker-set-D622940S
'030246705285,22.49,,https://www.michaels.com/product/posca-pc5m-medium-tip-monotone-paint-marker-set-10712831?michaelsStore=5804&inv=9
'053482300670,18.74,,https://www.michaels.com/product/pigma-8-pen-set-black-10386446?michaelsStore=5804&inv=1
'031248600011,7.49,,https://www.michaels.com/product/yasutomo-black-calligraphy-marker-set-D259607S
'085014561693,14.99,,https://www.michaels.com/product/tombow-landscape-dual-brush-pens-10514320?michaelsStore=5804&inv=7
'071641189591,43.49,,https://www.michaels.com/product/sharpie-ultrafine-24-color-mystic-gems-permanent-marker-set-D620554S
'053482500643,6.99,,https://www.michaels.com/product/pigma-micron-fine-line-black-3-piece-pen-set-10514199?michaelsStore=5804&inv=6
'020180100050,20.24,,https://www.michaels.com/product/manuscript-flat-lead-mixed-color-refill-set-D615406S
'070735035981,52.49,0: 48,https://www.michaels.com/product/prismacolor-premier-soft-core-colored-pencil-set-10011442?michaelsStore=5804&inv=6
'070735928856,39.74,0: 36,https://www.michaels.com/product/prismacolor-premier-soft-core-colored-pencil-set-10011442?michaelsStore=5804&inv=6
'070735035974,26.24,0: 24,https://www.michaels.com/product/prismacolor-premier-soft-core-colored-pencil-set-10011442?michaelsStore=5804&inv=6
'070735035967,14.99,0: 12,https://www.michaels.com/product/prismacolor-premier-soft-core-colored-pencil-set-10011442?michaelsStore=5804&inv=6
'071641041455,74.99,0: 72,https://www.michaels.com/product/prismacolor-premier-soft-core-colored-pencil-set-10011442?michaelsStore=5804&inv=6
'070735003843,179.99,0: 150,https://www.michaels.com/product/prismacolor-premier-soft-core-colored-pencil-set-10011442?michaelsStore=5804&inv=6
'841686105203,13.49,,https://www.michaels.com/product/nuvo-brilliantly-vibrant-watercolor-pencil-set-D589258S
'090672078964,15.74,,https://www.michaels.com/product/royal-langnickel-essentials-14-piece-watercolor-pencil-artist-pack--D589252S
'070735007728,14.99,,https://www.michaels.com/product/prismacolor-premier-landscape-colored-pencil-set-10555500?michaelsStore=5804&inv=6
'071641165786,11.24,,https://www.michaels.com/product/sharpie-chisel-tip-metallic-marker-set-D304574S
'053482573708,11.99,,https://www.michaels.com/product/gelly-roll-metallic-gel-pen-10-color-set-10023637?michaelsStore=5804&inv=6
'400100679524,6.99,,https://www.michaels.com/product/fundamentals-colored-pencils-by-artist's-loft-10124971?michaelsStore=5804&inv=5
'071641052666,4.49,,https://www.michaels.com/product/sharpie-fine-gold-metallic-markers-10251015?michaelsStore=5804&inv=3
'020268982993,20.99,,https://www.michaels.com/product/pro-art-36piece-multimedia-drawing-pencil-set-D725441S
'071641196889,14.99,,https://www.michaels.com/product/sharpie-portrait-colors-fine-point-permanent-markers-10719550?michaelsStore=5804&inv=4
'071641151017,2.99,,https://www.michaels.com/product/sharpie-king-size-black-marker-10198377?michaelsStore=5804&inv=3
'884955064870,13.49,,https://www.michaels.com/product/winsor-newton-studio-collection-sketching-pencil-10pc-tin-set-10556833?michaelsStore=5804&inv=3
'902778283769,44.99,,https://www.michaels.com/product/uni-posca-pc3m-16-color-fine-tip-paint-marker-set-10670562?michaelsStore=5804&inv=2
'005401111825,2.61,,https://www.michaels.com/product/fabercastell-sv-1111-hb-graphite-pencils-3ct-10733547?michaelsStore=5804&inv=2
'090672057730,18.74,,https://www.michaels.com/product/royal-langnickel-essentials-5-piece-tracing-artist-pack-D620641S
'053482374602,11.99,,https://www.michaels.com/product/gelly-roll-classic-08-medium-point-gel-pen-10-color-set-10023633?michaelsStore=5804&inv=1
'195158147223,6.99,,https://www.michaels.com/product/sketching-drawing-set-by-artists-loft-fundamentals-10125028?michaelsStore=5804&inv=5
'842497184302,13.49,0: Red,https://www.michaels.com/product/jam-paper-35mm-calligraphy-pen-2ct-D346737S
'842497184241,13.49,0: Brown,https://www.michaels.com/product/jam-paper-35mm-calligraphy-pen-2ct-D346737S
'842497184265,13.49,0: Green,https://www.michaels.com/product/jam-paper-35mm-calligraphy-pen-2ct-D346737S
'842497184289,13.49,0: Purple,https://www.michaels.com/product/jam-paper-35mm-calligraphy-pen-2ct-D346737S
'195158147247,6.99,,https://www.michaels.com/product/charcoal-set-by-artists-loft-fundamentals-10183300?michaelsStore=5804&inv=5
'053482500667,6.99,,https://www.michaels.com/product/pigma-micron-fine-line-black-3-piece-pen-set-10281574?michaelsStore=5804&inv=6
'005401646181,49.49,,https://www.michaels.com/product/goldfaber-woman-dual-ended-aqua-markers-18ct-D669432S
'071641371729,14.99,,https://www.michaels.com/product/sharpie-ultra-fine-point-permanent-marker-set-10317254?michaelsStore=5804&inv=1
'053482300625,14.99,,https://www.michaels.com/product/pigma-micron-fine-line-black-6-piece-pen-set-10204351?michaelsStore=5804&inv=1
'090672057761,18.74,,https://www.michaels.com/product/royal-langnickel-essentials-26-piece-drawing-artist-pack-D620636S
'053482502227,6.99,,https://www.michaels.com/product/pigma-micron-pn-durable-plastic-nib-black-pens-3ct-10540269?michaelsStore=5804&inv=3
'070735040657,33.74,,https://www.michaels.com/product/prismacolor-premier-watercolor-pencil-24-color-tin-10022435?michaelsStore=5804&inv=1
'071641192423,4.49,,https://www.michaels.com/product/sharpie-sgel-medium-black-pens-with-white-barrel-2ct-10723039?michaelsStore=5804&inv=5
