UPC,Price,Variant,Source Link
192608257501,9.60,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-a14-precision-setting-brush?variant=40157224501320
192608250717,8.00,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-soft-sculpt-signature-sponge?variant=39643824947272
192608257495,11.20,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-a19-dual-ended-concealer-brush?variant=40157224534088
192608235103,78.40,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-signature-look-12-piece-face-eye-brush-set?variant=39303655358536
192608250700,48.00,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-signature-face-5-piece-face-brush-set?variant=39643824914504
192608261911,4.20,Lush Lychee (light neutral beige pink),https://www.morphe.com/collections/sale-items/products/oral-flirtation-color-pencil?variant=40554223763528
192608262000,4.20,Fresh Fig (mid tone mauve),https://www.morphe.com/collections/sale-items/products/oral-flirtation-color-pencil?variant=40554223796296
192608262017,4.20,Passionate Plum (deep plum),https://www.morphe.com/collections/sale-items/products/oral-flirtation-color-pencil?variant=40554223829064
192608235110,38.40,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-signature-eyes-8-piece-eye-brush-set?variant=39303655391304
192608257518,12.00,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-a22-blush-brush?variant=40157225222216
192608256382,15.00,Default Title,https://www.morphe.com/collections/sale-items/products/travel-shaping-essentials-bamboo-charcoal-infused-travel-brush-set?variant=40177128046664
192608257471,15.20,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-a24-foundation-brush?variant=40157224566856
192608261812,9.00,Default Title,https://www.morphe.com/collections/sale-items/products/forbidden-honey-eyeshadow-palette?variant=40512668270664
192608261867,7.20,Juicy Details (pink peach to warm gold),https://www.morphe.com/collections/sale-items/products/lust-potion-bi-phase-lip-oil?variant=40554223468616
192608261850,7.20,Sweet Freak (vibrant pink to purple),https://www.morphe.com/collections/sale-items/products/lust-potion-bi-phase-lip-oil?variant=40554223501384
192608261874,7.20,Pure Passion (purple to icy lavender),https://www.morphe.com/collections/sale-items/products/lust-potion-bi-phase-lip-oil?variant=40554223534152
192608262024,7.20,Thirst Trap (sky blue to mint),https://www.morphe.com/collections/sale-items/products/lust-potion-bi-phase-lip-oil?variant=40554223566920
192608262031,7.20,Deep Desire (icy lavender to midnight blue),https://www.morphe.com/collections/sale-items/products/lust-potion-bi-phase-lip-oil?variant=40554223599688
192608261829,9.00,Default Title,https://www.morphe.com/collections/sale-items/products/forbidden-pulp-fantasy-eyeshadow-palette?variant=40512668303432
192608261881,6.00,Melon Nectar  (magenta / melon scent),https://www.morphe.com/collections/sale-items/products/love-bite-lip-stain?variant=40554223665224
192608261898,6.00,Berry Wild (fuchsia / strawberry scent),https://www.morphe.com/collections/sale-items/products/love-bite-lip-stain?variant=40554223697992
192608257488,14.40,Default Title,https://www.morphe.com/collections/sale-items/products/morphe-x-ariel-a58-cream-contour-brush?variant=40157224599624
192608261904,6.00,Grape Kisser (grape / grape scent),https://www.morphe.com/collections/sale-items/products/love-bite-lip-stain?variant=40554223730760
192608238623,16.80,Default Title,https://www.morphe.com/collections/sale-items/products/rose-away-6-piece-travel-brush-set?variant=39346410455112
192608208237,48.00,Default Title,https://www.morphe.com/collections/sale-items/products/mua-life?variant=28982121758792
192608256559,12.80,Money Honey,https://www.morphe.com/collections/sale-items/products/hot-shot-sun-drops?variant=40554221830216
192608256566,12.80,Bronze Bombshell,https://www.morphe.com/collections/sale-items/products/hot-shot-sun-drops?variant=40554221862984
192608256573,12.80,Fire Sign,https://www.morphe.com/collections/sale-items/products/hot-shot-sun-drops?variant=40554221895752
192608256580,12.80,Stuntan,https://www.morphe.com/collections/sale-items/products/hot-shot-sun-drops?variant=40554221928520
192608256597,12.80,Sun Siren,https://www.morphe.com/collections/sale-items/products/hot-shot-sun-drops?variant=40554221961288
192608256603,12.80,Rich Beach,https://www.morphe.com/collections/sale-items/products/hot-shot-sun-drops?variant=40554221994056
192608251011,9.00,Social Butterfly,https://www.morphe.com/collections/sale-items/products/ready-for-anything-eyeshadow-palette?variant=40554733862984
192608251004,9.00,Wallflower,https://www.morphe.com/collections/sale-items/products/ready-for-anything-eyeshadow-palette?variant=40554733895752
192608256375,15.00,Default Title,https://www.morphe.com/collections/sale-items/products/eye-shaping-essentials-bamboo-charcoal-infused-eye-brush-set-us-can?variant=40177128013896
192608231679,8.40,Default Title,https://www.morphe.com/collections/sale-items/products/9t-neutral-territory-artistry-palette?variant=36517489082440
192608231471,18.00,Default Title,https://www.morphe.com/collections/sale-items/products/35o-supernatural-glow-artistry-palette?variant=39277432504392
192608231945,7.20,Pink Me Up,https://www.morphe.com/collections/sale-items/products/perk-up-cheek-a-lip-color?variant=40554732585032
192608231716,8.40,Default Title,https://www.morphe.com/collections/sale-items/products/9v-vintage-rose-artistry-palette?variant=36517495603272
192608230436,18.00,Default Title,https://www.morphe.com/collections/sale-items/products/35xo-natural-flirt-artistry-palette?variant=36513291403336
192608231679,8.40,Default Title,https://www.morphe.com/collections/sale-items/products/9t-neutral-territory-artistry-palette?variant=36517489082440
192608231396,8.40,Default Title,https://www.morphe.com/collections/sale-items/products/9r-bronze-metal-artistry-palette?variant=39306078486600
