UPC,Price,Variant,Source Link
190667857359,58.00,XS,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074693046315
190667857366,58.00,S,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074693079083
190667857373,58.00,M,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074693111851
190667857380,58.00,L,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074693144619
190667857397,58.00,XL,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074693177387
190667857403,58.00,XXL,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074693210155
190667880043,58.00,1X,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074728730667
190667880050,58.00,2X,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074729254955
190667880067,58.00,3X,http://showmeyourmumu.myshopify.com/products/boardwalk-shorts-star-spangled-stripe-knit?variant=41074729877547
190667857298,88.00,XS,http://showmeyourmumu.myshopify.com/products/go-to-sweater-star-spangled-stripe-knit?variant=41074692751403
190667857304,88.00,S,http://showmeyourmumu.myshopify.com/products/go-to-sweater-star-spangled-stripe-knit?variant=41074692784171
190667857311,88.00,M,http://showmeyourmumu.myshopify.com/products/go-to-sweater-star-spangled-stripe-knit?variant=41074692816939
190667857328,88.00,L,http://showmeyourmumu.myshopify.com/products/go-to-sweater-star-spangled-stripe-knit?variant=41074692849707
190667839096,188.00,XS,http://showmeyourmumu.myshopify.com/products/romance-ruffle-dress-ivory-botanical-floral?variant=40994356953131
190667836675,128.00,XS,http://showmeyourmumu.myshopify.com/products/oslo-o-ring-dress-seasalt?variant=41039970598955
190667857335,88.00,XL,http://showmeyourmumu.myshopify.com/products/go-to-sweater-star-spangled-stripe-knit?variant=41074692882475
190667841198,158.00,XS,http://showmeyourmumu.myshopify.com/products/prim-mini-dress-blooming-tulips?variant=41020686041131
190667864449,148.00,XS,http://showmeyourmumu.myshopify.com/products/paula-pullover-sea-green-crochet?variant=41002432692267
190667845578,148.00,XS,http://showmeyourmumu.myshopify.com/products/the-scrunch-one-piece-sea-green-scrunch?variant=41002431217707
190667839102,188.00,S,http://showmeyourmumu.myshopify.com/products/romance-ruffle-dress-ivory-botanical-floral?variant=40994356985899
