UPC,Price,Variant,Source Link
191693718843,55.16,Default Title,https://www.mygiftstop.com/products/zippo-windproof-lighter-armor-lucky-cat-design-high-polish-brass-49802
,136.90,Default Title,https://www.mygiftstop.com/products/casio-mens-analog-digital-watch-g-shock-blue-case-resin-strap-ga-110as-2acr
753048612260,35.07,Default Title,https://www.mygiftstop.com/products/timex-womens-watch-weekender-fairfield-blue-and-white-nylon-strap-tw2p91900
746469319856,1107.05,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-pacific-diver-rotating-bezel-black-dial-rubber-strap-xs-3101
746469319856,1107.05,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-pacific-diver-rotating-bezel-black-dial-rubber-strap-xs-3101
610953130763,189.94,Default Title,https://www.mygiftstop.com/products/benchmade-knife-barrage-axis-drop-point-blade-folding-580
,763.14,Default Title,https://www.mygiftstop.com/products/sevenfriday-mens-watch-ps-series-ccg-automatic-green-silicone-rubber-strap-ps3-05
,714.49,Default Title,https://www.mygiftstop.com/products/sevenfriday-mens-watch-p-series-curacao-white-day-night-dial-automatic-p1c-05
882902864672,52.75,Default Title,https://www.mygiftstop.com/products/nixon-womens-quartz-watch-jane-day-date-white-dial-black-leather-strap-a955513
,55.07,Default Title,https://www.mygiftstop.com/products/swarovski-womens-ear-cuff-dextera-rhodium-plated-asymmetrical-set-of-2-5618303
194366108873,156.94,Default Title,https://www.mygiftstop.com/products/timex-mens-watch-m79-automatic-black-dial-stainless-steel-bracelet-tw2u78300
768549752841,58.27,Default Title,https://www.mygiftstop.com/products/swarovski-womens-ring-vio-two-tone-rhodium-and-rose-gold-plated-size-8-5184229
046928130511,161.94,Default Title,https://www.mygiftstop.com/products/swiss-army-mens-bracelet-watch-alliance-black-dial-stainless-steel-241801
,1373.24,Default Title,https://www.mygiftstop.com/products/carl-bucherer-unisex-watch-adamavi-automatic-two-tone-bracelet-00-10314-07-45-21
046928144433,81.94,Default Title,https://www.mygiftstop.com/products/victorinox-swiss-army-mens-watch-garrison-brown-dial-black-strap-date-26077-cb
7630040987462,284.94,Default Title,https://www.mygiftstop.com/products/luminox-ice-sar-arctic-mens-swiss-navy-blue-dive-watch-1003-ice
,38.94,Default Title,https://www.mygiftstop.com/products/olivia-burton-womens-watch-celestial-purple-dial-grey-leather-strap-ob16ad50
753048612260,35.07,Default Title,https://www.mygiftstop.com/products/timex-womens-watch-weekender-fairfield-blue-and-white-nylon-strap-tw2p91900
,32.94,Default Title,https://www.mygiftstop.com/products/olivia-burton-womens-watch-celestial-quartz-black-dial-leather-strap-ob16gd82
716736780702,72.20,Default Title,https://www.mygiftstop.com/products/marc-jacobs-mens-sunglasses-black-plastic-square-full-rim-marc-672-cs-0807-9o
882902864672,52.75,Default Title,https://www.mygiftstop.com/products/nixon-womens-quartz-watch-jane-day-date-white-dial-black-leather-strap-a955513
,498.14,Default Title,https://www.mygiftstop.com/products/sevenfriday-mens-watch-t-series-t-black-power-reserve-leather-strap-t1-04
197737041250,65.46,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-violet-plastic-cat-eye-full-rim-capri-g-s-0b3v-dg
194366108873,156.94,Default Title,https://www.mygiftstop.com/products/timex-mens-watch-m79-automatic-black-dial-stainless-steel-bracelet-tw2u78300
,714.49,Default Title,https://www.mygiftstop.com/products/sevenfriday-mens-watch-p-series-curacao-white-day-night-dial-automatic-p1c-05
716736851174,61.93,Default Title,https://www.mygiftstop.com/products/carrera-womens-sunglasses-beige-metal-rectangular-frame-carrera-3014-s-010a-08
708210761390,30.92,Default Title,https://www.mygiftstop.com/products/swarovski-womens-bracelet-stardust-15-inch-ruby-red-crystal-double-wrap-5139748
,58.27,Default Title,https://www.mygiftstop.com/products/swarovski-womens-ring-vio-rhodium-and-rose-gold-plated-crystals-size-7-5152856
046928146192,44.95,Default Title,https://www.mygiftstop.com/products/wenger-womens-watch-metropolitan-donnissima-white-dial-leather-strap-01-1731-109
046928130511,161.94,Default Title,https://www.mygiftstop.com/products/swiss-army-mens-bracelet-watch-alliance-black-dial-stainless-steel-241801
746469625223,379.94,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-modern-mariner-quartz-black-dial-steel-bracelet-xs-6252-bo
,763.14,Default Title,https://www.mygiftstop.com/products/sevenfriday-mens-watch-ps-series-ccg-automatic-green-silicone-rubber-strap-ps3-05
191693718843,55.16,Default Title,https://www.mygiftstop.com/products/zippo-windproof-lighter-armor-lucky-cat-design-high-polish-brass-49802
,55.07,Default Title,https://www.mygiftstop.com/products/swarovski-womens-ear-cuff-dextera-rhodium-plated-asymmetrical-set-of-2-5618303
610953130763,189.94,Default Title,https://www.mygiftstop.com/products/benchmade-knife-barrage-axis-drop-point-blade-folding-580
,498.14,Default Title,https://www.mygiftstop.com/products/sevenfriday-mens-watch-t-series-t-black-power-reserve-leather-strap-t1-04
046928146192,44.95,Default Title,https://www.mygiftstop.com/products/wenger-womens-watch-metropolitan-donnissima-white-dial-leather-strap-01-1731-109
,136.90,Default Title,https://www.mygiftstop.com/products/casio-mens-analog-digital-watch-g-shock-blue-case-resin-strap-ga-110as-2acr
7630040915342,221.95,Default Title,https://www.mygiftstop.com/products/luminox-0321-sea-turtle-giant-0320-mens-black-dial-watch
7630040915342,221.95,Default Title,https://www.mygiftstop.com/products/luminox-0321-sea-turtle-giant-0320-mens-black-dial-watch
746469033080,319.94,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-leatherback-sea-turtle-giant-black-dial-rubber-strap-xs-0330
197737041250,65.46,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-violet-plastic-cat-eye-full-rim-capri-g-s-0b3v-dg
708210761390,30.92,Default Title,https://www.mygiftstop.com/products/swarovski-womens-bracelet-stardust-15-inch-ruby-red-crystal-double-wrap-5139748
746469625223,379.94,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-modern-mariner-quartz-black-dial-steel-bracelet-xs-6252-bo
889652506982,321.74,Default Title,https://www.mygiftstop.com/products/balenciaga-unisex-sunglasses-brown-titanium-oval-shape-full-rim-frame-bb0350s-002
