UPC,Price,Variant,Source Link
,88.44,Default Title,https://www.mygiftstop.com/products/sterling-silver-rhodium-plated-spiga-chain-30
,74.64,Default Title,https://www.mygiftstop.com/products/sterling-silver-bezel-set-rose-quartz-and-oval-pink-mop-necklace
,106.06,Default Title,https://www.mygiftstop.com/products/sterling-silver-rectangular-shaped-blue-topaz-gemstone-bracelet
073228075174,17.91,Default Title,https://www.mygiftstop.com/products/cross-fountain-pen-aventura-onyx-black-resin-click-off-medium-nib-at0156-1ms
,44.04,Fine,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-rose-gold-brass
,80.18,Medium,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-rose-gold-brass
,96.93,Broad,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-rose-gold-brass
,56.21,Default Title,https://www.mygiftstop.com/products/sterling-silver-diamond-j-initial-pendant-chain
,78.16,Default Title,https://www.mygiftstop.com/products/sterling-silver-shiny-and-micro-pave-open-circle-necklace
,96.95,Fine,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-shiny-black-brass
,41.45,Medium,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-shiny-black-brass
,55.28,Broad,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-shiny-black-brass
,40.94,Default Title,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-ballpoint-pen-d26-shiny-red-coated-finish-body-485-bp
,39.14,Default Title,https://www.mygiftstop.com/products/visconti-ballpoint-pen-breeze-plum-resin-with-chrome-palladium-trim-kp08-06-bp
,50.69,Default Title,https://www.mygiftstop.com/products/sterling-silver-0-03cttw-diamond-oval-necklace
,15.98,Extra Fine,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-blue-light-blue-plastic
,15.98,Fine,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-blue-light-blue-plastic
,15.98,Medium,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-blue-light-blue-plastic
,88.13,Default Title,https://www.mygiftstop.com/products/sterling-silver-3mm-prong-set-round-cz-tennis-bracelet-7-5
,39.94,Default Title,https://www.mygiftstop.com/products/visconti-ballpoint-pen-breeze-mandarine-resin-material-twist-action-kp08-03-bp
,123.73,Default Title,https://www.mygiftstop.com/products/sterling-silver-round-diamond-pendant-chain
,51.94,Default Title,https://www.mygiftstop.com/products/visconti-grey-rembrandt-eco-logic-fountain-pen-medium-nib-kp10-10-04-fpm
,105.39,Default Title,https://www.mygiftstop.com/products/sterling-silver-larimar-turtle-earrings
,70.47,Default Title,https://www.mygiftstop.com/products/sterling-silver-diamond-italian-horn-necklace
,155.09,Default Title,https://www.mygiftstop.com/products/sterling-silver-gold-plated-pave-8mm-flat-marina-bracelet-9
,86.26,Default Title,https://www.mygiftstop.com/products/sterling-silver-rhodium-plated-4-2mm-figaro-chain-16
,143.94,Fine,https://www.mygiftstop.com/products/montegrappa-fountain-pen-elmo-ambiente-ocean-recycled-resin-iseer
,143.94,Medium,https://www.mygiftstop.com/products/montegrappa-fountain-pen-elmo-ambiente-ocean-recycled-resin-iseer
073228138343,14.90,Extra Fine,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-light-polished-teal-resin
073228138350,14.67,Fine,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-light-polished-teal-resin
073228138367,14.16,Medium,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-light-polished-teal-resin
,17.95,Default Title,https://www.mygiftstop.com/products/lamy-ballpoint-pen-al-star-lightweight-tourmaline-aluminum-l223tr
,40.94,Default Title,https://www.mygiftstop.com/products/visconti-fountain-pen-breeze-marbled-lime-resin-medium-nib-kp08-02-fpm
4250278601287,7.95,Default Title,https://www.mygiftstop.com/products/kaweco-pen-clip-sport-octagonal-slide-on-yellow-gold-plated-10000261
,94.22,Default Title,https://www.mygiftstop.com/products/sterling-silver-hanging-chain-peridot-earrings
,39.94,Default Title,https://www.mygiftstop.com/products/visconti-ballpoint-pen-breeze-cherry-resin-material-twist-action-kp08-04-bp
073228123370,15.01,Default Title,https://www.mygiftstop.com/products/cross-fountain-pen-aventura-fire-engine-red-click-off-medium-nib-at0156s-3ms
,104.33,Default Title,https://www.mygiftstop.com/products/sterling-silver-irregular-shape-larimar-pendant
,14.93,Extra Fine,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-pink-orange-plastic
,14.93,Fine,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-pink-orange-plastic
,14.93,Medium,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-pink-orange-plastic
073228138312,14.82,Extra Fine,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-coral-resin-finish-with-crome
073228138329,12.80,Fine,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-coral-resin-finish-with-crome
073228138336,13.94,Medium,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-coral-resin-finish-with-crome
,108.24,Default Title,https://www.mygiftstop.com/products/sterling-silver-mop-and-tree-of-life-pendant-chain
,60.59,Default Title,https://www.mygiftstop.com/products/sterling-silver-polished-mom-heart-locket
,108.01,Default Title,https://www.mygiftstop.com/products/sterling-silver-detailed-oxidized-ship-wheel-pendant
,102.97,Default Title,https://www.mygiftstop.com/products/sterling-silver-gold-plated-mirror-and-mariner-rosary-chain
073228138251,14.67,Extra Fine,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-high-gloss-gray-resin-finish
073228138268,19.11,Fine,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-high-gloss-gray-resin-finish
073228138275,14.90,Medium,https://www.mygiftstop.com/products/cross-fountain-pen-bailey-high-gloss-gray-resin-finish
,18.40,Extra Fine,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2011-classic-silver-finish
,19.82,Medium,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2011-classic-silver-finish
,42.94,Default Title,https://www.mygiftstop.com/products/visconti-fountain-pen-breeze-cherry-resin-magnetic-cap-medium-nib-kp08-04-fpm
,66.40,Default Title,https://www.mygiftstop.com/products/sterling-silver-rectangle-green-amethyst-prong-set-necklace
,48.94,Default Title,https://www.mygiftstop.com/products/visconti-green-rembrandt-eco-logic-fountain-pen-medium-nib-kp10-10-04-fpm
,42.94,Default Title,https://www.mygiftstop.com/products/visconti-fountain-pen-breeze-mandarine-resin-magnetic-cap-medium-kp08-03-fpm
,90.25,Default Title,https://www.mygiftstop.com/products/sterling-silver-four-prong-checkered-5-1cttw-amethyst-necklace
073228075211,24.99,Default Title,https://www.mygiftstop.com/products/cross-fountain-pen-aventura-starry-blue-resin-medium-at0156-2ms
,91.87,Default Title,https://www.mygiftstop.com/products/sterling-silver-c-initial-baguette-cz-pendant-chain
,55.94,Default Title,https://www.mygiftstop.com/products/visconti-ballpoint-pen-rembrandt-eco-logic-bioplastic-grey-kp10-10-04-bp
,17.23,Default Title,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2011-classic-black-finish-extra-fine-nib-140994
,102.03,Default Title,https://www.mygiftstop.com/products/sterling-silver-rainbow-baguette-cz-pear-shaped-necklace
,37.94,Default Title,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-rollerball-pen-d26-shiny-yellow-coated-finish-body-123-rb
,40.62,Fine,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-shiny-silver-brass
,40.62,Medium,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-shiny-silver-brass
,40.62,Broad,https://www.mygiftstop.com/products/tibaldi-by-montegrappa-fountain-pen-d26-shiny-silver-brass
,79.48,Default Title,https://www.mygiftstop.com/products/sterling-silver-brown-smokey-quartz-necklace
,88.97,Default Title,https://www.mygiftstop.com/products/sterling-silver-prong-set-double-drop-down-earrings
716736779416,53.84,Default Title,https://www.mygiftstop.com/products/missoni-womens-eyeglasses-black-plastic-cat-eye-full-rim-frame-mis-0142-0807-00
788678087034,32.37,Default Title,https://www.mygiftstop.com/products/spyder-mens-eyeglasses-graphite-metal-pilot-56mm-frame-clear-demo-lens-sp4038-020
,136.54,Default Title,https://www.mygiftstop.com/products/sterling-silver-square-disc-flower-diamond-earrings
,16.38,Extra Fine,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-turquoise-light-green
,15.51,Fine,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-turquoise-light-green
,14.89,Medium,https://www.mygiftstop.com/products/faber-castell-fountain-pen-grip-2010-turquoise-light-green
788678087027,32.37,Default Title,https://www.mygiftstop.com/products/spyder-mens-eyeglasses-black-diamond-metal-pilot-shape-full-rim-frame-sp4038-001
664689371129,203.48,Default Title,https://www.mygiftstop.com/products/tom-ford-womens-sunglasses-grey-other-oversized-shape-full-rim-frame-ft0009-0b5
889214496157,178.06,Default Title,https://www.mygiftstop.com/products/tom-ford-womens-eyeglasses-coloured-havana-acetate-cat-eye-full-rim-ft5954-b-055
716736402802,28.99,Default Title,https://www.mygiftstop.com/products/liz-claiborne-womens-eyeglasses-blue-plastic-cat-eye-full-rim-frame-l-664-0pjp-00
716736923871,49.95,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-dark-grey-plastic-cat-eye-aubriella-g-s-0hwj-9o
194958033217,43.70,Default Title,https://www.mygiftstop.com/products/nike-mens-sunglasses-matte-dark-grey-sport-wraparound-full-rim-frame-ct8228-012
716736793269,45.50,Default Title,https://www.mygiftstop.com/products/moschino-love-womens-eyeglasses-transparent-nude-brown-frame-mol618-tn-0fwm-00
788678514981,32.37,Default Title,https://www.mygiftstop.com/products/spyder-mens-eyeglasses-black-diamond-metal-rectangular-full-rim-frame-sp4035-001
716736386263,52.83,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-eyeglasses-pink-havana-plastic-cat-eye-frame-novalee-0ht8-00
197737041335,50.64,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-green-square-shape-full-rim-frame-brynne-g-s-01ed-ib
196156099323,43.70,Default Title,https://www.mygiftstop.com/products/nike-mens-sunglasses-matte-black-rectangular-full-rim-nike-valiant-p-fj2001-010
197737077952,50.02,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-pink-cat-eye-shape-full-rim-frame-ks-aimee-s-035j-9o
197737077983,50.21,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-pink-glitter-plastic-cat-eye-ks-aimee-s-0qr0-ha
887226778759,44.06,Default Title,https://www.mygiftstop.com/products/nike-unisex-sunglasses-clear-square-shape-frame-nike-essential-spree-m-ev100-900
716736048758,49.95,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-sand-pink-glitter-full-rim-labrenda-o-s-06qm-ha
716736753638,45.82,Default Title,https://www.mygiftstop.com/products/moschino-love-womens-eyeglasses-pink-black-pattern-plastic-cat-eye-mol598-0s3s-00
197737077969,49.95,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-grey-cat-eye-shape-full-rim-frame-ks-aimee-s-0kb7-9o
021274278759,319.15,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-dialog-3-piano-black-brass-14k-solid-gold-nib
021274278766,319.15,Medium,https://www.mygiftstop.com/products/lamy-fountain-pen-dialog-3-piano-black-brass-14k-solid-gold-nib
716736843827,66.85,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-black-plastic-cat-eye-full-rim-marigold-s-0807-9o
,82.98,Default Title,https://www.mygiftstop.com/products/sterling-silver-turquoise-tree-of-life-earrings
716736923994,49.95,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-black-metal-cat-eye-half-rim-frame-izara-g-s-0807-9o
716736751054,45.31,Default Title,https://www.mygiftstop.com/products/moschino-love-womens-eyeglasses-transparent-red-round-frame-mol607-tn-0c9a-00
,74.97,Default Title,https://www.mygiftstop.com/products/sterling-silver-blue-inlay-opal-cat-earrings
021274278810,319.15,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-dialog-3-piano-white-brass-14k-solid-gold-nib
021274278827,319.15,Medium,https://www.mygiftstop.com/products/lamy-fountain-pen-dialog-3-piano-white-brass-14k-solid-gold-nib
,68.64,Default Title,https://www.mygiftstop.com/products/sterling-silver-rose-gold-open-teardrop-cz-earrings
716737517833,49.95,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-navy-plastic-cat-eye-shape-frame-johanna-s-0fx8-00
,76.00,Left Handed,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-yellow-abs-plastic-with-metal-clip
014519273039,26.91,Extra Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-yellow-abs-plastic-with-metal-clip
021274081106,29.55,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-yellow-abs-plastic-with-metal-clip
021274081120,29.55,Medium,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-yellow-abs-plastic-with-metal-clip
021274081137,29.55,Broad,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-yellow-abs-plastic-with-metal-clip
,76.00,Left-Handed,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-black-abs-plastic-with-metal-clip
021274196787,29.55,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-black-abs-plastic-with-metal-clip
021274196794,29.55,Medium,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-black-abs-plastic-with-metal-clip
021274203973,29.60,Broad,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-black-abs-plastic-with-metal-clip
021274314976,56.00,Extra Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-lx-palladium-aluminum
021274314983,55.95,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-lx-palladium-aluminum
021274314990,49.08,Medium Nib,https://www.mygiftstop.com/products/lamy-fountain-pen-lx-palladium-aluminum
021274315003,55.95,Broad,https://www.mygiftstop.com/products/lamy-fountain-pen-lx-palladium-aluminum
021274300566,127.15,Extra Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-scala-brushed-stainless-steel
021274300573,127.15,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-scala-brushed-stainless-steel
021274300580,127.15,Medium-Nib,https://www.mygiftstop.com/products/lamy-fountain-pen-scala-brushed-stainless-steel
014519651763,131.95,Broad,https://www.mygiftstop.com/products/lamy-fountain-pen-scala-brushed-stainless-steel
021274030630,29.60,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-charcoal-plastic
021274030616,29.55,Medium,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-charcoal-plastic
021274030685,29.60,Broad,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-charcoal-plastic
021274217314,37.55,Extra Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-al-star-purple-aluminum
021274217321,37.60,Fine Nib,https://www.mygiftstop.com/products/lamy-fountain-pen-al-star-purple-aluminum
021274217338,37.51,Medium Nib,https://www.mygiftstop.com/products/lamy-fountain-pen-al-star-purple-aluminum
021274023397,37.60,Broad,https://www.mygiftstop.com/products/lamy-fountain-pen-al-star-purple-aluminum
014519273770,29.55,Left-Handed,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-blue-abs-plastic-body
021274104959,29.60,Extra Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-blue-abs-plastic-body
021274104966,29.60,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-blue-abs-plastic-body
799198334089,29.60,Medium,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-blue-abs-plastic-body
021274104980,29.60,Broad,https://www.mygiftstop.com/products/lamy-fountain-pen-safari-blue-abs-plastic-body
,76.00,Left-Handed,https://www.mygiftstop.com/products/lamy-safari-red-abs-plastic-fountain-pen
021274052601,29.60,Extra Fine,https://www.mygiftstop.com/products/lamy-safari-red-abs-plastic-fountain-pen
021274052618,32.15,Fine,https://www.mygiftstop.com/products/lamy-safari-red-abs-plastic-fountain-pen
021274052625,29.60,Medium,https://www.mygiftstop.com/products/lamy-safari-red-abs-plastic-fountain-pen
021274052632,29.55,Broad,https://www.mygiftstop.com/products/lamy-safari-red-abs-plastic-fountain-pen
716736739007,55.73,Default Title,https://www.mygiftstop.com/products/kate-spade-womens-sunglasses-pink-plastic-cat-eye-full-rim-tamara-o-s-035j-ha
021274013497,199.15,Extra Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-2000-black-fiberglass-body-with-14-carat-gold-nib
021274013503,223.15,Fine,https://www.mygiftstop.com/products/lamy-fountain-pen-2000-black-fiberglass-body-with-14-carat-gold-nib
