UPC,Price,Variant,Source Link
046928146208,41.94,Default Title,https://www.mygiftstop.com/products/wenger-womens-watch-metropolitan-donnissima-white-dial-pink-strap-01-1731-110
191973082886,82.94,Default Title,https://www.mygiftstop.com/products/nixon-womens-quartz-watch-ticket-black-ip-stainless-steel-bracelet-a1262001
,262.36,Default Title,https://www.mygiftstop.com/products/orient-mens-watch-bambino-power-reserve-light-blue-dial-brown-strap-ra-ac0m14l
,183.95,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-g-sea-bass-black-dial-rubber-strap-date-x2-2001-bo-r
,40.94,Default Title,https://www.mygiftstop.com/products/visconti-fountain-pen-breeze-marbled-lime-resin-medium-nib-kp08-02-fpm
,44.75,Default Title,https://www.mygiftstop.com/products/olivia-burton-womens-watch-under-the-sea-lilac-and-aqua-dial-bracelet-ob16us43
072838604705,479.95,Fine,https://www.mygiftstop.com/products/pilot-fountain-pen-gift-set-custom-823-smoke-black-resin-finish
194366174724,110.94,Default Title,https://www.mygiftstop.com/products/timex-mens-watch-q-quartz-cream-dial-stainless-steel-bracelet-tw2v25800
716736859187,72.20,Default Title,https://www.mygiftstop.com/products/marc-jacobs-womens-sunglasses-havana-plastic-full-rim-cat-eye-mj-1095-s-0086-gb
,417.43,Default Title,https://www.mygiftstop.com/products/chopard-womens-crossbody-bag-happy-sport-bordeaux-red-canvas-camera-95000-1114
194366229189,73.89,Default Title,https://www.mygiftstop.com/products/timex-mens-watch-classic-quartz-black-dial-yellow-gold-bracelet-tw2v53900
,163.35,Fine,https://www.mygiftstop.com/products/montegrappa-fortuna-mosaico-marrakesh-fountain-pen
72838215420,335.95,Fine,https://www.mygiftstop.com/products/pilot-fountain-pen-vanishing-point-birchwood-red-barrel-retractable
190605563786,288.20,Default Title,https://www.mygiftstop.com/products/chopard-womens-sunglasses-shiny-copper-gold-metal-full-rim-aviator-schl55m-08fc
,157.05,Fine,https://www.mygiftstop.com/products/montegrappa-fortuna-palladium-fountain-pen
664689583669,216.20,Default Title,https://www.mygiftstop.com/products/tom-ford-womens-sunglasses-black-injected-propionate-oversized-frame-ft0009-01d
046928027521,397.95,Default Title,https://www.mygiftstop.com/products/swiss-army-241602-mens-maverick-large-navy-blue-dial-stainless-steel-bracelet-watch
,155.00,Default Title,https://www.mygiftstop.com/products/off-white-unisex-sunglasses-marble-plastic-full-rim-rectangular-frame-milano-0807
046928038688,146.99,Default Title,https://www.mygiftstop.com/products/victorinox-swiss-army-womens-watch-base-camp-green-dial-steel-bracelet-249076
079767808396,83.85,Default Title,https://www.mygiftstop.com/products/casio-mw-600e-9a-black-resin-case-black-band-watch
191693253405,43.26,Default Title,https://www.mygiftstop.com/products/zippo-lighter-sea-dragon-design-metal-construction-refillable-windproof-48986
042429566705,406.39,Default Title,https://www.mygiftstop.com/products/bulova-mens-automatic-watch-classic-skeleton-dial-stainless-steel-bracelet-98a224
,155.00,Default Title,https://www.mygiftstop.com/products/off-white-womens-sunglasses-white-plastic-full-rim-cat-eye-frame-artemisia-0207
,110.29,Default Title,https://www.mygiftstop.com/products/lamy-ballpoint-pen-studio-lx-all-black-lacquer-finish-water-based-l366ab
194366287424,140.94,Default Title,https://www.mygiftstop.com/products/timex-mens-watch-expedition-field-chronograph-black-fabric-strap-tw2v96300jr
,59.94,Default Title,https://www.mygiftstop.com/products/swarovski-womens-bracelet-gema-white-flower-mixed-cuts-rhodium-plated-5644684
191693595840,72.20,Default Title,https://www.mygiftstop.com/products/zippo-windproof-pocket-lighter-diamond-pattern-design-black-ice-metal-46316
,1395.94,Default Title,https://www.mygiftstop.com/products/ball-mens-watch-fireman-storm-chaser-dlc-glow-black-dial-strap-cm2192c-p2-bk
,453.25,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-pacific-diver-dark-blue-dial-white-rubber-strap-xs-ca23m
,235.94,Default Title,https://www.mygiftstop.com/products/luminox-mens-swiss-quartz-watch-ice-sar-arctic-blue-dial-black-strap-dive-1003
,274.51,Default Title,https://www.mygiftstop.com/products/seiko-mens-watch-5-sports-automatic-silver-tone-dial-two-tone-bracelet-snzf08j1
768549795763,143.47,Default Title,https://www.mygiftstop.com/products/swarovski-womens-necklace-efflorescence-rhodium-plated-crystals-pave-5199662
889214481566,216.20,Default Title,https://www.mygiftstop.com/products/tom-ford-mens-sunglasses-grey-other-acetate-full-rim-square-frame-ft1122-d-20a
046928114368,200.95,Default Title,https://www.mygiftstop.com/products/victorinox-swiss-army-womens-watch-alliance-caribbean-blue-dial-bracelet-249112
,120.93,Default Title,https://www.mygiftstop.com/products/sterling-silver-black-agate-designed-heart-locket
,79.94,Default Title,https://www.mygiftstop.com/products/swarovski-decoration-figurine-clear-crystal-tower-of-pisa-monument-5428010
194366277678,142.94,Default Title,https://www.mygiftstop.com/products/timex-mens-watch-ufc-street-gunmetal-case-black-silicone-strap-tw2v87400
,208.90,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-g-sea-lion-quartz-orange-dial-black-rubber-strap-x2-2059-1
194366252415,126.45,Default Title,https://www.mygiftstop.com/products/timex-mens-watch-the-waterbury-quartz-black-and-red-dial-rubber-strap-tw2v73500
886678611010,73.90,Default Title,https://www.mygiftstop.com/products/invicta-mens-watch-pro-diver-quartz-chronograph-stainless-steel-bracelet-46040
,420.45,Default Title,https://www.mygiftstop.com/products/orient-mens-automatic-watch-m-force-dive-orange-dial-bracelet-ra-ac0l08y00b
850019090604,14.93,S/M,https://www.mygiftstop.com/products/lxsgo-active-compression-socks-for-men-women-1-pair-black
,87.94,Default Title,https://www.mygiftstop.com/products/swatch-womens-watch-time-to-swatch-mediolino-silver-dial-rubber-strap-sfe112
886678535514,91.94,Default Title,https://www.mygiftstop.com/products/invicta-mens-quartz-watch-aviator-chronograph-stainless-steel-bracelet-39658
194366252835,82.98,Default Title,https://www.mygiftstop.com/products/timex-mens-watch-expedition-rotating-bezel-black-and-orange-strap-tw2v66100jr
814895026942,28.82,Medium,https://www.mygiftstop.com/products/point6-socks-hiking-mixed-stripe-chestunut-lime-medium-crew-2567-204
889652532745,226.20,Default Title,https://www.mygiftstop.com/products/balenciaga-mens-sunglasses-gunmetal-metal-geometric-full-rim-frame-bb0413s-004
,107.94,Default Title,https://www.mygiftstop.com/products/swarovski-womens-necklace-lizard-rainbow-crystals-union-island-ghecko-5546231
,61.26,Default Title,https://www.mygiftstop.com/products/casio-mens-watch-quartz-oval-case-blue-dial-black-resin-strap-mw-600e-2a
,933.00,Default Title,https://www.mygiftstop.com/products/carl-bucherer-mens-watch-adamavi-white-dial-silver-bracelet-00-10318-08-11-21
072838604804,479.95,Medium,https://www.mygiftstop.com/products/pilot-fountain-pen-gift-set-custom-823-smoke-black-resin-finish
,163.35,Medium,https://www.mygiftstop.com/products/montegrappa-fortuna-mosaico-marrakesh-fountain-pen
72838215451,335.95,Medium,https://www.mygiftstop.com/products/pilot-fountain-pen-vanishing-point-birchwood-red-barrel-retractable
,157.05,Medium,https://www.mygiftstop.com/products/montegrappa-fortuna-palladium-fountain-pen
850019090611,14.93,L/XL,https://www.mygiftstop.com/products/lxsgo-active-compression-socks-for-men-women-1-pair-black
814895026959,28.82,Large,https://www.mygiftstop.com/products/point6-socks-hiking-mixed-stripe-chestunut-lime-medium-crew-2567-204
072838604903,479.95,Broad,https://www.mygiftstop.com/products/pilot-fountain-pen-gift-set-custom-823-smoke-black-resin-finish
191101014659,123.80,Default Title,https://www.mygiftstop.com/products/stainless-steel-brushed-and-polished-black-blue-ip-plated-8-5in-bracelet
886774971988,106.94,Default Title,https://www.mygiftstop.com/products/stainless-steel-leather-black-cz-brushed-bracelet
191101057168,243.07,Default Title,https://www.mygiftstop.com/products/14k-tri-color-d-c-graduated-3-ring-hoops
,123.21,Default Title,https://www.mygiftstop.com/products/sterling-silver-multi-pear-amethyst-earrings
,81.86,Default Title,https://www.mygiftstop.com/products/sterling-silver-open-beaded-square-with-center-square-blue-topaz-earrings
603246621697,161.91,Default Title,https://www.mygiftstop.com/products/bogs-mens-boots-bedrock-composite-toe-6-waterproof-72302pp-249
192410069668,51.55,6,https://www.mygiftstop.com/products/sanuk-womens-sandals-yoga-sling-2-prints-black-chevron-1100694-bcvr
192410069675,51.55,7,https://www.mygiftstop.com/products/sanuk-womens-sandals-yoga-sling-2-prints-black-chevron-1100694-bcvr
192410069712,51.55,8,https://www.mygiftstop.com/products/sanuk-womens-sandals-yoga-sling-2-prints-black-chevron-1100694-bcvr
192410069729,51.55,9,https://www.mygiftstop.com/products/sanuk-womens-sandals-yoga-sling-2-prints-black-chevron-1100694-bcvr
192410069736,51.55,10,https://www.mygiftstop.com/products/sanuk-womens-sandals-yoga-sling-2-prints-black-chevron-1100694-bcvr
042429548016,517.45,Default Title,https://www.mygiftstop.com/products/watches-bulova-98a179-automatic
