UPC,Price,Variant,Source Link
,40.94,Default Title,https://www.mygiftstop.com/products/visconti-fountain-pen-breeze-marbled-lime-resin-medium-nib-kp08-02-fpm
746469625223,398.95,Default Title,https://www.mygiftstop.com/products/luminox-mens-watch-modern-mariner-quartz-black-dial-steel-bracelet-xs-6252-bo
889232122472,52.06,Default Title,https://www.mygiftstop.com/products/casio-mens-chronograph-watch-heavy-duty-black-dial-mcw100h-4a
046928146192,40.94,Default Title,https://www.mygiftstop.com/products/wenger-womens-watch-metropolitan-donnissima-white-dial-leather-strap-01-1731-109
079767993382,98.28,Default Title,https://www.mygiftstop.com/products/casio-mens-digital-watch-g-shock-world-time-resin-strap-dive-gd120cm-5
046928132270,129.00,Default Title,https://www.mygiftstop.com/products/victorinox-swiss-army-womens-steel-bracelet-watch-alliance-small-quartz-241829
079767954352,104.90,Default Title,https://www.mygiftstop.com/products/watches-casio-awgm100b-1a-g-shock
889232125275,83.60,Default Title,https://www.mygiftstop.com/products/casio-mens-ana-digi-watch-g-shock-blue-orange-resin-strap-dive-ga100l-2a
,41.24,Default Title,https://www.mygiftstop.com/products/visconti-fountain-pen-breeze-cherry-resin-magnetic-cap-medium-nib-kp08-04-fpm
,42.08,Default Title,https://www.mygiftstop.com/products/visconti-fountain-pen-breeze-mandarine-resin-magnetic-cap-medium-kp08-03-fpm
046928146208,41.94,Default Title,https://www.mygiftstop.com/products/wenger-womens-watch-metropolitan-donnissima-white-dial-pink-strap-01-1731-110
746469361718,199.94,Default Title,https://www.mygiftstop.com/products/luminox-mens-quartz-watch-navy-seal-3600-series-green-dial-strap-dive-3617-set
079767921057,83.90,Default Title,https://www.mygiftstop.com/products/watches-casio-ba110-7a1
886678324262,63.92,Default Title,https://www.mygiftstop.com/products/invicta-mens-quartz-watch-pro-diver-black-dial-yellow-gold-bracelet-26975
746469300557,193.59,Default Title,https://www.mygiftstop.com/products/luminox-navy-seal-dive-watch-model-3005
079767935566,88.90,Default Title,https://www.mygiftstop.com/products/watches-casio-ga110-1b-g-shock
746469305118,259.94,Default Title,https://www.mygiftstop.com/products/watches-luminox-3051
079767443924,75.45,Default Title,https://www.mygiftstop.com/products/watches-casio-ga100-1a4-g-shock
079767056247,89.95,Default Title,https://www.mygiftstop.com/products/watches-casio-ga110mb-1a-g-shock
046928146215,41.10,Default Title,https://www.mygiftstop.com/products/wenger-womens-watch-metropolitan-donnissima-white-dial-grey-strap-01-1731-111
886678324255,54.46,Default Title,https://www.mygiftstop.com/products/invicta-mens-quartz-watch-pro-diver-blue-dial-yellow-gold-bracelet-26974
7630040915373,199.94,Default Title,https://www.mygiftstop.com/products/luminox-0323-sea-turtle-giant-0320-mens-blue-dial-watch
079767958466,98.93,Default Title,https://www.mygiftstop.com/products/watches-casio-gw2310fb-1
079767969653,94.53,Default Title,https://www.mygiftstop.com/products/watches-casio-ga110rg-1-g-shock
