UPC,Price,Variant,Source Link
,102.00,Default Title,https://www.nestnewyork.com/products/madagascar-vanilla-perfume-oil-30ml-4?variant=44691992314056
840732131487,88.00,Pumpkin Chai,https://www.nestnewyork.com/products/pumpkin-chai-3-wick-candle-2?variant=44721828987080
840732131357,50.00,Pumpkin Chai,https://www.nestnewyork.com/products/pumpkin-chai-classic-candle-3?variant=44721826267336
840732132026,28.00,Pumpkin Chai,https://www.nestnewyork.com/products/pumpkin-chai-liquid-soap-2?variant=44721834721480
840732132613,62.00,Sunlit Yuzu & Neroli,https://www.nestnewyork.com/products/sunlit-yuzu-neroli-reed-diffuser-1?variant=44546604040392
840732132460,85.00,Sunlit Yuzu & Neroli,https://www.nestnewyork.com/products/sunlit-yuzu-neroli-3-wick-candle-1?variant=44546602860744
840732132170,48.00,Sunlit Yuzu & Neroli,https://www.nestnewyork.com/products/sunlit-yuzu-neroli-classic-candle-1?variant=44546598830280
840732132323,20.00,Sunlit Yuzu & Neroli,https://www.nestnewyork.com/products/sunlit-yuzu-neroli-votive-candle-1?variant=44546588868808
840732132422,85.00,Ocean Mist & Sea Salt,https://www.nestnewyork.com/products/ocean-mist-sea-salt-3-wick-candle-1?variant=44485188518088
840732126506,46.00,Bamboo,https://www.nestnewyork.com/products/bamboo-reed-diffuser-liquid-refill?variant=37811268714696
840732127428,98.00,Default Title,https://www.nestnewyork.com/products/indigo-fine-fragrance-set?variant=42622512562376
840732133108,26.00,Wild Mint & Eucalyptus,https://www.nestnewyork.com/products/wild-mint-eucalyptus-liquid-soap-1?variant=44564643774664
840732132576,62.00,Ocean Mist & Sea Salt,https://www.nestnewyork.com/products/ocean-mist-sea-salt-reed-diffuser?variant=44485207228616
840732133115,26.00,Grapefruit,https://www.nestnewyork.com/products/grapefruit-liquid-soap-1?variant=44564629422280
840732132125,48.00,Moroccan Amber,https://www.nestnewyork.com/products/moroccan-amber-classic-candle?variant=44485169152200
840732134341,35.00,Madagascar Vanilla,https://www.nestnewyork.com/products/madagascar-vanilla-perfume-oil-6ml-1?variant=44690348605640
,141.00,Default Title,https://www.nestnewyork.com/products/viral-vanilla?variant=44558501413064
840732132415,85.00,Moroccan Amber,https://www.nestnewyork.com/products/moroccan-amber-3-wick-candle?variant=44485161681096
,92.00,Default Title,https://www.nestnewyork.com/products/vanilla-bourbon-eau-de-parfum-50ml-1?variant=44692001784008
840732132569,62.00,Moroccan Amber,https://www.nestnewyork.com/products/moroccan-amber-reed-diffuser?variant=44485173248200
840732129446,39.00,Madagascar Vanilla,https://www.nestnewyork.com/products/madagascar-vanilla-body-mist?variant=43632091398344
840732129422,39.00,Balinese Coconut,https://www.nestnewyork.com/products/balinese-coconut-body-mist?variant=43631205810376
840732132385,85.00,Grapefruit,https://www.nestnewyork.com/products/grapefruit-3-wick-candle-1?variant=44484941447368
840732133139,26.00,Moroccan Amber,https://www.nestnewyork.com/products/moroccan-amber-liquid-soap-1?variant=44564631748808
840732131982,42.00,Pumpkin Chai,https://www.nestnewyork.com/products/pumpkin-chai-refill-duo-for-nest-x-pura-smart-home-fragrance-diffuser-smart-vials?variant=44721833967816
840732132514,62.00,Wild Mint & Eucalyptus,https://www.nestnewyork.com/products/wild-mint-eucalyptus-reed-diffuser-1?variant=44485280497864
840732126551,46.00,Ocean Mist & Sea Salt,https://www.nestnewyork.com/products/ocean-mist-sea-salt-reed-diffuser-liquid-refill?variant=37811295027400
840732133085,26.00,Bamboo,https://www.nestnewyork.com/products/bamboo-liquid-soap?variant=44564626014408
840732130534,104.00,Default Title,https://www.nestnewyork.com/products/madagascar-vanilla-perfume-oil-set-1?variant=44579839705288
,92.00,Default Title,https://www.nestnewyork.com/products/indigo-eau-de-parfum-50ml-4?variant=44692005191880
840732132132,48.00,Ocean Mist & Sea Salt,https://www.nestnewyork.com/products/ocean-mist-sea-salt-classic-candle-1?variant=44485194088648
840732132347,85.00,Bamboo,https://www.nestnewyork.com/products/bamboo-3-wick-candle?variant=44484740677832
840732134143,32.00,Indigo,https://www.nestnewyork.com/products/indigo-travel-spray-8ml?variant=44690323112136
840732132071,48.00,Wild Mint & Eucalyptus,https://www.nestnewyork.com/products/wild-mint-eucalyptus-classic-candle-1?variant=44485276631240
840732126544,46.00,Moroccan Amber,https://www.nestnewyork.com/products/moroccan-amber-reed-diffuser-liquid-refill?variant=37811293749448
840732134181,32.00,Vanilla Bourbon,https://www.nestnewyork.com/products/vanilla-bourbon-travel-spray-8ml-1?variant=44690323964104
840732132040,48.00,Bamboo,https://www.nestnewyork.com/products/bamboo-classic-candle-1?variant=44464425959624
840732133146,26.00,Ocean Mist & Sea Salt,https://www.nestnewyork.com/products/ocean-mist-sea-salt-liquid-soap-1?variant=44564632568008
840732134457,42.00,Sunlit Yuzu & Neroli,https://www.nestnewyork.com/products/sunlit-yuzu-neroli-refill-duo-for-nest-x-pura-smart-home-fragrance-diffuser-smart-vials?variant=44688802316488
840732132521,62.00,Grapefruit,https://www.nestnewyork.com/products/grapefruit-reed-diffuser?variant=44484958355656
840732132088,48.00,Grapefruit,https://www.nestnewyork.com/products/grapefruit-classic-candle-1?variant=44484946493640
840732131579,65.00,Pumpkin Chai,https://www.nestnewyork.com/products/pumpkin-chai-reed-diffuser-3?variant=44721832394952
840732131760,230.00,Pumpkin Chai,https://www.nestnewyork.com/products/pumpkin-chai-luxury-candle-1?variant=44721830887624
,102.00,Default Title,https://www.nestnewyork.com/products/balinese-coconut-perfume-oil-30ml-4?variant=44691992740040
840732126520,46.00,Grapefruit,https://www.nestnewyork.com/products/grapefruit-reed-diffuser-liquid-refill?variant=37811277725896
840732131418,22.00,Pumpkin Chai,https://www.nestnewyork.com/products/pumpkin-chai-votive-candle-3?variant=44721829839048
840732132484,62.00,Bamboo,https://www.nestnewyork.com/products/bamboo-reed-diffuser?variant=44484840194248
840732134327,35.00,Balinese Coconut,https://www.nestnewyork.com/products/balinese-coconut-perfume-oil-6ml-1?variant=44690354667720
