UPC,Price,Variant,Promo,Source
768990016189,40.509,Algae Omega,NORDIC10,https://www.nhc.com/algae-omega-by-nordic-naturals?custcol_nhc_size=2556
768990016066,23.679,Algae Omega,NORDIC10,https://www.nhc.com/algae-omega-by-nordic-naturals?custcol_nhc_size=2764
768990018602,24.444,Cholesterol Support Omega Blend,NORDIC10,https://www.nhc.com/cholesterol-support-by-nordic-naturals
768990018787,44.333999999999996,Memory Support,NORDIC10,https://www.nhc.com/memory-support-by-nordic-naturals
768990018404,39.744,Vision Support Omega Blend,NORDIC10,https://www.nhc.com/vision-support-omega-blend-by-nordic-naturals
768990018701,22.149,Blood Sugar Support Omega Blend,NORDIC10,https://www.nhc.com/blood-sugar-support-by-nordic-naturals
768990017391,29.799,Menopause Support,NORDIC10,https://www.nhc.com/menopause-support-by-nordic-naturals
768990027789,29.034,Complete Omega-D3 120 Softgels,NORDIC10,https://www.nhc.com/complete-omega-d3-by-nordic-naturals?custcol_nhc_size=2556
768990017780,16.029,Complete Omega-D3 60 Softgels,NORDIC10,https://www.nhc.com/complete-omega-d3-by-nordic-naturals?custcol_nhc_size=2764
768990578854,36.684,Arctic Cod Liver Oil Softgels 180 Softgels,NORDIC10,https://www.nhc.com/arctic-cod-liver-oil-softgels-by-nordic-naturals?custcol_nhc_size=2520
768990577857,19.089000000000002,Arctic Cod Liver Oil Softgels 90 Softgels,NORDIC10,https://www.nhc.com/arctic-cod-liver-oil-softgels-by-nordic-naturals?custcol_nhc_size=2619
768990587832,24.444,Arctic-D Cod Liver Oil Lemon,NORDIC10,https://www.nhc.com/arctic-d-cod-liver-oil-by-nordic-naturals
768990018732,39.744,Omega Focus,NORDIC10,https://www.nhc.com/omega-focus-by-nordic-naturals
768990018015,25.974,Complete Omega Xtra,NORDIC10,https://www.nhc.com/complete-omega-xtra-by-nordic-naturals
768990587856,24.444,Arctic Cod Liver Oil Lemon 8 Oz,NORDIC10,https://www.nhc.com/arctic-cod-liver-oil-by-nordic-naturals?custcol_nhc_flavor=491&custcol_nhc_size=157
768990547874,42.039,Arctic Cod Liver Oil Orange 16 Oz,NORDIC10,https://www.nhc.com/arctic-cod-liver-oil-by-nordic-naturals?custcol_nhc_flavor=521&custcol_nhc_size=41
768990547850,24.444,Arctic Cod Liver Oil Orange 8 Oz,NORDIC10,https://www.nhc.com/arctic-cod-liver-oil-by-nordic-naturals?custcol_nhc_flavor=521&custcol_nhc_size=157
768990537851,24.444,Arctic Cod Liver Oil Plain 8 Oz,NORDIC10,https://www.nhc.com/arctic-cod-liver-oil-by-nordic-naturals?custcol_nhc_flavor=248&custcol_nhc_size=157
768990567834,24.444,Arctic Cod Liver Oil Strawberry 8 Oz,NORDIC10,https://www.nhc.com/arctic-cod-liver-oil-by-nordic-naturals?custcol_nhc_flavor=553&custcol_nhc_size=157
768990027703,27.503999999999998,Complete Omega 120 Softgels,NORDIC10,https://www.nhc.com/complete-omega-by-nordic-naturals?custcol_nhc_size=2556
768990037702,39.744,Complete Omega 180 Softgels,NORDIC10,https://www.nhc.com/complete-omega-by-nordic-naturals?custcol_nhc_size=2520
768990017704,15.264000000000001,Complete Omega 60 Softgels,NORDIC10,https://www.nhc.com/complete-omega-by-nordic-naturals?custcol_nhc_size=2764
030985070781,10.754999999999999,Jasmine & Vanilla Hydrating Shea Body Lotion,DERMAE,https://www.nhc.com/jasmine-vanilla-shea-body-lotion-by-derma-e
030985003581,16.875,Vitamin C No Dark Circles Perfecting Eye Cream,DERMAE,https://www.nhc.com/vitamin-c-no-dark-circles-eye-cream-by-derma-e
030985003659,17.964000000000002,Vitamin C Concentrated Serum,DERMAE,https://www.nhc.com/vitamin-c-concentrated-serum-by-derma-e
030985095005,15.254999999999999,Itch Relief Lotion,DERMAE,https://www.nhc.com/itch-relief-lotion-by-derma-e
030985007008,25.884,Advanced Peptides & Flora-Collagen Moisturizer,DERMAE,https://www.nhc.com/advanced-peptides-flora-collagen-moisturizer-by-derma-e
030985091250,15.75,Tea Tree & Vitamin E Relief Cream,DERMAE,https://www.nhc.com/tea-tree-vitamin-e-relief-cream-by-derma-e
030985037005,15.254999999999999,Acne Deep Pore Cleansing Wash,DERMAE,https://www.nhc.com/acne-deep-pore-cleansing-wash-by-derma-e
030985003703,17.964000000000002,Vitamin C Intense Night Cream,DERMAE,https://www.nhc.com/vitamin-c-intense-night-cream-by-derma-e
030985005202,13.455,Vitamin E Skin Oil 14000 IU,DERMAE,https://www.nhc.com/vitamin-e-skin-oil-14000-iu-by-derma-e
030985006032,15.254999999999999,Vitamin C Daily Brightening Cleanser,DERMAE,https://www.nhc.com/vitamin-c-daily-brightening-cleanser-by-derma-e
030985004816,14.85,Anti-Wrinkle Cleanser Vitamin A Glycolic Acid,DERMAE,https://www.nhc.com/anti-wrinkle-cleanser-by-derma-e
030985006902,23.400000000000002,Microdermabrasion Scrub,DERMAE,https://www.nhc.com/microdermabrasion-scrub-by-derma-e
030985070705,10.754999999999999,Vitamin E Therapeutic Shea Body Lotion Fragrance Free 8 Oz,DERMAE,https://www.nhc.com/vitamin-e-shea-body-lotion-by-derma-e?custcol_nhc_fragrance=71&custcol_nhc_size=157
030985070712,10.754999999999999,Vitamin E Therapeutic Shea Body Lotion Lavender & Neroli 8 Oz,DERMAE,https://www.nhc.com/vitamin-e-shea-body-lotion-by-derma-e?custcol_nhc_fragrance=710&custcol_nhc_size=157
030985039009,16.884,Acne Rebalancing Cream Anti-Blemish Complex,DERMAE,https://www.nhc.com/acne-rebalancing-cream-anti-blemish-complex-by-derma-e
030985070736,7.65,Vitamin E Lavender & Neroli Shea Hand Repair Cream,DERMAE,https://www.nhc.com/vitamin-e-lavender-neroli-shea-hand-cream-by-derma-e
030985019759,16.875,Hydrating Eye Cream Hyaluronic Acid,DERMAE,https://www.nhc.com/hydrating-eye-cream-hyaluronic-acid-by-derma-e
030985004793,17.055,Retinol Concentrated Serum,DERMAE,https://www.nhc.com/retinol-concentrated-serum-by-derma-e
