UPC,Price,Variant,Source Link
197967923753,99.98,5,https://shopnicekicks.com/products/new-balance-m1000egr-1000-mens-lifestyle-shoe-silver-metallic-black?variant=48226898837709
197967923760,99.98,5.5,https://shopnicekicks.com/products/new-balance-m1000egr-1000-mens-lifestyle-shoe-silver-metallic-black?variant=48226898870477
197967923777,99.98,6,https://shopnicekicks.com/products/new-balance-m1000egr-1000-mens-lifestyle-shoe-silver-metallic-black?variant=48226898903245
197967923784,99.98,6.5,https://shopnicekicks.com/products/new-balance-m1000egr-1000-mens-lifestyle-shoe-silver-metallic-black?variant=48226898936013
197862868227,109.98,3.5,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269571277
197862871548,109.98,4,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269604045
197862862195,109.98,4.5,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269636813
197862852585,109.98,5,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269669581
197967923791,99.98,7,https://shopnicekicks.com/products/new-balance-m1000egr-1000-mens-lifestyle-shoe-silver-metallic-black?variant=48226898968781
197967923807,99.98,7.5,https://shopnicekicks.com/products/new-balance-m1000egr-1000-mens-lifestyle-shoe-silver-metallic-black?variant=48226899001549
197967923814,99.98,8,https://shopnicekicks.com/products/new-balance-m1000egr-1000-mens-lifestyle-shoe-silver-metallic-black?variant=48226899034317
197967923821,99.98,8.5,https://shopnicekicks.com/products/new-balance-m1000egr-1000-mens-lifestyle-shoe-silver-metallic-black?variant=48226899067085
197862851076,109.98,5.5,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269702349
197862872552,109.98,6,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269735117
197862872699,109.98,6.5,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269767885
197862844535,109.98,7,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269800653
197862858761,109.98,7.5,https://shopnicekicks.com/products/nike-hv2282-001-air-diamond-turf-mens-lifestyle-shoe-black-white-club-purple-metallic-gold?variant=48222269833421
