UPC,ASIN,Title,Brand,Cost,Price,Profit,ROI,Margin,Estimated Sales,Offers,Amazon Last Seen,Sales Rank,Average30,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Size,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Color,Variation Parent,Variations,Variation,Promotion,Source_url
1.98E+11,B0FHSMR41G,Jordan Flight MVP,Nike,38,0,-38,-100%,,,0,,-1,,,,1,,,UNKNOWN,0,0,0,0,X-Large,0,0,0,0,0,0,Black/Sail/Sail,,,Black/Sail/Sail - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-mvp-mens-t-shirt-QJtRKn/HJ2330-010
1.98E+11,,,,38,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Black/Sail/Sail - XS,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-mvp-mens-t-shirt-QJtRKn/HJ2330-010
1.98E+11,B0F6CZLJNT,Flight Pro Cap by Jordan,Nike,29.97,0,-29.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Small-Medium,0,0,0,0,0,0,Black/Black,,,Black/Black - S/M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-pro-adjustable-unstructured-hat-QdZlHF/HJ3248-010
1.98E+11,B0F7Q2B2QM,Flight MVP by Jordan,Nike,32.97,0,-32.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Small,0,0,0,0,0,0,Desert Camo/Black/Black,,,Desert Camo/Black/Black - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-mvp-mens-t-shirt-QJtRKn/HJ2330-257
1.98E+11,,,,29.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Washed Teal/Washed Teal - S/M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-pro-adjustable-unstructured-hat-QdZlHF/HJ3248-392
1.98E+11,,,,29.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Washed Teal/Washed Teal - L/XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-pro-adjustable-unstructured-hat-QdZlHF/HJ3248-392
1.98E+11,,,,32.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Desert Camo/Black/Black - XS,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-mvp-mens-t-shirt-QJtRKn/HJ2330-257
1.98E+11,,,,29.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Washed Teal/Washed Teal - M/L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-pro-adjustable-unstructured-hat-QdZlHF/HJ3248-392
1.98E+11,B0F6D1L85X,Jordan Flight Pro,Nike,29.97,0,-29.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Medium-Large,0,0,0,0,0,0,Black/Black,,,Black/Black - M/L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-pro-adjustable-unstructured-hat-QdZlHF/HJ3248-010
1.98E+11,B0F7P89LK4,MVP Flight by Jordan,Nike,32.97,0,-32.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,XX-Large,0,0,0,0,0,0,Desert Camo/Black/Black,,,Desert Camo/Black/Black - 2XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-mvp-mens-t-shirt-QJtRKn/HJ2330-257
