upc,price,variation,promotion,source_url
'197860895188,60,Anthracite - S Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197859533466,60,Anthracite - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197860868755,60,Anthracite - M Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197859576708,60,Anthracite - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197860874640,60,Anthracite - L Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197859542505,60,Anthracite - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197860880726,60,Anthracite - XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197859561667,60,Anthracite - 2XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197860876071,60,Anthracite - 2XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197859570386,60,Anthracite - 3XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197860893658,60,Anthracite - 3XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197860883338,60,Anthracite - 4XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197860900172,60,Anthracite - 4XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-060
'197859568765,60,Light Army - XS,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197859533527,60,Light Army - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197860898776,60,Light Army - S Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197859545520,60,Light Army - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197860909694,60,Light Army - M Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197859527625,60,Light Army - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197860903487,60,Light Army - L Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197859528523,60,Light Army - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197860906686,60,Light Army - XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197859581771,60,Light Army - 2XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
'197860902404,60,Light Army - 2XL Tall,EXTRA 20% Off with code SPORT,https://www.nike.com/t/sportswear-max90-t-shirt-L4dCJt/HJ0614-320
