UPC,Price,Variant,Source Link
850044842070,88.00,Default Title,https://ogee.com/products/elixir-vitamin-c-thda-20?variant=40546999533629
,48.00,Default Title,https://ogee.com/products/the-powder-brush-1?variant=41466477117501
810168150086,28.00,Default Title,https://ogee.com/products/makeup-removing-cleansing-cloths?variant=41978812760125
,66.00,Default Title,https://ogee.com/products/botanical-brilliance-exfoliating-cleanser-1?variant=41741020037181
,38.00,Default Title,https://ogee.com/products/targeted-blemish-treatment-upsell?variant=41223211614269
855312008332,56.00,Default Title,https://ogee.com/products/luminous-botanical-face-mist?variant=31991297212477
850044842711,44.00,Default Title,https://ogee.com/products/the-base-brush?variant=41595990016061
,86.00,Default Title,https://ogee.com/products/upsell-activated-botanical-primer?variant=40925886185533
855312008561,182.00,Default Title,https://ogee.com/products/ultimate-color-collection?variant=32855141351485
810168150956,38.00,Default Title,https://ogee.com/products/lip-minimalist-duo?variant=42352950870077
810168150932,40.00,Default Title,https://ogee.com/products/bronze-blend-duo?variant=42342945751101
,88.00,Default Title,https://ogee.com/products/retinol-alternative-bakuchiol-2-elixir?variant=41741012238397
,120.00,Default Title,https://ogee.com/products/seeds-of-youth-serum-1?variant=41750581739581
,38.00,Default Title,https://ogee.com/products/sculpted-skin-perfecting-powder-stone-translucent?variant=41741008601149
850044842308,28.00,Default Title,https://ogee.com/products/the-precision-brush?variant=40616927494205
855312008479,190.00,Default Title,https://ogee.com/products/dynamic-duo?variant=31276659507261
,68.00,Default Title,https://ogee.com/products/glacial-clay-detox-mask-1?variant=41741022363709
850044842087,88.00,Default Title,https://ogee.com/products/hyaluronic-acid-elixir?variant=40662535831613
850044842094,88.00,Default Title,https://ogee.com/products/elixir-natural-retinol-bakuchiol-2?variant=40546996813885
855312008523,96.00,CRYSTAL CONTOUR COLLECTION,https://ogee.com/products/sculpted-face-stick-bundle-3pc?variant=40233242624061
855312008080,72.00,Default Title,https://ogee.com/products/liquid-gold-cleansing-oil?variant=13187723558973
810168150079,48.00,Default Title,https://ogee.com/products/spf-primer?variant=41960196177981
,44.00,Default Title,https://ogee.com/products/upsell-the-blender-brush?variant=41662425628733
