UPC,Price,Variant,Source Link
0198411005025,44.99,5 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752618099
0198411005032,44.99,6 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752650867
0198411005049,44.99,7 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752683635
0198411005056,44.99,8 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752716403
0198411005063,44.99,9 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752749171
0198411005070,44.99,10 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752781939
0198411005087,44.99,11 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752814707
0198411005094,44.99,12 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752847475
0198411005100,44.99,13 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752880243
0198411005117,44.99,14 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752913011
0198411005124,44.99,15 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752945779
0198411005131,44.99,16 / Dune,https://www.oofos.com/products/womens-ooahh-slide-sandal-dune?variant=43039752978547
0848282074193,49.99,8 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919515251
0848282074209,49.99,9 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919548019
0848282074216,49.99,9.5 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919580787
0848282074223,49.99,10 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919613555
0848282074230,49.99,10.5 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919646323
0848282074247,49.99,11 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919679091
0848282074254,49.99,11.5 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919711859
0848282074261,49.99,12 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919744627
0848282074278,49.99,12.5 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919777395
0848282034258,49.99,5 / White & Black,https://www.oofos.com/products/womens-oomg-eezee-low-shoe-white-and-black?variant=32188256190579
0198411005025,44.99,3 / Dune,https://www.oofos.com/products/mens-ooahh-slide-sandal-dune?variant=43039739347059
0198411006275,44.99,6 / Sky,https://www.oofos.com/products/womens-ooahh-sport-flex-sandal-sky-rally?variant=42815394676851
0848282074285,49.99,13 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919810163
0198411005148,42.99,5 / Mist Breeze,https://www.oofos.com/products/womens-ooahh-limited-slide-sandal-mist-breeze?variant=42969462210675
0198411006275,44.99,4 / Sky,https://www.oofos.com/products/mens-ooahh-sport-flex-sandal-sky-rally?variant=42815394971763
0198411011040,35.99,3 / Sunburst,https://www.oofos.com/products/mens-ooahh-slide-sandal-sunburst?variant=42995219202163
0848282053488,59.99,8 / Black Sherpa,https://www.oofos.com/products/mens-oocoozie-mule-black?variant=39971007758451
0198411007234,59.99,5 / Mist Sherpa,https://www.oofos.com/products/womens-oocoozie-low-shoe-mist?variant=42153094152307
0198411006381,44.99,4 / Smoke,https://www.oofos.com/products/mens-ooahh-sport-flex-sandal-smoke-rally?variant=42815398445171
0848282034265,49.99,6 / White & Black,https://www.oofos.com/products/womens-oomg-eezee-low-shoe-white-and-black?variant=32188256223347
0848282016193,49.99,5 / Black,https://www.oofos.com/products/womens-oomg-canvas-low-shoe-black?variant=31262958911603
0848282073646,49.99,5 / Black,https://www.oofos.com/products/womens-oomg-sport-ls-low-shoe-black?variant=40828507226227
0198411005032,44.99,4 / Dune,https://www.oofos.com/products/mens-ooahh-slide-sandal-dune?variant=43039739379827
0198411006282,44.99,7 / Sky,https://www.oofos.com/products/womens-ooahh-sport-flex-sandal-sky-rally?variant=42799144337523
0848282074292,49.99,14 / Black,https://www.oofos.com/products/mens-oomg-sport-ls-low-shoe-black?variant=40840919842931
0198411005155,42.99,6 / Mist Breeze,https://www.oofos.com/products/womens-ooahh-limited-slide-sandal-mist-breeze?variant=42969462243443
0198411006282,44.99,5 / Sky,https://www.oofos.com/products/mens-ooahh-sport-flex-sandal-sky-rally?variant=42799141290099
0198411011057,35.99,4 / Sunburst,https://www.oofos.com/products/mens-ooahh-slide-sandal-sunburst?variant=42995219234931
0848282077682,59.99,5 / Chocolate Sherpa,https://www.oofos.com/products/womens-oocoozie-mule-shoe-chocolate?variant=40901158797427
0848282053495,59.99,9 / Black Sherpa,https://www.oofos.com/products/mens-oocoozie-mule-black?variant=39971007791219
0198411007241,59.99,6 / Mist Sherpa,https://www.oofos.com/products/womens-oocoozie-low-shoe-mist?variant=42153094185075
0198411006398,44.99,5 / Smoke,https://www.oofos.com/products/mens-ooahh-sport-flex-sandal-smoke-rally?variant=42815398477939
0848282034272,49.99,6.5 / White & Black,https://www.oofos.com/products/womens-oomg-eezee-low-shoe-white-and-black?variant=32188256256115
0848282016209,49.99,6 / Black,https://www.oofos.com/products/womens-oomg-canvas-low-shoe-black?variant=31262958944371
0848282073653,49.99,6 / Black,https://www.oofos.com/products/womens-oomg-sport-ls-low-shoe-black?variant=40828507258995
0198411005049,44.99,5 / Dune,https://www.oofos.com/products/mens-ooahh-slide-sandal-dune?variant=43039739412595
0198411006299,44.99,8 / Sky,https://www.oofos.com/products/womens-ooahh-sport-flex-sandal-sky-rally?variant=42799144370291
0198411005162,42.99,7 / Mist Breeze,https://www.oofos.com/products/womens-ooahh-limited-slide-sandal-mist-breeze?variant=42969462276211
0198411006299,44.99,6 / Sky,https://www.oofos.com/products/mens-ooahh-sport-flex-sandal-sky-rally?variant=42799141322867
0198411003885,69.99,5 / Chalk & Coral,https://www.oofos.com/products/womens-oomy-zen-coral?variant=42553051316339
0198411011064,35.99,5 / Sunburst,https://www.oofos.com/products/mens-ooahh-slide-sandal-sunburst?variant=42995219267699
0848282077699,59.99,6 / Chocolate Sherpa,https://www.oofos.com/products/womens-oocoozie-mule-shoe-chocolate?variant=40901158830195
0848282053501,59.99,9.5 / Black Sherpa,https://www.oofos.com/products/mens-oocoozie-mule-black?variant=39971007823987
0198411007258,59.99,6.5 / Mist Sherpa,https://www.oofos.com/products/womens-oocoozie-low-shoe-mist?variant=42153094217843
0198411006404,44.99,6 / Smoke,https://www.oofos.com/products/mens-ooahh-sport-flex-sandal-smoke-rally?variant=42815398510707
0848282034289,49.99,7 / White & Black,https://www.oofos.com/products/womens-oomg-eezee-low-shoe-white-and-black?variant=32188256288883
0848282032025,49.99,6.5 / Black,https://www.oofos.com/products/womens-oomg-canvas-low-shoe-black?variant=31945109176435
0848282073660,49.99,6.5 / Black,https://www.oofos.com/products/womens-oomg-sport-ls-low-shoe-black?variant=40828507291763
0198411005056,44.99,6 / Dune,https://www.oofos.com/products/mens-ooahh-slide-sandal-dune?variant=43039739445363
0198411006305,44.99,9 / Sky,https://www.oofos.com/products/womens-ooahh-sport-flex-sandal-sky-rally?variant=42799144403059
0848282072878,49.99,5 / Black,https://www.oofos.com/products/womens-oomg-sport-low-shoe-black?variant=40780304515187
0198411005179,42.99,8 / Mist Breeze,https://www.oofos.com/products/womens-ooahh-limited-slide-sandal-mist-breeze?variant=42969462308979
0198411006305,44.99,7 / Sky,https://www.oofos.com/products/mens-ooahh-sport-flex-sandal-sky-rally?variant=42799141355635
0198411003892,69.99,6 / Chalk & Coral,https://www.oofos.com/products/womens-oomy-zen-coral?variant=42553051349107
0198411011071,35.99,6 / Sunburst,https://www.oofos.com/products/mens-ooahh-slide-sandal-sunburst?variant=42995219300467
0848282077705,59.99,6.5 / Chocolate Sherpa,https://www.oofos.com/products/womens-oocoozie-mule-shoe-chocolate?variant=40901158862963
0848282053518,59.99,10 / Black Sherpa,https://www.oofos.com/products/mens-oocoozie-mule-black?variant=39971007856755
0198411007265,59.99,7 / Mist Sherpa,https://www.oofos.com/products/womens-oocoozie-low-shoe-mist?variant=42153094250611
0198411006411,44.99,7 / Smoke,https://www.oofos.com/products/mens-ooahh-sport-flex-sandal-smoke-rally?variant=42815398543475
0848282073097,49.99,5 / White & Black,https://www.oofos.com/products/womens-oomg-sport-white-black?variant=40758455173235
0848282034296,49.99,7.5 / White & Black,https://www.oofos.com/products/womens-oomg-eezee-low-shoe-white-and-black?variant=32188256321651
0848282016216,49.99,7 / Black,https://www.oofos.com/products/womens-oomg-canvas-low-shoe-black?variant=31262958977139
0848282073677,49.99,7 / Black,https://www.oofos.com/products/womens-oomg-sport-ls-low-shoe-black?variant=40828507324531
0848282090698,59.99,5 / White & Gray,https://www.oofos.com/products/womens-oomg-sport-ls-low-shoe-slate?variant=41318379421811
