UPC,Price,Variant,Source Link
OGKFE027SU,64.98,Dark Caviar Heather / XS,https://www.originalpenguin.com/products/earl-color-block-layering-hoodie-black-ogkfe027su-011?variant=41546110304342
1PCA0035RT,119.98,Lapis / 36 / Regular,https://www.originalpenguin.com/products/lapis-pico-suit-jacket-blue-1pca0035rt-462?variant=41818893516886
OCKS2522RT,17.98,Bright White / XS,https://www.originalpenguin.com/products/jersey-graphic-pete-floral-fill-tee-white-ocks2522rt-118?variant=42063269232726
O1BFD002SU,34.97,Black Iris / XS,https://www.originalpenguin.com/products/womens-high-waist-floral-print-tennis-shorts-blue-o1bfd002su-417?variant=40265370828886
OGKSE002SU,39.98,Amparo Blue / XS,https://www.originalpenguin.com/products/technical-earl-golf-polo-multi-colored-ogkse002su-976?variant=41634977185878
2PGD1007OP,29.98,Blue / 14.5 / 32-33,https://www.originalpenguin.com/products/harrington-chambray-dress-shirt-blue-2pgd1007op-400?variant=41275228487766
OBWF2017OP,39.97,Cabernet / LT,https://www.originalpenguin.com/products/big-tall-ecovero-woven-poplin-stretch-shirt-red-obwf2017op-605?variant=40115567034454
OBKB0005OP,24.97,Parfait Pink / 2XLT,https://www.originalpenguin.com/products/big-and-tall-sticker-pete-daddy-pink-obkb0005op-673?variant=39812748935254
OCHM2401RT,45.00,Mock Orange / XS,https://www.originalpenguin.com/products/75-cotton-linen-vertical-stripe-print-slim-fit-short-orange-ochm2401rt-830?variant=41336887607382
OPWR2506OP,44.98,Blue Wing Teal / XS,https://www.originalpenguin.com/products/ecovero-oxford-stretch-long-sleeve-shirt-blue-opwr2506op-415?variant=41746036621398
OPWF2414OP,54.98,True Black / XS,https://www.originalpenguin.com/products/ecovero-blend-loop-back-overshirt-black-opwf2414op-010?variant=41745912594518
OPHSB003OP,29.97,Midnight / 28,https://www.originalpenguin.com/products/basic-cotton-chino-short-blue-ophsb003op-418?variant=40211985334358
OBBSB100OP,24.97,Rococco Red / XL,https://www.originalpenguin.com/products/big-and-tall-sticker-pete-fleece-jogger-pant-red-obbsb100op-617?variant=39919922905174
OGBSC089SU,47.97,Bright White / XS,https://www.originalpenguin.com/products/essential-skort-with-color-block-details-white-ogbsc089su-118?variant=39702872326230
OPWR2505OP,44.98,Ginger Bread / XS,https://www.originalpenguin.com/products/long-sleeve-eco-chambray-stretch-plaid-shirt-brown-opwr2505op-222?variant=42006808526934
OCBS3103RT,55.00,Dusty Olive / 28 / 30,https://www.originalpenguin.com/products/tech-knit-chino-pant-green-ocbs3103rt-307?variant=41533758767190
OCKS1405RT,14.97,Dark Sapphire / XS,https://www.originalpenguin.com/products/eat-drink-sleep-tee-blue-ocks1405rt-413?variant=39380866334806
OGBFD027SU,44.98,Black Iris / 30 / 30,https://www.originalpenguin.com/products/polar-pete-thermal-trouser-pant-blue-ogbfd027su-417?variant=40272309780566
OPHS2015OP,29.97,Pale Banana / XS,https://www.originalpenguin.com/products/stretch-corduroy-short-yellow-ophs2015op-759?variant=39773464330326
OPKF2435OP,39.98,Dusty Olive / XS,https://www.originalpenguin.com/products/loop-back-terry-sweatshirt-green-opkf2435op-307?variant=41665067515990
OGBSC088SU,49.97,Black Iris / XS,https://www.originalpenguin.com/products/kitten-color-block-skort-blue-ogbsc088su-417?variant=39702820520022
OWKB1200OP,34.97,Dark Sapphire / XS,https://www.originalpenguin.com/products/large-pete-logo-polo-blue-owkb1200op-413?variant=40754928222294
OCKF2044RT,34.97,Cabernet / XS,https://www.originalpenguin.com/products/color-block-stripe-track-jacket-red-ockf2044rt-605?variant=41229688897622
O1DSD005SU,44.97,Bright White / XS,https://www.originalpenguin.com/products/sleeveless-illusion-mesh-tennis-dress-white-o1dsd005su-118?variant=40192924876886
OCBSB100RT,19.97,Rococco Red / XS,https://www.originalpenguin.com/products/sticker-pete-fleece-pant-red-ocbsb100rt-617?variant=39591348535382
OPHM2006OP,29.97,Castlerock / XS,https://www.originalpenguin.com/products/pullon-coolmax-short-gray-ophm2006op-022?variant=39958434021462
OCRF2006RT,54.98,Dusty Olive / XS,https://www.originalpenguin.com/products/high-collar-puffer-jacket-green-ocrf2006rt-307?variant=41655071637590
OPGF2410OP,54.98,Birch / XS,https://www.originalpenguin.com/products/chest-stripe-14-zip-sweater-beige-opgf2410op-252?variant=41657888473174
