UPC,Price,Variant,Source Link
0614415684139,99.99,5 / Medium / Blue,https://www.orthofeet.com/products/laguna-womens-blue-sandal?variant=32397533937735
0614415956946,99.99,5 / Medium / Black,https://www.orthofeet.com/products/paloma-black?variant=39383306240071
0614415079799,104.99,6 / Medium / Black,https://www.orthofeet.com/products/hope-black?variant=40955608170567
0614415079805,104.99,6.5 / Medium / Black,https://www.orthofeet.com/products/hope-black?variant=40955608203335
0614415684337,99.99,5 / Wide / Blue,https://www.orthofeet.com/products/laguna-womens-blue-sandal?variant=32397533970503
0614415957097,99.99,5 / Wide / Black,https://www.orthofeet.com/products/paloma-black?variant=39383306272839
0614415956496,94.99,5 / Medium / Camel,https://www.orthofeet.com/products/paloma-two-way-strap-camel?variant=39374363721799
0614415956649,94.99,5 / Wide / Camel,https://www.orthofeet.com/products/paloma-two-way-strap-camel?variant=39374363754567
0614415956502,94.99,5.5 / Medium / Camel,https://www.orthofeet.com/products/paloma-two-way-strap-camel?variant=39374363820103
0614415956656,94.99,5.5 / Wide / Camel,https://www.orthofeet.com/products/paloma-two-way-strap-camel?variant=39374363852871
0614415079812,104.99,7 / Medium / Black,https://www.orthofeet.com/products/hope-black?variant=40955608236103
0614415684535,99.99,5 / X-Wide / Blue,https://www.orthofeet.com/products/laguna-womens-blue-sandal?variant=32397534003271
0614415956953,99.99,5.5 / Medium / Black,https://www.orthofeet.com/products/paloma-black?variant=39383306305607
0614415957103,99.99,5.5 / Wide / Black,https://www.orthofeet.com/products/paloma-black?variant=39383306338375
0614415956960,99.99,6 / Medium / Black,https://www.orthofeet.com/products/paloma-black?variant=39383306371143
0614415957110,99.99,6 / Wide / Black,https://www.orthofeet.com/products/paloma-black?variant=39383306403911
0614415956519,94.99,6 / Medium / Camel,https://www.orthofeet.com/products/paloma-two-way-strap-camel?variant=39374363918407
0614415079829,104.99,7.5 / Medium / Black,https://www.orthofeet.com/products/hope-black?variant=40955608268871
0614415684146,99.99,5.5 / Medium / Blue,https://www.orthofeet.com/products/laguna-womens-blue-sandal?variant=32397534036039
0614415684344,99.99,5.5 / Wide / Blue,https://www.orthofeet.com/products/laguna-womens-blue-sandal?variant=32397534068807
0614415684542,99.99,5.5 / X-Wide / Blue,https://www.orthofeet.com/products/laguna-womens-blue-sandal?variant=32397534101575
0614415684153,99.99,6 / Medium / Blue,https://www.orthofeet.com/products/laguna-womens-blue-sandal?variant=32397534134343
0614415956977,99.99,6.5 / Medium / Black,https://www.orthofeet.com/products/paloma-black?variant=39383306436679
0614415956663,94.99,6 / Wide / Camel,https://www.orthofeet.com/products/paloma-two-way-strap-camel?variant=39374363951175
0614415079836,104.99,8 / Medium / Black,https://www.orthofeet.com/products/hope-black?variant=40955608301639
0614415079843,104.99,8.5 / Medium / Black,https://www.orthofeet.com/products/hope-black?variant=40955608334407
0614415079850,104.99,9 / Medium / Black,https://www.orthofeet.com/products/hope-black?variant=40955608367175
0614415079867,104.99,9.5 / Medium / Black,https://www.orthofeet.com/products/hope-black?variant=40955608399943
0614415684351,99.99,6 / Wide / Blue,https://www.orthofeet.com/products/laguna-womens-blue-sandal?variant=32397534167111
0614415957127,99.99,6.5 / Wide / Black,https://www.orthofeet.com/products/paloma-black?variant=39383306469447
