UPC,Price,Variant,Source Link
196773121841,38.00,Black / One Size,https://www.outdoorresearch.com/collections/sale/products/swift-lite-tech-cap-322468
196773121858,26.60,Willow / One Size,https://www.outdoorresearch.com/collections/sale/products/swift-lite-tech-cap-322468
196773121872,26.60,Dark Navy / One Size,https://www.outdoorresearch.com/collections/sale/products/swift-lite-tech-cap-322468
196773121865,26.60,Pro Khaki / One Size,https://www.outdoorresearch.com/collections/sale/products/swift-lite-tech-cap-322468
196773116786,33.60,White / XS,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116823,33.60,White / S,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116861,33.60,White / M,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116908,33.60,White / L,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116946,33.60,White / XL,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116984,33.60,White / XXL,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116809,33.60,Galactic / XS,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116847,33.60,Galactic / S,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116885,33.60,Galactic / M,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116922,33.60,Galactic / L,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116960,33.60,Galactic / XL,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773117004,33.60,Galactic / XXL,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116779,33.60,Black / XS,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116816,33.60,Black / S,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116854,33.60,Black / M,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116892,33.60,Black / L,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116939,33.60,Black / XL,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773116977,33.60,Black / XXL,https://www.outdoorresearch.com/collections/sale/products/womens-essential-t-shirt-322391
196773127805,29.40,Fatigue/Dark Grey / M,https://www.outdoorresearch.com/collections/sale/products/bug-bucket-243380
196773127812,29.40,Fatigue/Dark Grey / L,https://www.outdoorresearch.com/collections/sale/products/bug-bucket-243380
