UPC,Price,Variant,Source Link
755709601750,39.99,1.75 LBS,https://www.petco.com/shop/en/petcostore/product/sojos-complete-grain-free-adult-turkey-recipe-freeze-dried-raw-dog-food-175-lbs-3274285
755709600074,129.99,7 LBS,https://www.petco.com/shop/en/petcostore/product/sojos-complete-adult-grain-free-turkey-recipe-freeze-dried-raw-dog-food-7-lbs-3274445
755709800078,129.99,7 LBS,https://www.petco.com/shop/en/petcostore/product/sojos-complete-grain-and-gluten-free-adult-beef-recipe-freeze-dried-raw-dog-food-7-lbs-3274509
755709201752,39.99,1.75 LBS,https://www.petco.com/shop/en/petcostore/product/sojos-complete-grain-and-gluten-free-adult-beef-recipe-freeze-dried-raw-dog-food-175-lbs-3274331
755709830013,129.99,7 LBS,https://www.petco.com/shop/en/petcostore/product/sojos-complete-adult-grain-free-chicken-recipe-freeze-dried-raw-dog-food-7-lbs-3274470
755709830006,39.99,1.75 LBS,https://www.petco.com/shop/en/petcostore/product/sojos-complete-adult-grain-free-chicken-recipe-freeze-dried-raw-dog-food-175-lbs-3274453
183413001908,148.18,10 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-grain-free-fish-recipe-dry-dog-food-10-lbs-3326680
745158514206,84.99,20 LBS,https://www.petco.com/shop/en/petcostore/product/halo-elevate-dog-grain-free-salmon-recipe-dry-food-20-lbs-3530411
745158514039,26.99,3.5 LBS,https://www.petco.com/shop/en/petcostore/product/halo-elevate-dog-grain-free-salmon-recipe-dry-food-35-lbs-3530429
755709300073,129.99,7 LBS,https://www.petco.com/shop/en/petcostore/product/sojos-complete-grain-and-gluten-free-adult-lamp-recipe-freeze-dried-raw-dog-food-7-lbs-3274517
183413003872,28.99,2 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-turkey-recipe-dry-dog-food-2-lbs-3282365
850012047230,67.86,7 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-turkey-recipe-dry-dog-food-7-lbs-3281901
183413001137,83.29,10 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-turkey-recipe-dry-dog-food-10-lbs-3326612
183413001144,42.13,4 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-turkey-recipe-dog-food-4-lbs-3379571
183413000963,68.59,7 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-grain-free-fruit-and-veggie-base-mix-recipe-dry-dog-food-7-lbs-3326508
850001022163,109.99,10 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-fish-and-oats-recipe-dry-dog-food-10-lbs-3326647
850001022828,54.99,4 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-fish-and-oats-recipe-dry-dog-food-4-lbs-3326639
755709900075,129.99,7 LBS,https://www.petco.com/shop/en/petcostore/product/sojos-complete-grain-free-senior-turkey-and-salmon-recipe-freeze-dried-dog-food-7-lbs-3274525
745158501039,22.99,3.5 LBS,https://www.petco.com/shop/en/petcostore/product/halo-elevate-dog-healthy-grains-chicken-recipe-dry-food-35-lbs-3530357
745158501206,84.99,20 LBS,https://www.petco.com/shop/en/petcostore/product/halo-elevate-dog-healthy-grains-chicken-recipe-dry-food-20-lbs-3530349
853089007077,142.09,10 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-limited-ingredient-duck-recipe-dry-dog-food-10-lbs-3326461
853089007091,73.49,4 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-limited-ingredient-duck-recipe-dry-dog-food-4-lbs-3326452
853089007404,29.99,2 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-beef-recipe-dry-dog-food-2-lbs-3282197
850012047247,71.53,7 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-beef-recipe-dry-dog-food-7-lbs-3282200
183413000024,94.99,10 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-beef-recipe-dry-dog-food-10-lbs-3326621
183413000031,46.99,4 LBS,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-dehydrated-whole-grain-beef-recipe-dry-dog-food-4-lbs-3363376
