UPC,Price,Source Link
198016115136,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/buckle-down-disneys-buzz-lightyear-dog-leash-89979.html
198016115112,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/buckle-down-disneys-toy-story-characters-dog-leash-89980.html
730521860721,52.99,https://www.petsmart.com/dog/food/dry-food/natures-recipe-adult-dry-dog-food---lamb-and-rice-70804.html
730521778330,7.49,https://www.petsmart.com/dog/food/dry-food/natures-recipe-adult-dry-dog-food---lamb-and-rice-70804.html
737257968974,1.79,https://www.petsmart.com/cat/food-and-treats/wet-food/simply-nourish-mousse-cat-meal-topper---natural-3-oz-67667.html
196481067752,23.97,https://www.petsmart.com/cat/beds-and-furniture/covered-beds/whisker-city-cheetah-burnout-cat-hut-82761.html
737257968998,1.79,https://www.petsmart.com/cat/food-and-treats/wet-food/simply-nourish-mousse-cat-meal-topper---natural-3-oz-67667.html
196481057241,1.79,https://www.petsmart.com/cat/food-and-treats/wet-food/simply-nourish-mousse-cat-meal-topper---natural-3-oz-67667.html
196481057203,0.87,https://www.petsmart.com/cat/food-and-treats/wet-food/simply-nourish-mousse-cat-meal-topper---natural-3-oz-67667.html
196481030602,14.97,https://www.petsmart.com/dog/beds-and-furniture/cuddler-beds/top-paw-4-sides-cuddler-dog-bed-75701.html
,8.47,https://www.petsmart.com/dog/bowls-and-feeders/food-and-water-bowls/top-paw-crate-crock-85361.html
196481062481,4.97,https://www.petsmart.com/dog/toys/chew-toys/joyhound-boss-bones-nylon-fish-chew-toy-81615.html
196481095021,9.97,https://www.petsmart.com/dog/beds-and-furniture/blankets/arcadia-trail-water-resistant-warming-dog-blanket-88126.html
196481099524,9.97,https://www.petsmart.com/dog/beds-and-furniture/pillow-beds/top-paw-wave-pillow-dog-bed-90807.html
196481095038,9.97,https://www.petsmart.com/dog/beds-and-furniture/blankets/arcadia-trail-water-resistant-warming-dog-blanket-88126.html
198016115143,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/cars-red-dog-leash-89968.html
196481095809,7.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/arcadia-trail-breathable-knit-dog-leash-88366.html
196481095786,7.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/arcadia-trail-breathable-knit-dog-leash-88366.html
196481099531,9.97,https://www.petsmart.com/dog/beds-and-furniture/pillow-beds/top-paw--floral-pillow-dog-bed-90808.html
196481069237,17.47,https://www.petsmart.com/dog/beds-and-furniture/pillow-beds/top-paw-diamond-pillow-dog-bed-86123.html
196481069268,9.97,https://www.petsmart.com/dog/beds-and-furniture/pillow-beds/top-paw-diamond-pillow-dog-bed-86149.html
195893091843,12.47,https://www.petsmart.com/fish/decor-gravel-and-substrate/gravel-sand-and-stones/aqua-natural-aquarium-gravel---red-flint-70465.html
196481050822,23.37,https://www.petsmart.com/dog/beds-and-furniture/elevated-beds/nate-and-jeremiah-donut-pet-bed-79065.html
730521773786,0.99,https://www.petsmart.com/dog/food/canned-food/natures-recipe-prime-blends-adult-wet-dog-food---chicken-lamb-65168.html
097612322347,22.57,https://www.petsmart.com/reptile/environmental-control-and-lighting/light-fixtures/zoo-med-daynight-desert-lighting-kit-14927.html
196481050273,74.99,https://www.petsmart.com/dog/beds-and-furniture/elevated-beds/nate-and-jeremiah-donut-pet-bed-79065.html
737257862746,3.97,https://www.petsmart.com/dog/bowls-and-feeders/food-and-water-bowls/top-paw-dog-flowing-fountain-filter-cartridges---4-pack-58188.html
737257852822,7.17,https://www.petsmart.com/dog/toys/chew-toys/joyhound-boss-bones-puppy-chew-toys---3-pack-54909.html
198016115006,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/finding-nemo-leash-89973.html
737257862760,3.27,https://www.petsmart.com/dog/bowls-and-feeders/food-and-water-bowls/top-paw-dog-flowing-fountain-filter-cartridges---4-pack-58188.html
,1.09,https://www.petsmart.com/dog/food/canned-food/natures-recipe-adult-wet-dog-food---chicken-turkey-24401.html
198016115129,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/cars-black-dog-leash-89967.html
,14.99,https://www.petsmart.com/dog/bowls-and-feeders/food-and-water-bowls/top-paw-silicone-mat-with-double-dog-bowls-67994.html
,19.97,https://www.petsmart.com/dog/beds-and-furniture/cuddler-beds/top-paw-cuddler-dog-bed-55981.html
198016115082,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/harry-potter-red-dog-leash-89970.html
737257971615,4.97,https://www.petsmart.com/dog/bowls-and-feeders/food-and-water-bowls/top-paw-silicone-mat-with-double-dog-bowls-67994.html
198016115020,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/winnie-yellow-dog-leash-89982.html
,0.97,https://www.petsmart.com/cat/food-and-treats/wet-food/authority-everyday-health-indoor-cat-wet-food---3-oz-pate-with-grain-51696.html
196481067738,27.97,https://www.petsmart.com/cat/beds-and-furniture/covered-beds/whisker-city-mermaid-tail-character-hut-82759.html
737257852853,6.47,https://www.petsmart.com/dog/toys/chew-toys/joyhound-boss-bones-femur-chew-dog-toy-54892.html
737257852877,5.07,https://www.petsmart.com/dog/toys/chew-toys/joyhound-boss-bones-femur-chew-dog-toy-54892.html
737257898400,4.97,https://www.petsmart.com/dog/bowls-and-feeders/elevated-stands/top-paw-black-silicone-double-dog-bowl-with-mat-60321.html
196481068308,39.07,https://www.petsmart.com/cat/bowls-and-feeders/automatic-feeders/whisker-city-water-fountain-150-oz-86202.html
196481067653,65.07,https://www.petsmart.com/cat/bowls-and-feeders/automatic-feeders/whisker-city-stainless-steel-fountain-86198.html
047497339046,79.97,https://www.petsmart.com/fish/tanks-aquariums-and-nets/aquariums/tetra-10-gallon-stem-aquarium-kit-78687.html
196481093720,14.97,https://www.petsmart.com/dog/clothing-and-shoes/boots-shoes-and-socks/arcadia-trailandtrade-year-round-all-terrain-dog-boots-88152.html
196481093737,14.97,https://www.petsmart.com/dog/clothing-and-shoes/boots-shoes-and-socks/arcadia-trailandtrade-year-round-all-terrain-dog-boots-88152.html
196481093713,14.97,https://www.petsmart.com/dog/clothing-and-shoes/boots-shoes-and-socks/arcadia-trailandtrade-year-round-all-terrain-dog-boots-88152.html
196481093744,14.97,https://www.petsmart.com/dog/clothing-and-shoes/boots-shoes-and-socks/arcadia-trailandtrade-year-round-all-terrain-dog-boots-88152.html
196481093706,14.97,https://www.petsmart.com/dog/clothing-and-shoes/boots-shoes-and-socks/arcadia-trailandtrade-year-round-all-terrain-dog-boots-88152.html
196481009097,9.99,https://www.petsmart.com/dog/treats/bones-bully-sticks-and-chews/dentleys-natural-chews-value-pack-74642.html
196481009042,9.99,https://www.petsmart.com/dog/treats/bones-bully-sticks-and-chews/dentleys-natural-chews-value-pack-74642.html
196481067974,24.47,https://www.petsmart.com/cat/beds-and-furniture/cuddler-beds/whisker-city-navy-cradle-cat-bed-82760.html
196481067943,17.47,https://www.petsmart.com/cat/beds-and-furniture/cuddler-beds/whisker-city-burnout-cuddler-dog-bed-82757.html
196481068315,19.97,https://www.petsmart.com/cat/bowls-and-feeders/automatic-feeders/top-paw-flowing-fountain-300-oz-86200.html
198016115105,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/star-wars-characters-leash-89976.html
850040782530,2.57,https://www.petsmart.com/dog/treats/biscuits-cookies-and-bakery-treats/bubblelick-banana-25-oz-90185.html
198016115013,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/finding-nemo-colorblock-dog-leash-89974.html
196481095755,7.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/arcadia-trail-paracord-rope-dog-leash-4-ft-88373.html
196481095779,7.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/arcadia-trail-paracord-rope-dog-leash-4-ft-88373.html
196481096264,7.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/arcadia-trail-paracord-rope-dog-leash-4-ft-88373.html
196481095762,7.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/arcadia-trail-paracord-rope-dog-leash-4-ft-88373.html
198016115051,12.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/leashes/moana-white-dog-leash-89972.html
198016114955,11.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/collars/toy-story-buzz-dog-collar-89963.html
198016114948,11.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/collars/toy-story-buzz-dog-collar-89963.html
198016114931,11.97,https://www.petsmart.com/dog/collars-harnesses-and-leashes/collars/toy-story-buzz-dog-collar-89963.html
,29.97,https://www.petsmart.com/reptile/environmental-control-and-lighting/bulbs-and-lamps/arcadia-d3evo-mercury-vapour-basking-lamp-71888.html
196481099746,4.97,https://www.petsmart.com/dog/clothing-and-shoes/t-shirts-and-tank-tops/top-paw-beach-besties-dog-tee-89517.html
196481099616,4.97,https://www.petsmart.com/dog/clothing-and-shoes/t-shirts-and-tank-tops/top-paw-beach-besties-dog-tee-89517.html
196481099593,4.97,https://www.petsmart.com/dog/clothing-and-shoes/t-shirts-and-tank-tops/top-paw-beach-besties-dog-tee-89517.html
196481099579,4.97,https://www.petsmart.com/dog/clothing-and-shoes/t-shirts-and-tank-tops/top-paw-beach-besties-dog-tee-89517.html
