UPC,Price,Variant,Source Link
,35.6915,White / 1 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055898262
,35.6915,White / 10 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055931030
,35.6915,White / 11 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055963798
,35.6915,White / 12 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055996566
,35.6915,White / 13 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224056029334
,35.6915,White / 2 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224056062102
,35.6915,White / 3 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224056094870
,35.6915,White / 4 Big Kid,https://projectcloudshoes.com/products/little-nita?variant=45224056127638
,35.6915,White / 5 Big Kid,https://projectcloudshoes.com/products/little-nita?variant=45224056160406
,35.6915,Blue / 1 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224054980758
,35.6915,Blue / 10 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055013526
,35.6915,Blue / 11 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055046294
,35.6915,Blue / 12 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055079062
,35.6915,Blue / 13 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055111830
,35.6915,Blue / 2 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055144598
,35.6915,Blue / 3 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055177366
,35.6915,Blue / 4 Big Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055210134
,35.6915,Blue / 5 Big Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055242902
,35.6915,Off White / 1 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055275670
,35.6915,Off White / 10 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055308438
,35.6915,Off White / 11 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055341206
,35.6915,Off White / 12 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224055373974
,35.6915,Off White / 13 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055406742
,35.6915,Off White / 2 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055439510
,35.6915,Off White / 3 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055472278
,35.6915,Off White / 4 Big Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055505046
,35.6915,Off White / 5 Big Kid,https://projectcloudshoes.com/products/little-nita?variant=45224055537814
,35.6915,Black / 1 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224054685846
,35.6915,Black / 10 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224054718614
,35.6915,Black / 11 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224054751382
,35.6915,Black / 12 Toddler,https://projectcloudshoes.com/products/little-nita?variant=45224054784150
,35.6915,Black / 13 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224054816918
,35.6915,Black / 2 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224054849686
,35.6915,Black / 3 Little Kid,https://projectcloudshoes.com/products/little-nita?variant=45224054882454
