upc,price,variation,source_url
'193524500498,35,Puma Black-Asphalt,https://us.puma.com/us/en/pd/Contempt-Demi-Men's-Training-Shoes/193160?swatch=01
'193524500795,35,High Risk Red-Puma Black,https://us.puma.com/us/en/pd/Contempt-Demi-Men's-Training-Shoes/193160?swatch=05
'197646256202,35,Olive Green-Lime Sheen,https://us.puma.com/us/en/pd/Contempt-Demi-Men's-Training-Shoes/193160?swatch=09
'197671598858,35,Oak Branch-Fizzy Apple,https://us.puma.com/us/en/pd/Contempt-Demi-Men's-Training-Shoes/193160?swatch=10
'198553933927,35,Dark Olive-PUMA Black,https://us.puma.com/us/en/pd/Contempt-Demi-Men's-Training-Shoes/193160?swatch=11
'198553934054,35,Cool Dark Gray-PUMA Black,https://us.puma.com/us/en/pd/Contempt-Demi-Men's-Training-Shoes/193160?swatch=12
'198555593396,55,Desert Dust-Desert Dust,https://us.puma.com/us/en/pd/Porsche-PUMA-Club-5v5-Lux-Unisex/309279?swatch=01
'198555593693,55,Club Navy-Alpine Snow,https://us.puma.com/us/en/pd/Porsche-PUMA-Club-5v5-Lux-Unisex/309279?swatch=02
'197670672832,55,PUMA Black,https://us.puma.com/us/en/pd/Sophyr-Loafer-Women/397730?swatch=01
'197670309868,55,Alpine Snow-PUMA Black,https://us.puma.com/us/en/pd/Sophyr-Loafer-Women/397730?swatch=02
'197674871415,10.99,PUMA Black,https://us.puma.com/us/en/pd/GRAPHICS-Letter-Men's-Tee/688893?swatch=01
'197674871231,10.99,Green Moon,https://us.puma.com/us/en/pd/GRAPHICS-Letter-Men's-Tee/688893?swatch=30
'197674871293,10.99,PUMA Team Royal,https://us.puma.com/us/en/pd/GRAPHICS-Letter-Men's-Tee/688893?swatch=58
'197674871354,10.99,Totally Taupe,https://us.puma.com/us/en/pd/GRAPHICS-Letter-Men's-Tee/688893?swatch=93
'197674166566,50,Smokey Gray-Dark Myrtle-Modern Mint-Sunny Yellow,https://us.puma.com/us/en/pd/Easy-Rider-Seaside-Drills-Women's-Sneakers/400749?swatch=01
'198553064034,42.5,PUMA Black-Cool Dark Gray,https://us.puma.com/us/en/pd/Meza-Sneakers/312044?swatch=01
'198553067134,42.5,PUMA White-PUMA Black-For All Time Red,https://us.puma.com/us/en/pd/Meza-Sneakers/312044?swatch=02
'198553058910,42.5,Smokey Gray-PUMA Black-Fizzy Light-Mint Melt,https://us.puma.com/us/en/pd/Meza-Sneakers/312044?swatch=06
