UPC,Price,Variant,Source Link
196256057568,28.00,Default Title,https://www.puravidabracelets.com/products/merry-merry-stretch-bracelet-set-of-8?variant=41763821912150
196256057582,11.20,XS/S,https://www.puravidabracelets.com/products/merry-merry-stretch-ring-set-of-3?variant=41778324832342
196256057575,11.20,M/L,https://www.puravidabracelets.com/products/merry-merry-stretch-ring-set-of-3?variant=41778324865110
196256028377,14.00,Default Title,https://www.puravidabracelets.com/products/pink-and-red-vinyl-disc-bead-stretch-bracelet-set?variant=40488934637654
196256027660,14.00,Default Title,https://www.puravidabracelets.com/products/world-water-day-mixed-choker?variant=40768617316438
196256037447,33.60,Default Title,https://www.puravidabracelets.com/products/pride-friendship-pack-1?variant=41174488875094
196256037461,16.80,Gold,https://www.puravidabracelets.com/products/for-all-fidget-necklace?variant=42381269631062
196256008522,26.60,Silver / 4,https://www.puravidabracelets.com/products/rainbow-ring-stack?variant=40235913642070
196256029190,11.20,4,https://www.puravidabracelets.com/products/enamel-heart-ring?variant=40488696676438
196256028582,12.60,Gold,https://www.puravidabracelets.com/products/enamel-heart-hoop-earrings?variant=40454685622358
196256040935,33.60,Default Title,https://www.puravidabracelets.com/products/rainbow-stretch-bracelet-set-of-8?variant=41217893072982
196256027677,12.60,Default Title,https://www.puravidabracelets.com/products/world-water-day-mixed-bead-stretch-bracelet?variant=40768671023190
196256028551,11.20,Default Title,https://www.puravidabracelets.com/products/stone-enamel-heart-stud-earrings?variant=40505570459734
196256028360,14.00,Default Title,https://www.puravidabracelets.com/products/stone-enamel-heart-stretch-bracelet?variant=40500929429590
196256048030,8.40,Default Title,https://www.puravidabracelets.com/products/frangipani-stretch-bracelet?variant=41439587237974
196256057544,33.60,Default Title,https://www.puravidabracelets.com/products/holidaze-stretch-bracelet-set-of-8?variant=41762223849558
196256028544,12.60,Default Title,https://www.puravidabracelets.com/products/baguette-enamel-hoop-earrings?variant=40452387110998
196256019849,5.60,Default Title,https://www.puravidabracelets.com/products/land-troops-bracelet?variant=40874986176598
196256009925,16.80,Default Title,https://www.puravidabracelets.com/products/turquoise-bead-stretch-anklet?variant=40229626806358
196256039861,31.50,Default Title,https://www.puravidabracelets.com/products/for-all-style-pack?variant=41174430646358
196256008591,11.20,Silver / 4,https://www.puravidabracelets.com/products/rainbow-heart-band-ring?variant=40235913347158
196256027707,9.80,Default Title,https://www.puravidabracelets.com/products/water-drop-charm-bracelet?variant=40770206597206
196256028490,12.60,Default Title,https://www.puravidabracelets.com/products/meridian-huggie-earrings?variant=40663706959958
196256008539,26.60,Silver / 5,https://www.puravidabracelets.com/products/rainbow-ring-stack?variant=40235913674838
196256038864,33.60,Default Title,https://www.puravidabracelets.com/products/vacation-vibes-pink-moment-stretch-bracelet-set-of-8?variant=40505541525590
