UPC,Price,Variant,Source Link
045242598120,44.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-9037-3-8-drive-12-ratchet
045242846535,14.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-2180-11-key-electricians-folding-hex-key-set-sae
045242598106,52.99,Default Title,https://redtoolstore.com/products/milwaukee-48-22-9009-1-4-drive-9-flex-head-ratchet
045242848034,14.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-2207-2pc-1000v-insulated-slim-tip-screwdriver-set
045242598144,64.99,Default Title,https://redtoolstore.com/products/milwaukee-48-22-9041-3-8-drive-12-flex-head-ratchet
045242787951,399.00,Default Title,https://redtoolstore.com/products/milwaukee-3009-20-m18-fuel-dual-battery-backpack-blower-1
045242847518,14.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-3044-10-24-awg-compact-comfort-grip-wire-stripper-cutter
045242509935,79.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-4192-50-polyester-fish-tape-w-flexible-metal-leader
045242509959,154.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-4197-200-polyester-fish-tape-w-flexible-metal-leader
045242632459,14.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-2859-straight-blade-demolition-driver
045242822959,19.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-1730-30ft-compact-tape-measure
045242598137,59.99,Default Title,https://redtoolstore.com/products/milwaukee-48-22-9039-3-8-drive-9-flex-head-ratchet
045242570737,139.00,Default Title,https://redtoolstore.com/products/milwaukee-48-22-9529-7pc-flex-head-ratcheting-wrench-set-metric
045242486489,24.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-4259-1-constant-swing-copper-tubing-cutter
045242499045,119.00,Default Title,https://redtoolstore.com/products/milwaukee-48-22-9515-15-piece-combination-wrench-set-metric
045242516445,239.00,Default Title,https://redtoolstore.com/products/milwaukee-mldig24-24-redstick-digital-level-w-pinpoint-measurement-technology
045242872404,179.00,Default Title,https://redtoolstore.com/products/milwaukee-2525-21-m12-brushless-rotary-tool-kit-1
045242531691,64.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-8302-packout-cooler
045242350506,169.00,Default Title,https://redtoolstore.com/products/milwaukee-48-11-1852-m18-redlithium-xc-5-0-extended-capacity-battery-2-pack-1
045242533312,149.97,Default Title,https://redtoolstore.com/products/milwaukee-48-22-4167-200-polyester-fish-tape-w-nonconductive-tip
045242516391,269.00,Default Title,https://redtoolstore.com/products/milwaukee-mldig72-72-redstick-digital-level-w-pinpoint-measurement-technology
045242534357,279.00,Default Title,https://redtoolstore.com/products/milwaukee-2727-20-m18-fuel-16-chainsaw-tool-only-1
