UPC,Price,Variant,Source Link
0051381998264,32,Pepper Plum,https://www.revolve.com/paddywax-aura-candle-in-pepper-plum/dp/PADR-WH19/?d=Womens&page=1&lc=13&itrownum=4&itcurrpage=1&itview=05
0051381911195,32,Pepper Plum,https://www.revolve.com/paddywax-aura-candle-in-pepper-plum/dp/PADR-WH19/?d=Womens&page=1&lc=13&itrownum=4&itcurrpage=1&itview=05
0051381911164,32,Pepper Plum,https://www.revolve.com/paddywax-aura-candle-in-pepper-plum/dp/PADR-WH19/?d=Womens&page=1&lc=13&itrownum=4&itcurrpage=1&itview=05
0663595783361,32,Pepper Plum,https://www.revolve.com/paddywax-aura-candle-in-pepper-plum/dp/PADR-WH19/?d=Womens&page=1&lc=13&itrownum=4&itcurrpage=1&itview=05
0663595783385,32,Pepper Plum,https://www.revolve.com/paddywax-aura-candle-in-pepper-plum/dp/PADR-WH19/?d=Womens&page=1&lc=13&itrownum=4&itcurrpage=1&itview=05
0689551259824,38,,https://www.revolve.com/maison-louis-marie-no04-bois-de-balincourt-candle/dp/MSMF-UA3/?d=Womens&page=1&lc=4&itrownum=1&itcurrpage=1&itview=05
0689551266501,38,,https://www.revolve.com/maison-louis-marie-no04-bois-de-balincourt-candle/dp/MSMF-UA3/?d=Womens&page=1&lc=4&itrownum=1&itcurrpage=1&itview=05
0689551293170,38,,https://www.revolve.com/maison-louis-marie-no04-bois-de-balincourt-candle/dp/MSMF-UA3/?d=Womens&page=1&lc=4&itrownum=1&itcurrpage=1&itview=05
0689551318460,38,,https://www.revolve.com/maison-louis-marie-no04-bois-de-balincourt-candle/dp/MSMF-UA3/?d=Womens&page=1&lc=4&itrownum=1&itcurrpage=1&itview=05
0863878000431,38,,https://www.revolve.com/maison-louis-marie-no04-bois-de-balincourt-candle/dp/MSMF-UA3/?d=Womens&page=1&lc=4&itrownum=1&itcurrpage=1&itview=05
0810076670683,50,,https://www.revolve.com/pura-4-smart-home-fragrance-diffuser/dp/PUAR-WH1/?d=Womens&page=1&lc=7&itrownum=2&itcurrpage=1&itview=05
0810076677330,50,,https://www.revolve.com/pura-4-smart-home-fragrance-diffuser/dp/PUAR-WH1/?d=Womens&page=1&lc=7&itrownum=2&itcurrpage=1&itview=05
0810129389906,50,,https://www.revolve.com/pura-4-smart-home-fragrance-diffuser/dp/PUAR-WH1/?d=Womens&page=1&lc=7&itrownum=2&itcurrpage=1&itview=05
0810129389913,50,,https://www.revolve.com/pura-4-smart-home-fragrance-diffuser/dp/PUAR-WH1/?d=Womens&page=1&lc=7&itrownum=2&itcurrpage=1&itview=05
0810129389920,50,,https://www.revolve.com/pura-4-smart-home-fragrance-diffuser/dp/PUAR-WH1/?d=Womens&page=1&lc=7&itrownum=2&itcurrpage=1&itview=05
0047469059644,30,,https://www.revolve.com/lemme-sleep-melatonin-magnesium-gummies/dp/LMME-WU5/?d=Womens&page=1&lc=3&itrownum=1&itcurrpage=1&itview=05
0047469060466,30,,https://www.revolve.com/lemme-sleep-melatonin-magnesium-gummies/dp/LMME-WU5/?d=Womens&page=1&lc=3&itrownum=1&itcurrpage=1&itview=05
0047469062118,30,,https://www.revolve.com/lemme-sleep-melatonin-magnesium-gummies/dp/LMME-WU5/?d=Womens&page=1&lc=3&itrownum=1&itcurrpage=1&itview=05
0880519263956,30,,https://www.revolve.com/lemme-sleep-melatonin-magnesium-gummies/dp/LMME-WU5/?d=Womens&page=1&lc=3&itrownum=1&itcurrpage=1&itview=05
0051494104156,30,,https://www.revolve.com/lemme-sleep-melatonin-magnesium-gummies/dp/LMME-WU5/?d=Womens&page=1&lc=3&itrownum=1&itcurrpage=1&itview=05
