UPC,Price,Variant,Source Link
0192249316131,89.00,Toffee Stripe,https://rothys.com/products/womens-sling-bag-toffee-stripe?variant=40237743898718
0192249360011,89.00,Black Sand,https://rothys.com/products/mini-shoulder-bag-black-sand?variant=41092273438814
0192249316155,89.00,Sangria Stripe,https://rothys.com/products/womens-sling-bag-sangria-stripe?variant=40237743800414
0192249405453,34.00,Moss Green / 7,https://rothys.com/products/mens-flip-flop-moss-green?variant=41434595885150
0192249405460,34.00,Moss Green / 8,https://rothys.com/products/mens-flip-flop-moss-green?variant=41434595917918
0192249405477,34.00,Moss Green / 9,https://rothys.com/products/mens-flip-flop-moss-green?variant=41434595950686
0192249405484,34.00,Moss Green / 10,https://rothys.com/products/mens-flip-flop-moss-green?variant=41434595983454
0192249405491,34.00,Moss Green / 11,https://rothys.com/products/mens-flip-flop-moss-green?variant=41434596016222
0192249405507,34.00,Moss Green / 12,https://rothys.com/products/mens-flip-flop-moss-green?variant=41434596048990
0192249405514,34.00,Moss Green / 13,https://rothys.com/products/mens-flip-flop-moss-green?variant=41434596081758
0192249405521,34.00,Moss Green / 14,https://rothys.com/products/mens-flip-flop-moss-green?variant=41434596114526
0192249192445,159.00,Ink and Ivory,https://rothys.com/products/the-daily-crossbody-ink-and-ivory?variant=39757037076574
0192249298291,69.00,Gardenia / 5,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214194270
0192249298307,69.00,Gardenia / 5.5,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214227038
0192249298314,69.00,Gardenia / 6,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214259806
0192249298321,69.00,Gardenia / 6.5,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214325342
0192249387377,89.00,Daisy Sparkle,https://rothys.com/products/mini-shoulder-bag-daisy-sparkle?variant=41161301459038
0192249316148,89.00,Marshmallow,https://rothys.com/products/womens-sling-bag-marshmallow?variant=40237743833182
0192249324198,99.00,Portobello Brown / 7,https://rothys.com/products/mens-slip-on-sneaker-portobello-brown?variant=40365469007966
0192249298338,69.00,Gardenia / 7,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214358110
0192249298345,69.00,Gardenia / 7.5,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214423646
0192249324204,99.00,Portobello Brown / 7.5,https://rothys.com/products/mens-slip-on-sneaker-portobello-brown?variant=40365469171806
0192249288568,99.00,Cappuccino / 5,https://rothys.com/products/the-braid-driver-cappuccino?variant=40104141324382
0192249360004,89.00,Cranberry,https://rothys.com/products/mini-shoulder-bag-cranberry?variant=41092273406046
0192249298352,69.00,Gardenia / 8,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214489182
0192249324211,99.00,Portobello Brown / 8,https://rothys.com/products/mens-slip-on-sneaker-portobello-brown?variant=40365469237342
0192249370881,199.00,Hazelnut,https://rothys.com/products/backpack-for-women-hazelnut?variant=41118085218398
0192249288575,99.00,Cappuccino / 5.5,https://rothys.com/products/the-braid-driver-cappuccino?variant=40104141357150
0192249374568,129.00,Black / 5,https://rothys.com/products/womens-ballet-mary-jane-black?variant=41161291759710
0192249324037,99.00,Dark Navy / 7,https://rothys.com/products/mens-slip-on-sneaker-dark-navy?variant=40365468450910
0192249298369,69.00,Gardenia / 8.5,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214521950
0192249324228,99.00,Portobello Brown / 8.5,https://rothys.com/products/mens-slip-on-sneaker-portobello-brown?variant=40365469335646
0192249412307,99.00,Off White Mesh / 5,https://rothys.com/products/square-toe-ballet-flats-off-white-mesh?variant=41452209373278
0192249288582,99.00,Cappuccino / 6,https://rothys.com/products/the-braid-driver-cappuccino?variant=40104141389918
0192249376029,99.00,Beet,https://rothys.com/products/mini-crescent-shoulder-bag-beet?variant=41131501977694
0192249374575,129.00,Black / 5.5,https://rothys.com/products/womens-ballet-mary-jane-black?variant=41161291858014
0192249405255,34.00,Black / 7,https://rothys.com/products/mens-flip-flop-black?variant=41434595557470
0192249324044,99.00,Dark Navy / 7.5,https://rothys.com/products/mens-slip-on-sneaker-dark-navy?variant=40365468483678
0192249360028,89.00,Light Pewter,https://rothys.com/products/mini-shoulder-bag-light-pewter?variant=41092273471582
0192249414554,119.00,Jasmine / 5,https://rothys.com/products/womens-casual-clog-jasmine?variant=41452204982366
0192249298376,69.00,Gardenia / 9,https://rothys.com/products/gardenia-ballet-flat-bow?variant=40068214587486
0192249303964,99.00,Gardenia / 5,https://rothys.com/products/the-square-mary-jane-gardenia?variant=40068211507294
0192249324235,99.00,Portobello Brown / 9,https://rothys.com/products/mens-slip-on-sneaker-portobello-brown?variant=40365469401182
0192249337808,109.00,Black / 5,https://rothys.com/products/mule-loafer-black?variant=40549871026270
0192249367003,99.00,Ballerina Bouclé / 5,https://rothys.com/products/womens-buckle-clog-ballerina-boucle?variant=41161328853086
0192249152500,99.00,Graphite Grey / 7,https://rothys.com/products/mens-driving-loafer-graphite-grey?variant=39536810557534
