UPC,Price,Variant,Source Link
810169742594,19.88,Blue,https://www.runningwarehouse.com/Sprints_Mens_Boston_Tank/descpage-SPTNKB3.html?color=BL
810179600174,39.88,Pink,https://www.runningwarehouse.com/For_the_Run_Mens_Harper_I_Can_Do_Hard_Things_Singlet/descpage-FRMHHTS.html?color=PK
0,19.88,Blue,https://www.runningwarehouse.com/Sprints_Mens_Boston_Tank/descpage-SPTNKB3.html?color=BL
197859305582,67.88,Obsidian,https://www.runningwarehouse.com/Nike_Mens_Dri-FIT_ADV_Aeroswift_Singlet/descpage-NMPDAS.html?color=BL
197611951804,30.88,AOP Print,https://www.runningwarehouse.com/adidas_Mens_Boston_Marathon_25_AOP_Tank/descpage-AMBMAT.html?color=BL
810179600440,29.88,Tokyo 25,https://www.runningwarehouse.com/For_the_Run_Mens_Harper_Tokyo_25_Singlet/descpage-FRMHTKS.html?color=YE
197859305582,67.88,Obsidian,https://www.runningwarehouse.com/Nike_Mens_Dri-FIT_ADV_Aeroswift_Singlet/descpage-NMPDAS.html?color=RD
198555140897,48.88,Glowing Red,https://www.runningwarehouse.com/PUMA_Mens_Raceday_Ultraspun_Singlet/descpage-PMRUBM.html?color=RD
197862638707,39.88,Black/Black,https://www.runningwarehouse.com/Nike_Mens_Dri-FIT_ADV_Running_Division_Breathe_Tank/descpage-NMDRDBT.html?color=BL1
606582799488,45.88,Red/White/Green,https://www.runningwarehouse.com/rabbit_Mens_Speedeez_Mexico_Singlet/descpage-RMSMXSG.html?color=MU
196476669541,48.88,Semi Lucid Red,https://www.runningwarehouse.com/adidas_Mens_adizero_Road_to_Records_Singlet/descpage-AMARTRS.html?color=RD
810179600181,39.88,Pink,https://www.runningwarehouse.com/For_the_Run_Mens_Harper_I_Can_Do_Hard_Things_Singlet/descpage-FRMHHTS.html?color=PK
753275437568,34.88,Blue/White,https://www.runningwarehouse.com/rabbit_Mens_Speedeez_Singlet_Colorado/descpage-RMSPSGC.html?color=BL
197861963299,24.88,Dusty Cactus,https://www.runningwarehouse.com/Nike_Mens_Dri-FIT_Miler_Tank/descpage-NMUDMT.html?color=PU
810179600242,39.88,Floral,https://www.runningwarehouse.com/For_the_Run_Mens_Harper_Floral_Singlet/descpage-FRMHFLS.html?color=MU
713645138131,46.88,Blue Drip Dye,https://www.runningwarehouse.com/Saysky_Mens_Drip_Dye_Flow_Singlet/descpage-SMDDFS.html?color=BL
713645134041,44.88,Blue Melange,https://www.runningwarehouse.com/Saysky_Mens_Logo_Combat_Singlet/descpage-SMLGCSG.html?color=PU
195751961332,45.88,Ultramarine,https://www.runningwarehouse.com/Salomon_Mens_Sense_Aero_Graphic_Singlet/descpage-SMSAGPT.html?color=BL
713645142954,74.88,Blue Drip Dye,https://www.runningwarehouse.com/Saysky_Mens_Drip_Dye_Flow_Air_Singlet/descpage-SMDDFAS.html?color=PU
195020939659,37.88,Citron,https://www.runningwarehouse.com/Saucony_Mens_Kinvara_Tank/descpage-SMUKT.html?color=YE
197673515105,48.88,Cool Weather ,https://www.runningwarehouse.com/PUMA_Mens_Raceday_Ultraspun_Print_Singlet/descpage-PMRUPSG.html?color=BL
195020940372,31.88,Grey,https://www.runningwarehouse.com/Saucony_Mens_Stopwatch_Graphic_Singlet/descpage-SMSGXS.html?color=GY
197862638707,39.88,Black/Black,https://www.runningwarehouse.com/Nike_Mens_Dri-FIT_ADV_Running_Division_Breathe_Tank/descpage-NMDRDBT.html?color=BL
195751961332,45.88,Ultramarine,https://www.runningwarehouse.com/Salomon_Mens_Sense_Aero_Graphic_Singlet/descpage-SMSAGPT.html?color=BR
713645134041,44.88,Blue Melange,https://www.runningwarehouse.com/Saysky_Mens_Logo_Combat_Singlet/descpage-SMLGCSG.html?color=YE
