UPC,Price,Source Link
840306623813,2099,https://www.samsclub.com/ip/Emery-Top-Grain-Leather-Sofa-and-Loveseat-Assorted-Colors/13592871865?classType=VARIANT
887276739144,745,https://www.samsclub.com/ip/Samsung-5-5-cu-ft-Top-Load-Washer-with-Super-Speed-Wash/13625457282?classType=VARIANT
841550092097,79.98,https://www.samsclub.com/ip/Zinus-Night-Therapy-High-Profile-SmartBase-Platform-Bed-Frame-Various-Sizes/84155009209?classType=VARIANT
840306614910,649,https://www.samsclub.com/ip/details-by-Becki-Owens-Ren-Platform-Bed-Distressed-Natural-Wood-Finish-Assorted-Sizes/13630607890?classType=VARIANT
195174055243,1695,https://www.samsclub.com/ip/LG-28-cu-ft-French-Door-Refrigerator/13939017993?classType=REGULAR
887276769301,1395,https://www.samsclub.com/ip/Samsung-32-cu-ft-French-Door-Refrigerator/13614254352?classType=VARIANT
887276628035,745,https://www.samsclub.com/ip/Samsung-7-5-cu-ft-Electric-Dryer-Smart-with-Steam-Sanitize/13621705024?classType=VARIANT
195174048740,945,https://www.samsclub.com/ip/LG-5-0-cu-ft-Front-Load-Washer-with-Coldwash-Technology/13620460832?classType=VARIANT
887276827308,295,https://www.samsclub.com/ip/Samsung-2-1-cu-ft-Over-the-Range-Microwave/13577501090?classType=VARIANT
195174014233,745,https://www.samsclub.com/ip/LG-24-cu-ft-Top-Freezer-Refrigerator/14208618931?classType=REGULAR
,675,https://www.samsclub.com/ip/Samsung-6-3-cu-ft-Freestanding-Electric-Range-with-Rapid-Boil/13891303543?classType=REGULAR
810053695654,1299,https://www.samsclub.com/ip/LulaaBED-12-Soft-Firm-Flippable-Memory-Foam-Mattress-Adjustable-Base-Set/13972660951?classType=VARIANT
850061480538,149.2,https://www.samsclub.com/ip/details-by-Becki-Owens-Margaret-Vanity-Choose-Your-Size-and-Color/13598217737?classType=VARIANT
840306619427,1199,https://www.samsclub.com/ip/Larson-Power-Reclining-3-Piece-Theatre-Set/13627565736?classType=VARIANT
048231028035,725,https://www.samsclub.com/ip/LG-7-4-cu-ft-Electric-Dryer-with-Sensor-Dry/15563450433?classType=REGULAR
840306619656,599,https://www.samsclub.com/ip/Bronston-Top-Grain-Leather-Power-Theater-Recliner-Black/13570622343?classType=VARIANT
887276763859,545,https://www.samsclub.com/ip/Samsung-Top-Control-Dishwasher-with-Stormwash/13625407414?classType=VARIANT
193968350796,1299,https://www.samsclub.com/ip/Member-s-Mark-Brexley-Dining-Set-with-Sunbrella-Fabric-7pc/13716571327?classType=REGULAR
887276763866,545,https://www.samsclub.com/ip/Samsung-Top-Control-Dishwasher-with-AutoRelease-Dry/13608208314?classType=VARIANT
765206262262,81.98,https://www.samsclub.com/ip/Gertmenian-Malini-Area-Rug-Assorted-Colors-and-Sizes/15208801159?classType=VARIANT
810143391213,429.98,https://www.samsclub.com/ip/Sealy-Dreamlife-12-Medium-Hybrid-Mattress/13608208262?classType=VARIANT
840306623806,2799,https://www.samsclub.com/ip/Emery-3-Piece-Top-Grain-Leather-Sofa-Set-Assorted-Colors/13571822349?classType=VARIANT
855276003145,175.98,https://www.samsclub.com/ip/Total-Gutter-Guard-Stainless-Steel-Micro-Mesh-Gutter-Guard-Kit-5-and-Smaller/13599611394?classType=VARIANT
840306621826,959,https://www.samsclub.com/ip/Jasper-Mid-Century-Top-Grain-Leather-Sofa/13589974136?classType=VARIANT
017641204438,284.98,https://www.samsclub.com/ip/Seville-Classics-UltraHD-2-Piece-Rolling-Steel-Garage-Storage-Cabinet-With-Stacker-Set-36-W-x-18-D-x-90-5-H/13734763512?classType=VARIANT
887276609706,745,https://www.samsclub.com/ip/Samsung-Top-Control-Dishwasher-with-Stormwash/13606564773?classType=VARIANT
195174075364,945,https://www.samsclub.com/ip/LG-5-5-cu-ft-Top-Load-Washer-with-EasyUnload/13647212896?classType=VARIANT
195174071205,695,https://www.samsclub.com/ip/LG-18-cu-ft-Top-Mount-Refrigerator/13881308861?classType=REGULAR
