UPC,Price,Variant,Source Link
041604375972,20.99,Cream,https://www.scheels.com/p/04160445725
041604376016,20.99,Fog,https://www.scheels.com/p/04160445725
041604394225,20.99,Frost,https://www.scheels.com/p/04160445725
888408257970,15.4,Black/White,https://www.scheels.com/p/88840825804
888408258069,15.4,White/Black,https://www.scheels.com/p/88840825804
888408258076,15.4,White/Black,https://www.scheels.com/p/88840825804
041604414855,20.99,Rose Quartz 2.0,https://www.scheels.com/p/04160445725
041604394232,20.99,Ash,https://www.scheels.com/p/04160445725
041604394249,20.99,Stone,https://www.scheels.com/p/04160445725
888408257949,15.4,White/Black,https://www.scheels.com/p/88840825804
888408257987,15.4,White/Black,https://www.scheels.com/p/88840825804
888408258052,15.4,White/Black,https://www.scheels.com/p/88840825804
194955548233,15.4,White/Black/Grey,https://www.scheels.com/p/88840825804
195244785957,15.4,White/Black/Grey,https://www.scheels.com/p/88840825804
041604394355,20.99,Mist,https://www.scheels.com/p/04160445725
041604394294,20.99,Pomelo,https://www.scheels.com/p/04160445725
041604394317,20.99,Tigerlily Plum,https://www.scheels.com/p/04160445725
041604394331,20.99,Fuchsia,https://www.scheels.com/p/04160445725
041604413117,20.99,Bright Lime,https://www.scheels.com/p/04160445725
195244785964,15.4,White/Black/Grey,https://www.scheels.com/p/88840825804
195244785971,15.4,White/Black/Grey,https://www.scheels.com/p/88840825804
195244785940,15.4,Multi Color,https://www.scheels.com/p/88840825804
888408258045,15.4,Multi Color,https://www.scheels.com/p/88840825804
197599222989,15.4,Multi Color,https://www.scheels.com/p/88840825804
041604413100,20.99,Tropical Teal,https://www.scheels.com/p/04160445725
041604413094,20.99,Vivid Violet,https://www.scheels.com/p/04160445725
041604454080,20.99,Jadeite,https://www.scheels.com/p/04160445725
041604454097,20.99,Magenta Hyper Stripe,https://www.scheels.com/p/04160445725
197599222637,15.4,Tan/Green,https://www.scheels.com/p/88840825804
194955548226,15.4,Tan/Green,https://www.scheels.com/p/88840825804
197860542716,15.4,Tan/Green,https://www.scheels.com/p/88840825804
197860521209,15.4,Neon Blue/Green,https://www.scheels.com/p/88840825804
041604451874,20.99,Periwinkle Shimmer,https://www.scheels.com/p/04160445725
041604451867,20.99,Rose Petal Shimmer,https://www.scheels.com/p/04160445725
041604381386,20.99,Pink Dusk,https://www.scheels.com/p/04160445725
041604440281,20.99,Chili Red,https://www.scheels.com/p/04160445725
197860523852,15.4,Neon Blue/Green,https://www.scheels.com/p/88840825804
197860590458,15.4,Neon Blue/Green,https://www.scheels.com/p/88840825804
197860587298,15.4,Neon Blue/Green,https://www.scheels.com/p/88840825804
196149312460,41.25,Neon Blue/Green,https://www.scheels.com/p/19760032222
041604441004,20.99,Meadow,https://www.scheels.com/p/04160445725
041604439124,20.99,Cherry Blossom,https://www.scheels.com/p/04160445725
041604439131,20.99,Hot Coral,https://www.scheels.com/p/04160445725
041604439148,20.99,Splash,https://www.scheels.com/p/04160445725
196149312491,41.25,Neon Blue/Green,https://www.scheels.com/p/19760032222
196149312583,41.25,Neon Blue/Green,https://www.scheels.com/p/19760032222
196149312552,41.25,Neon Blue/Green,https://www.scheels.com/p/19760032222
196149312521,41.25,Neon Blue/Green,https://www.scheels.com/p/19760032222
041604454103,20.99,Apricot Palms,https://www.scheels.com/p/04160445725
041604452796,20.99,Cream Royal,https://www.scheels.com/p/04160445725
041604454110,20.99,Ocean Palms,https://www.scheels.com/p/04160445725
041604457258,20.99,Pink Mesa Sunset,https://www.scheels.com/p/04160445725
041604439186,20.99,Cranberry,https://www.scheels.com/p/04160445725
196149312439,41.25,Black/Sail,https://www.scheels.com/p/19760032222
196149312859,41.25,Dk Grey Heather/Sail,https://www.scheels.com/p/19760032222
196149312880,41.25,Dk Grey Heather/Sail,https://www.scheels.com/p/19760032222
196149312910,41.25,Dk Grey Heather/Sail,https://www.scheels.com/p/19760032222
041604439155,20.99,Dew Drop,https://www.scheels.com/p/04160445725
041604439162,20.99,Pistachio,https://www.scheels.com/p/04160445725
193147704549,32.97,Pistachio,https://www.scheels.com/p/19314770454
193147704631,32.97,Pistachio,https://www.scheels.com/p/19314770454
196149312941,41.25,Dk Grey Heather/Sail,https://www.scheels.com/p/19760032222
196149312972,41.25,Dk Grey Heather/Sail,https://www.scheels.com/p/19760032222
196607888193,41.25,Dk Grey Heather/Sail,https://www.scheels.com/p/19760032222
196607888100,41.25,Lt Orewood Brn/Sail,https://www.scheels.com/p/19760032222
193147704556,32.97,Pistachio,https://www.scheels.com/p/19314770454
193147704563,32.97,Pistachio,https://www.scheels.com/p/19314770454
193147704624,32.97,Pistachio,https://www.scheels.com/p/19314770454
193147704600,32.97,Pistachio,https://www.scheels.com/p/19314770454
193147704617,32.97,Pistachio,https://www.scheels.com/p/19314770454
196607888131,41.25,Lt Orewood Brn/Sail,https://www.scheels.com/p/19760032222
196607888162,41.25,Lt Orewood Brn/Sail,https://www.scheels.com/p/19760032222
196607888223,41.25,Lt Orewood Brn/Sail,https://www.scheels.com/p/19760032222
196607888254,41.25,Lt Orewood Brn/Sail,https://www.scheels.com/p/19760032222
197593357212,41.25,Lt Orewood Brn/Sail,https://www.scheels.com/p/19760032222
193147704587,32.97,Pistachio,https://www.scheels.com/p/19314770454
193147705805,32.97,University Red/University Red/White,https://www.scheels.com/p/19314770454
193147705843,32.97,University Red/University Red/White,https://www.scheels.com/p/19314770454
193147705768,32.97,University Red/University Red/White,https://www.scheels.com/p/19314770454
