UPC,Price,Variant,Source Link
840309317948,58.50,Chalk / XS-SM,https://www.selkirk.com/products/womens-proline-seamless-long-sleeve-shirt?variant=42173852647526
840309317955,58.50,Chalk / MD-LG,https://www.selkirk.com/products/womens-proline-seamless-long-sleeve-shirt?variant=42173852680294
840309317962,58.50,Blackout / XS-SM,https://www.selkirk.com/products/womens-proline-seamless-long-sleeve-shirt?variant=42173852713062
840309317979,58.50,Blackout / MD-LG,https://www.selkirk.com/products/womens-proline-seamless-long-sleeve-shirt?variant=42173852745830
810009313724,8.00,Single Pack,https://www.selkirk.com/products/selkirk-contour-grip?variant=42989428211814
840309305204,150.00,Invikta / Red / None,https://www.selkirk.com/products/luxx-control-air-invikta?variant=40232737964134
840309307703,150.00,None,https://www.selkirk.com/products/vanguard-power-air-invikta-catherine-parenteau-signature-paddle?variant=40562165874790
,12.00,Triple Pack,https://www.selkirk.com/products/selkirk-contour-grip?variant=42989428244582
,150.00,Invikta / Red / Custom Grip +$5,https://www.selkirk.com/products/luxx-control-air-invikta?variant=40536992710758
840309314602,22.50,Forest Green,https://www.selkirk.com/products/crossbody-pack?variant=42173426892902
840309307703,155.00,Custom Grip +$5,https://www.selkirk.com/products/vanguard-power-air-invikta-catherine-parenteau-signature-paddle?variant=40562165907558
840309335355,222.00,Epic / None,https://www.selkirk.com/products/selkirk-labs-project-007-10mm-epic?variant=42946088370278
840309307727,37.50,Default Title,https://www.selkirk.com/products/selkirk-pickleball-court-chair-portable-lightweight?variant=40445233168486
810009314356,13.50,Men's / Left Hand,https://www.selkirk.com/products/boost-glove?variant=39393319125094
810009310631,22.50,Right / Women's / White-Black,https://www.selkirk.com/products/selkirk-glove?variant=30249848766518
840309301220,10.00,Single Pack,https://www.selkirk.com/products/selkirk-faux-leather-grip?variant=42989428867174
840309311380,150.00,S2 / Midweight / Raw Carbon,https://www.selkirk.com/products/vanguard-control-s2?variant=40736003260518
840309312073,21.00,Cool Gray / XS,https://www.selkirk.com/products/emblem-womens-tt?variant=40975746629734
840309312950,22.50,Black,https://www.selkirk.com/products/40oz-straw-tumbler?variant=42104288968806
840309313049,150.00,Jack Sock Signature / None,https://www.selkirk.com/products/luxx-control-air-invikta-jack-sock?variant=41458606932070
840309311366,150.00,Invikta / Midweight / Raw Carbon,https://www.selkirk.com/products/vanguard-control-invikta?variant=40736003555430
840309305228,150.00,Invikta / Blue / None,https://www.selkirk.com/products/luxx-control-air-invikta?variant=40232738029670
840309301954,27.00,Scarlet / XS,https://www.selkirk.com/products/champion-youth-hoodie?variant=40137478766694
840309314619,22.50,Gray,https://www.selkirk.com/products/crossbody-pack?variant=42173426925670
,222.00,Epic / Custom Grip,https://www.selkirk.com/products/selkirk-labs-project-007-10mm-epic?variant=42946088403046
810009314363,13.50,Men's / Right Hand,https://www.selkirk.com/products/boost-glove?variant=39393319157862
810009310662,22.50,Right / Women's / White-Sand,https://www.selkirk.com/products/selkirk-glove?variant=30249848832054
,10.00,Double Pack,https://www.selkirk.com/products/selkirk-faux-leather-grip?variant=42989428899942
840309311397,150.00,S2 / Lightweight / Raw Carbon,https://www.selkirk.com/products/vanguard-control-s2?variant=40736003293286
840309312059,21.00,Cool Gray / Small,https://www.selkirk.com/products/emblem-womens-tt?variant=40975746564198
840309312967,22.50,Red,https://www.selkirk.com/products/40oz-straw-tumbler?variant=42104289001574
,150.00,Jack Sock Signature / Custom Grip +$5,https://www.selkirk.com/products/luxx-control-air-invikta-jack-sock?variant=41458606964838
840309311373,150.00,Invikta / Lightweight / Raw Carbon,https://www.selkirk.com/products/vanguard-control-invikta?variant=40736003588198
,150.00,Invikta / Blue / Custom Grip +$5,https://www.selkirk.com/products/luxx-control-air-invikta?variant=40536992776294
840309301930,27.00,Scarlet / Small,https://www.selkirk.com/products/champion-youth-hoodie?variant=40137478701158
840309314626,22.50,Mauve,https://www.selkirk.com/products/crossbody-pack?variant=42173426958438
810009314370,13.50,Women's / Left Hand,https://www.selkirk.com/products/boost-glove?variant=39393319190630
810009310648,22.50,Right / Women's / White-Pink,https://www.selkirk.com/products/selkirk-glove?variant=30249848799286
840309312899,30.00,40oz / Black,https://www.selkirk.com/products/selkirk-water-bottle?variant=39596911362150
840309312042,21.00,Cool Gray / Medium,https://www.selkirk.com/products/emblem-womens-tt?variant=40975746531430
840309312974,22.50,White,https://www.selkirk.com/products/40oz-straw-tumbler?variant=42104289034342
640793059696,16.80,Black / XS,https://www.selkirk.com/products/camo-womens-tt?variant=32235498897510
840309336772,158.90,Black / S,https://www.selkirk.com/products/truwear-mens-quest-jacket?variant=42425816875110
840309313049,150.00,Invikta / Jack Sock Signature / None,https://www.selkirk.com/products/luxx-control-air-invikta?variant=41535024824422
840309301923,27.00,Scarlet / Medium,https://www.selkirk.com/products/champion-youth-hoodie?variant=40137478668390
840309314633,22.50,Tan,https://www.selkirk.com/products/crossbody-pack?variant=42173426991206
810009314387,13.50,Women's / Right Hand,https://www.selkirk.com/products/boost-glove?variant=39393319223398
810009310624,22.50,Right / Men's / White-Black,https://www.selkirk.com/products/selkirk-glove?variant=30249848700982
840309312905,30.00,40oz / Red,https://www.selkirk.com/products/selkirk-water-bottle?variant=39596911394918
840309312035,21.00,Cool Gray / Large,https://www.selkirk.com/products/emblem-womens-tt?variant=40975746498662
640793059672,16.80,Black / Small,https://www.selkirk.com/products/camo-womens-tt?variant=32235498831974
640793059054,26.40,Black / XS,https://www.selkirk.com/products/camo-mens-polo?variant=32235496669286
840309336789,158.90,Black / M,https://www.selkirk.com/products/truwear-mens-quest-jacket?variant=42425816907878
