UPC,Price,Variant,Source Link
196265277209,39.98,"Men's 3 / Women's 5, MEDIUM, BLACK",https://www.shoecarnival.com/adults_crocs_mellow_slide_sandals/148009.html
196265678525,34.98,"11 - Little Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
191448964860,39.98,"Men's 13 / Women's 15, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_marbled_clogs/125225.html
196265678594,34.98,"5 - Big Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
196265277223,39.98,"Men's 5 / Women's 7, MEDIUM, BLACK",https://www.shoecarnival.com/adults_crocs_mellow_slide_sandals/148009.html
196265277216,39.98,"Men's 4 / Women's 6, MEDIUM, BLACK",https://www.shoecarnival.com/adults_crocs_mellow_slide_sandals/148009.html
196265678549,34.98,"13 - Little Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
196265678570,34.98,"3 - Little Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
196265678587,34.98,"4 - Big Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
191448964884,39.98,"Men's 15 / Women's 17, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_marbled_clogs/125225.html
196265390809,49.98,"Men's 9 / Women's 11, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_lined_clogs/125266.html
196265678556,34.98,"1 - Little Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
196265277230,39.98,"Men's 6 / Women's 8, MEDIUM, BLACK",https://www.shoecarnival.com/adults_crocs_mellow_slide_sandals/148009.html
196265678563,34.98,"2 - Little Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
196265277247,39.98,"Men's 7 / Women's 9, MEDIUM, BLACK",https://www.shoecarnival.com/adults_crocs_mellow_slide_sandals/148009.html
196265390670,49.98,"Men's 10 / Women's 12, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_lined_clogs/125266.html
198445100345,49.98,"12, MEDIUM, RED",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265701223,49.98,"9, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
191448964877,39.98,"Men's 14 / Women's 16, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_marbled_clogs/125225.html
196265701193,49.98,"6, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265532087,49.98,"Men's 8 / Women's 10, MEDIUM, PINK",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265678600,34.98,"6 - Big Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
196265390717,49.98,"Men's 14 / Women's 16, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_lined_clogs/125266.html
196265277254,39.98,"Men's 8 / Women's 10, MEDIUM, BLACK",https://www.shoecarnival.com/adults_crocs_mellow_slide_sandals/148009.html
196265701216,49.98,"8, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265701100,49.98,"11, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265390700,49.98,"Men's 13 / Women's 15, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_lined_clogs/125266.html
196265532049,49.98,"Men's 4 / Women's 6, MEDIUM, PINK",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
198445100338,49.98,"11, MEDIUM, RED",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265701209,49.98,"7, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
198445100383,49.98,"4, MEDIUM, RED",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
198445100321,49.98,"10, MEDIUM, RED",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265532094,49.98,"Men's 9 / Women's 11, MEDIUM, PINK",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265697991,49.98,"10, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
191448964846,39.98,"Men's 11 / Women's 13, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_marbled_clogs/125225.html
196265678532,34.98,"12 - Little Kid, MEDIUM, GREEN",https://www.shoecarnival.com/kids_crocs_little_kid_big_kid_classic_duke_b_clogs/161033.html
196265701179,49.98,"4, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265701117,49.98,"12, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
191448964853,39.98,"Men's 12 / Women's 14, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_marbled_clogs/125225.html
196265701162,49.98,"3, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
198445100390,49.98,"5, MEDIUM, RED",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
198445100437,49.98,"9, MEDIUM, RED",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
191448964839,39.98,"Men's 10 / Women's 12, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_marbled_clogs/125225.html
196265701186,49.98,"5, MEDIUM, BEIGE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265390694,49.98,"Men's 12 / Women's 14, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_lined_clogs/125266.html
198445100406,49.98,"6, MEDIUM, RED",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
198445124105,49.98,"9, MEDIUM, MULTICOLOR",https://www.shoecarnival.com/adults_crocs_classic_gingham_clog/175763.html
198445100376,49.98,"3, MEDIUM, RED",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265532001,49.98,"Men's 12 / Women's 14, MEDIUM, PINK",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265208852,34.98,"Men's 11 / Women's 13, MEDIUM, PURPLE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265531998,49.98,"Men's 11 / Women's 13, MEDIUM, PINK",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265838370,39.98,"Men's 9 / Women's 11, MEDIUM, PINK",https://www.shoecarnival.com/womens_crocs_classic_mary_jane_clogs/166472.html
196265390687,49.98,"Men's 11 / Women's 13, MEDIUM, BLUE",https://www.shoecarnival.com/adults_crocs_classic_lined_clogs/125266.html
196265899449,49.98,"3, MEDIUM, PINK",https://www.shoecarnival.com/adults_crocs_classic_blitzen_iv_clogs/166484.html
196265899210,49.98,"4, MEDIUM, GREY",https://www.shoecarnival.com/adults_crocs_classic_blitzen_iv_clogs/166484.html
196265838363,39.98,"Men's 8 / Women's 10, MEDIUM, PINK",https://www.shoecarnival.com/womens_crocs_classic_mary_jane_clogs/166472.html
196265899258,49.98,"8, MEDIUM, GREY",https://www.shoecarnival.com/adults_crocs_classic_blitzen_iv_clogs/166484.html
196265899487,49.98,"7, MEDIUM, PINK",https://www.shoecarnival.com/adults_crocs_classic_blitzen_iv_clogs/166484.html
198445124068,49.98,"5, MEDIUM, MULTICOLOR",https://www.shoecarnival.com/adults_crocs_classic_gingham_clog/175763.html
198445124044,49.98,"3, MEDIUM, MULTICOLOR",https://www.shoecarnival.com/adults_crocs_classic_gingham_clog/175763.html
196265892365,39.98,"11 - Little Kid, MEDIUM, BEIGE",https://www.shoecarnival.com/girls_crocs_little_kid_big_kid_classic_blitzen_clogs/166323.html
196265208890,34.98,"Men's 15 / Women's 17, MEDIUM, PURPLE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265899203,49.98,"3, MEDIUM, GREY",https://www.shoecarnival.com/adults_crocs_classic_blitzen_iv_clogs/166484.html
198445124075,49.98,"6, MEDIUM, MULTICOLOR",https://www.shoecarnival.com/adults_crocs_classic_gingham_clog/175763.html
196265899241,49.98,"7, MEDIUM, GREY",https://www.shoecarnival.com/adults_crocs_classic_blitzen_iv_clogs/166484.html
196265838349,39.98,"Men's 6 / Women's 8, MEDIUM, PINK",https://www.shoecarnival.com/womens_crocs_classic_mary_jane_clogs/166472.html
198445124082,49.98,"7, MEDIUM, MULTICOLOR",https://www.shoecarnival.com/adults_crocs_classic_gingham_clog/175763.html
196265208876,34.98,"Men's 13 / Women's 15, MEDIUM, PURPLE",https://www.shoecarnival.com/adults_crocs_classic_clogs/95237.html
196265899234,49.98,"6, MEDIUM, GREY",https://www.shoecarnival.com/adults_crocs_classic_blitzen_iv_clogs/166484.html
