UPC,Price,Variant,Source Link
196149219097,84.98,"7.5, MEDIUM, WHITE",https://www.shoecarnival.com/womens_nike_court_legacy_lift_platform_sneakers/126998.html
197860593640,99.98,"8, MEDIUM, BLACK",https://www.shoecarnival.com/womens_nike_air_max_portal_sneakers/167436.html
196149219189,84.98,"12, MEDIUM, WHITE",https://www.shoecarnival.com/womens_nike_court_legacy_lift_platform_sneakers/126998.html
197860553897,99.98,"5, MEDIUM, BLACK",https://www.shoecarnival.com/womens_nike_air_max_portal_sneakers/167436.html
197860580114,99.98,"11, MEDIUM, BLACK",https://www.shoecarnival.com/womens_nike_air_max_portal_sneakers/167436.html
197860582668,99.98,"7, MEDIUM, BLACK",https://www.shoecarnival.com/womens_nike_air_max_portal_sneakers/167436.html
197860574649,99.98,"5.5, MEDIUM, BLACK",https://www.shoecarnival.com/womens_nike_air_max_portal_sneakers/167436.html
197864034439,64.98,"5.5, MEDIUM, PINK",https://www.shoecarnival.com/womens_nike_pacific_sneakers/176839.html
197861981545,60.0,"7.5, MEDIUM, WHITE",https://www.shoecarnival.com/womens_nike_court_vision_low_next_nature_sustainable_sneakers/126997.html
197862030846,60.0,"9, MEDIUM, WHITE",https://www.shoecarnival.com/womens_nike_court_vision_low_next_nature_sustainable_sneakers/126997.html
197864003268,64.98,"8.5, MEDIUM, PINK",https://www.shoecarnival.com/womens_nike_pacific_sneakers/176839.html
197860567320,99.98,"9, MEDIUM, BLACK",https://www.shoecarnival.com/womens_nike_air_max_portal_sneakers/167436.html
196149219134,84.98,"9.5, MEDIUM, WHITE",https://www.shoecarnival.com/womens_nike_court_legacy_lift_platform_sneakers/126998.html
197860581067,99.98,"6, MEDIUM, BLACK",https://www.shoecarnival.com/womens_nike_air_max_portal_sneakers/167436.html
197864046364,64.98,"8, MEDIUM, PINK",https://www.shoecarnival.com/womens_nike_pacific_sneakers/176839.html
197864017739,64.98,"9.5, MEDIUM, PINK",https://www.shoecarnival.com/womens_nike_pacific_sneakers/176839.html
196149219110,84.98,"8.5, MEDIUM, WHITE",https://www.shoecarnival.com/womens_nike_court_legacy_lift_platform_sneakers/126998.html
197862014310,60.0,"5.5, MEDIUM, WHITE",https://www.shoecarnival.com/womens_nike_court_vision_low_next_nature_sustainable_sneakers/126997.html
197862001761,60.0,"8, MEDIUM, WHITE",https://www.shoecarnival.com/womens_nike_court_vision_low_next_nature_sustainable_sneakers/126997.html
