UPC,Price,Variant,Source Link
194973258503,34.00,Large / true black,https://shop.simon.com/products/womens-spurs-overtime-striped-fleece-hoodie
194973258480,34.00,Small / true black,https://shop.simon.com/products/womens-spurs-overtime-striped-fleece-hoodie
194973258473,34.00,XSmall / true black,https://shop.simon.com/products/womens-spurs-overtime-striped-fleece-hoodie
194973258497,34.00,Medium / true black,https://shop.simon.com/products/womens-spurs-overtime-striped-fleece-hoodie
,18.70,US 5T / red,https://shop.simon.com/products/nba-boys-red-bulls-hoodie
,41.97,Large / teal 161,https://shop.simon.com/products/aeropostale-miami-dolphins-track-pants
,41.97,Medium / teal 161,https://shop.simon.com/products/aeropostale-miami-dolphins-track-pants
,41.97,Small / teal 161,https://shop.simon.com/products/aeropostale-miami-dolphins-track-pants
,41.97,XXLarge / teal 161,https://shop.simon.com/products/aeropostale-miami-dolphins-track-pants
,41.97,XSmall / teal 161,https://shop.simon.com/products/aeropostale-miami-dolphins-track-pants
,41.97,XLarge / teal 161,https://shop.simon.com/products/aeropostale-miami-dolphins-track-pants
,24.47,Medium / white,https://shop.simon.com/products/aeropostale-los-angeles-rams-super-bowl-boxy-graphic-tee
,24.47,XXXLarge / white,https://shop.simon.com/products/aeropostale-los-angeles-rams-super-bowl-boxy-graphic-tee
,24.47,XLarge / white,https://shop.simon.com/products/aeropostale-los-angeles-rams-super-bowl-boxy-graphic-tee
,24.47,Large / white,https://shop.simon.com/products/aeropostale-los-angeles-rams-super-bowl-boxy-graphic-tee
,24.47,XXLarge / white,https://shop.simon.com/products/aeropostale-los-angeles-rams-super-bowl-boxy-graphic-tee
,24.47,Small / white,https://shop.simon.com/products/aeropostale-los-angeles-rams-super-bowl-boxy-graphic-tee
,24.47,XSmall / white,https://shop.simon.com/products/aeropostale-los-angeles-rams-super-bowl-boxy-graphic-tee
,26.97,Medium / white,https://shop.simon.com/products/aeropostale-3-4-sleeve-pittsburgh-steelers-relaxed-raglan-tee
,26.97,Small / white,https://shop.simon.com/products/aeropostale-3-4-sleeve-pittsburgh-steelers-relaxed-raglan-tee
,26.97,XLarge / white,https://shop.simon.com/products/aeropostale-3-4-sleeve-pittsburgh-steelers-relaxed-raglan-tee
,26.97,Large / white,https://shop.simon.com/products/aeropostale-3-4-sleeve-pittsburgh-steelers-relaxed-raglan-tee
,26.97,XXLarge / white,https://shop.simon.com/products/aeropostale-3-4-sleeve-pittsburgh-steelers-relaxed-raglan-tee
,26.97,XXXLarge / white,https://shop.simon.com/products/aeropostale-3-4-sleeve-pittsburgh-steelers-relaxed-raglan-tee
,26.97,XSmall / white,https://shop.simon.com/products/aeropostale-3-4-sleeve-pittsburgh-steelers-relaxed-raglan-tee
,41.97,Small / black 1,https://shop.simon.com/products/aeropostale-pittsburgh-steelers-quarter-zip-sweatshirt
