UPC,Price,Source Link
871375600023,7.99,https://smkw.com/beer-tool-gray-cu002
788857765401,49.99,https://smkw.com/boker-kaizen-black-s35vn-blue-g10
729857007955,29.95,https://smkw.com/sog-ace-fixed-blade-knife-stonewash
794023249002,26.95,https://smkw.com/crkt-squid-black
013658151574,23.13,https://smkw.com/gerber-airlift-silver
000321800174,119,https://smkw.com/lynch-northwest-smkw-exclusive-hammerhead-v1-0-prybar-prototype-version-service-finish-service-black-clip/
729857011075,53.99,https://smkw.com/sog-aegis-at-folding-knife-forest-and-moss
730153142073,41.99,https://smkw.com/bear-and-son-rosewood-mini-trapper
002895914349,400,https://smkw.com/medford-smth-crim-auto-tumbled-ylw-flamed
768779003812,25,https://smkw.com/victorinox-farm-animals-classic-sd
002895914219,219.99,https://smkw.com/medford-smth-crim-auto-pvd-blk-pvd
705442013716,21.95,https://smkw.com/cold-steel-la-fontaine-thrower
013658154735,34.16,https://smkw.com/gerber-pack-hatchet-coyote-brown
002895913854,350,https://smkw.com/medford-smooth-criminal-pvd-red
002895914141,410,https://smkw.com/medford-smth-crim-auto-grn-pvd-flamed
002594000039,269.99,https://smkw.com/brian-brown-raptor-lava-flow-smkw-exclusive
871373123838,13.59,https://smkw.com/rough-ryder-highland-blk-micarta-drs
002895914165,400,https://smkw.com/medford-smth-crim-auto-tumble-grn-flamed
871375600030,7.99,https://smkw.com/cuma-beer-tool-pink-cu003
002895914325,219.99,https://smkw.com/medford-smth-crim-auto-pvd-ylw-pvd
013658118393,28.2,https://smkw.com/gerber-swagger
000321800259,119,https://smkw.com/lynch-northwest-smkw-exclusive-hammerhead-v1-0-prybar-light-metal-flake-fade-titanium/
,49.99,https://smkw.com/bear-son-hunter-green-stag-bone-lg-stockman
888151040409,59.95,https://smkw.com/cold-steel-drifter-od-grn-gfn-hd-12-csfl30dpltbg
002895914134,410,https://smkw.com/medford-smth-crim-auto-pvd-grn-bz
002895914332,410,https://smkw.com/medford-smth-crim-auto-pvd-ylw-flamed
002895914158,375,https://smkw.com/medford-smth-crim-auto-tumble-grn-satin
002895914226,410,https://smkw.com/medford-smth-crim-auto-pvd-blk-flamed
850025463294,129.99,https://smkw.com/knafs-lander-mars-valley-smkw-exclusive
002895914233,219.99,https://smkw.com/medford-smth-crim-auto-pvd-blk-bronze
768779003836,35,https://smkw.com/victorinox-squatchy-ranger-tinker-smkw
871373124088,15.19,https://smkw.com/rough-ryder-small-stockman-stoneworx-rr2408
768779004147,25,https://smkw.com/victorinox-backyard-chickens-classic-sd
444442637,645,https://smkw.com/mikkel-willumsen-auto-cf-bronze-aumkwcfnbz
555552637,645,https://smkw.com/mikkel-willumsen-auto-shredded-cf-gray-titanium-aumkwcfnb
002895914127,224.99,https://smkw.com/medford-smth-crim-auto-pvd-gn-pvd
002895914288,410,https://smkw.com/medford-smth-crim-auto-pvd-blue-pvd
,49.99,https://smkw.com/bear-son-hunter-grn-stag-bn-lg-trap-sfo-brgsbc54
002895914202,400,https://smkw.com/medford-smth-crim-auto-tumble-red-flamed
002895914271,400,https://smkw.com/medford-smth-crim-auto-tumble-blk-flamed
798779004024,25,https://smkw.com/victorinox-ufo-i-want-to-believe-classic-sd-v1114
768779004031,35,https://smkw.com/victorinox-ufo-i-want-to-believe-tinker-v1115
33332637,645,https://smkw.com/willumsen-auto-cf-flamed-aumkwcfc
22222637,645,https://smkw.com/mikkel-willumsen-auto-cf-blue-aumkwcfbn
003365001026,19.99,https://smkw.com/rough-ryder-happy-easter-smooth-bone-trapper
768779004154,35,https://smkw.com/victorinox-backyard-chickens-tinker
002594000022,269.99,https://smkw.com/brian-brown-raptor-toxic-storm-smkw-exclusive
002895914264,224.99,https://smkw.com/medford-smth-crim-auto-tumble-blk-brz
002594000015,269.99,https://smkw.com/brian-brown-raptor-arctic-storm-smkw-exclusive
002895914295,410,https://smkw.com/medford-smth-crim-auto-pvd-blue-flamed
788857765319,49.99,https://smkw.com/boker-kaizen-black-s35vn-coyote-g10
788857765364,49.99,https://smkw.com/boker-kaizen-black-s35vn-gray-g10
788857765326,49.99,https://smkw.com/boker-kaizen-black-s35vn-white-g10
788857059739,79.99,https://smkw.com/boker-copper-burlap-single-blade-stockman
788857059777,79.99,https://smkw.com/boker-brass-canvas-micarta-trapper
768779003997,149.99,https://smkw.com/byond-edc-asym-nighthorse-nat-titan
788857059722,109.99,https://smkw.com/boker-copper-burlap-micarta-single-bld-trapper
788857059784,79.99,https://smkw.com/boker-brown-canvas-micarta-single-blade-stockman
193125008249,39.99,https://smkw.com/artisan-cutlery-smkw-exclsve-brgndy-blk-coatd-shrk
193125008232,46.99,https://smkw.com/artisan-cutlery-smkw-exclusive-brgndy-stin-shrk
841768169048,222,https://smkw.com/microtech-msi-s-e-tri-grip-polymer-od-green-dark-earth-partial-serrated/
023614977605,39.99,https://smkw.com/browning-steambank-brown-clip-pt
788857059791,79.99,https://smkw.com/boker-brown-micarta-club-expedition
87171061078,34.99,https://smkw.com/kershaw-culpepper-copper-detent
087171069180,179.99,https://smkw.com/kershaw-auto-livewire-out-the-front-limewire-edition-smkw-exclusive-sfo/
003286000467,174.99,https://smkw.com/giantmouse-ace-biblio-ice-fat-carbon
841768160724,317,https://smkw.com/microtech-ultratech-x-wing-hellhound
6970270334874,79,https://smkw.com/kizer-lieb-smkw-exclusive-freedom-folding-knife-2-98in-uv-printed-aluminum/
788857059760,79.99,https://smkw.com/boker-copper-burlap-single-blade-delicate
871373126853,29.99,https://smkw.com/rough-ryder-smkw-exclusive-skinner-stockman-pen-knife-3pc-gift-tin-set/
841768161714,280,https://smkw.com/microtech-smkw-exclus-x-wing-ultratech-otf-auto-red-alum-apocalyptic-part-serr-tanto/
001864587644,222,https://smkw.com/l-t-wright-smkw-exclusive-the-bandit-satin-d2-striped-snakeskin-micarta-ltbanfssm/
841768161967,377.99,https://smkw.com/aumt71910xw-microtech-utx-85
788857765395,49.99,https://smkw.com/boker-kaizen-satin-s35vn-blue-g10
6970270334973,69,https://smkw.com/kizer-vault-feist-get-wasted-brown-g-10-2-88-drop-point-smkw-exclusive/
002883000030,354,https://smkw.com/yan-emw-arctic-storm-yanemwas
788857059852,49.99,https://smkw.com/boker-kaizen-purple-w-blk-bld-s35vn
841768164500,275,https://smkw.com/microtech-smkw-excl-x-wing-ultratech-apoc-se
788857765388,49.99,https://smkw.com/boker-kaizen-black-s35vn-red-g10
841768163794,241,https://smkw.com/microtech-utx-85-smkw-exclusive-x-wing-d-e-apocalyptic/
841768166849,212,https://smkw.com/microtech-msi-smkw-exclusive-ram-lok-folding-knife-desert-warrior/
730153353066,147.19,https://smkw.com/bear-song-vii-titanium-tanto
768779004222,25,https://smkw.com/victorinox-classic-sd-nursing-work-of-heart
002883000047,354,https://smkw.com/yan-emw-lava-flow-yanemwlf
768779004239,25,https://smkw.com/victorinox-classic-sd-nurse-superpower
841768162551,241,https://smkw.com/aumt23310xw-microtech-utx-85-x-wing
768779004208,25,https://smkw.com/victorinox-classic-sd-swiss-army-knife-police-v1131
730153999950,29.99,https://smkw.com/bear-son-cannabis-barlow-smkw
730153353073,79.99,https://smkw.com/bear-song-viii-titanium-reverse-tanto
841768160571,275,https://smkw.com/microtech-x-wing-tanto-smkw-exclusive
730153353080,147.19,https://smkw.com/bear-song-vii-titanium-kukri
768779004215,35,https://smkw.com/victorinox-tinker-swiss-army-knife-police-v1132
087171059433,39.99,https://smkw.com/kershaw-static-brass-smkw-ex
871375400494,29.99,https://smkw.com/rough-ryder-reserve-smkw-exclusive-hog-leg-peanut-blue-smooth-bone/
087171059426,74.95,https://smkw.com/kershaw-static-copper-smkw-ex
729857014366,74.99,https://smkw.com/sog-recondo-fx-fixed-blade-knife-fde-partially-serrated
841768158011,275,https://smkw.com/microtech-ultratech-122-10xw-xwing-early-access-for-blade-show-round2
617717900198,79.99,https://smkw.com/ka-bar-becker-nessmuk-blackout-smkw
729857014335,74.99,https://smkw.com/sog-recondo-fx-fixed-blade-knife-black-plain-edge
729857014342,79.99,https://smkw.com/sog-recondo-fx-fixed-blade-knife-black-partially-serrated
729857014595,56.99,https://smkw.com/sog-trident-fx-blackout-fixed-blade-knife-partially-serrated
729857013444,54.99,https://smkw.com/sog-aegis-at-folding-knife-black-and-moss
013658155220,31.83,https://smkw.com/gerber-highbrow-compact-fe-blue-may-3-g1520
013658071629,32.68,https://smkw.com/gerber-fast-draw
002895913823,360,https://smkw.com/medford-smooth-criminal-pvd-yellow-blk
041689319779,24.99,https://smkw.com/zippo-chevy-usa-lighter
002895913892,325,https://smkw.com/medford-smooth-criminal-tumbled-green-satin
871373122831,19.19,https://smkw.com/rough-ryder-apta-copper-cleaver
000321800211,119,https://smkw.com/lynch-northwest-smkw-exclusive-hammerhead-v1-0-prybar-elemental-blue-titanium-service-black-clip/
610953196646,120,https://smkw.com/benchmade-socp-tactical-folder-trainer
,1100,https://smkw.com/willumsen-smkw-toxic-fat-carbon
000321800273,119,https://smkw.com/lynch-northwest-smkw-exclusive-hammerhead-v1-0-prybar-bronze-blue-double-anodized-titanium/
000321800204,119,https://smkw.com/lynch-northwest-smkw-exclusive-hammerhead-v1-0-prybar-elemental-green-titanium-service-black-clip/
729857013383,54.99,https://smkw.com/sog-aegis-at-tanto-folding-knife-red-and-indigo
048702122453,19.99,https://smkw.com/winchester-cowboy-wood-trapper-w-gift-tin
013658160767,15.95,https://smkw.com/gerber-stakeout-camp-multi-tool-graphite/
871373006445,19.99,https://smkw.com/marbles-sm-stag-fixed-blade-acorn-shield-mr644
013658160804,16,https://smkw.com/gerber-stakeout-champagne-camp-efs-blister/
013658166424,19.99,https://smkw.com/gerber-zilch-chonk-combo
871375000359,34.99,https://smkw.com/komoran-g10-linerlock-black-orange
794023005479,19.99,https://smkw.com/crkt-techliner-shorty-smkw-exclusive-copper
000000174084,4.99,https://smkw.com/gene-autry-novelty-knife-ivory-handle
013658484436,24.56,https://smkw.com/gerber-paraframe-i-serrated-ss-folder
610953210779,400,https://smkw.com/benchmade-cla-auto-od-aubm4300bk02
000321800242,119,https://smkw.com/lynch-northwest-smkw-exclusive-hammerhead-v1-0-prybar-heat-seeker-titanium/
730153113134,44.99,https://smkw.com/blackhawk-cqd-sm-button-lock-folder-partial-serrated-edge-1
191693731453,19.99,https://smkw.com/zippo-lighter-patriotic-jeep-sfo-zp412907
730153000489,36.99,https://smkw.com/bear-son-hunter-green-stag-bone-mini-trapper
729857013598,89.99,https://smkw.com/sog-altair-fx-fixed-blade-knife-canyon-red
730153000472,38.99,https://smkw.com/bear-son-hunter-green-stag-md-lockback
705442019565,39.95,https://smkw.com/cold-steel-ranch-boss-ii-map-1-cs20npm1
705442800890,48.95,https://smkw.com/cold-steel-oyabun
013658169524,8.99,https://smkw.com/gerber-carabiner-keychain-burnt-orange-backer-card/
888151045527,79.99,https://smkw.com/sog-provider-fx-fixed-blade-knife
885792930489,5.99,https://smkw.com/smkw-logo-hat-generic-camo
811328025534,144.99,https://smkw.com/esee-5-orange-3d
811328025329,139.99,https://smkw.com/esee-gibson-axe
000564000034,9.99,https://smkw.com/smkw-aluminum-handle-tapered-rod-diamond-nbsp-sharpener-hook-groove
768779002686,6.99,https://smkw.com/black-w-red-logo-magnetic-display-stand-camds2
730153354117,49.99,https://smkw.com/bear-son-widow-4in-bali-shot-show-bayonet
013658159495,15,https://smkw.com/gerber-tri-tip-black-may-3-g1693
23614978657,19.99,https://smkw.com/browning-red-jig-bone-toothpick-w-tin
013658160255,27.67,https://smkw.com/gerber-armbar-slim-cut-onyx
001200318551,19.99,https://smkw.com/kukri-black-rubber-handle
661120650478,43.99,https://smkw.com/schrade-slyte-framelock
013658166578,34.36,https://smkw.com/gerber-confidant-black-bamboo-jade-g-10
000564000027,14.99,https://smkw.com/smkw-folding-diamond-two-sided-sharpener
768779002693,6.99,https://smkw.com/case-pumpkin-magnetic-display-stand
013658165311,46.65,https://smkw.com/gerber-spire-ao-plain-edge-440a-steel-3
730153611128,52.99,https://smkw.com/bear-son-bear-edge-sideliner-blk-g10
871373123395,22.99,https://smkw.com/rough-ryder-tater-skin-pocket-chopper
794023710007,33.95,https://smkw.com/crkt-venandi-black-brown
003383001072,595,https://smkw.com/mcnees-macs-35-purplebronze-2tone-satin-swerve-smkw-exclusive
023980021117,300,https://smkw.com/reate-exo-m-safety-lock-gravity-knife-black-pvd-tanto-smkw-exclusive-nebula-fat-carbon-insert/
