UPC,Price,Variant,Source Link
8809535964212,26.60,Default Title,https://sokoglam.com/products/swanicoco-fermentation-peptine-eye-care-cream?variant=29173252423749
8809653234433,18.20,Default Title,https://sokoglam.com/products/hanskin-collagen-peptide-eye-cream?variant=39678373855301
8809500815204,16.10,Default Title,https://sokoglam.com/products/lador-wonder-hair-oil?variant=31344403185733
8809990126835,15.40,Default Title,https://sokoglam.com/products/ginger6-active-water-cream?variant=40900654891077
8809145476761,17.43,Default Title,https://sokoglam.com/products/the-plant-base-ac-clear-magic-cica-cream?variant=31817382461509
8809572893964,19.60,Default Title,https://sokoglam.com/products/maple-energy-infusing-cream?variant=42355676479557
8809566993007,16.80,Default Title,https://sokoglam.com/products/benton-guava-moisture-soothing-cream?variant=41126014124101
8809145478758,16.73,Default Title,https://sokoglam.com/products/the-plant-base-ac-clear-magic-gel?variant=19686139134021
8809810560412,15.40,Peach,https://sokoglam.com/products/glowiest-sweet-dreams-berry-lip-mask?variant=41822983454789
855540008197,10.50,Default Title,https://sokoglam.com/products/double-action-exfoliating-cleanser?variant=39895547478085
8809730950102,20.30,Default Title,https://sokoglam.com/products/manyo-factory-galac-niacin-2-0-essence?variant=39459786227781
8809732910739,14.00,Default Title,https://sokoglam.com/products/mixsoon-bifida-mask-pack?variant=40627109593157
8809527671098,7.70,Default Title,https://sokoglam.com/products/sonreve-shea-butter-hand-cream?variant=31529390211141
8809348503264,17.50,Default Title,https://sokoglam.com/products/rovectin-clean-lotus-water-calming-toner-200ml?variant=39469772374085
8809836580012,16.80,001 Barely,https://sokoglam.com/products/muzigae-mansion-objet-liquid?variant=40919497539653
8809454981956,28.00,Default Title,https://sokoglam.com/products/thank-you-farmer-water-deep-moisture-cream-ex?variant=39397229133893
818416022000,19.60,Rose Milk,https://sokoglam.com/products/em-cosmetics-color-drops-serum-blush-shade?variant=40683253235781
855540008173,9.80,Default Title,https://sokoglam.com/products/hydra-shield-anti-pollution-jelly-toner?variant=39895545577541
8809525932870,12.60,Default Title,https://sokoglam.com/products/im-from-rice-whip-facial-cleanser?variant=42397836607557
8809500811015,5.60,Default Title,https://sokoglam.com/products/lador-keratin-lpp-shampoo?variant=39599418146885
8809634850164,18.20,Default Title,https://sokoglam.com/products/juice-to-cleanse-water-wash-balm?variant=31277971898437
810045751603,26.60,Coral Rose,https://sokoglam.com/products/on-the-glow-blush-and-illuminator-bare?variant=42202776600645
8809653236994,17.50,Default Title,https://sokoglam.com/products/plodica-let-me-soothing-creamy-mask?variant=41624626036805
8809115025258,15.40,Default Title,https://sokoglam.com/products/klairs-rich-moist-soothing-serum?variant=28896642697
8809541375347,16.80,Default Title,https://sokoglam.com/products/inward-purple-plant-cream-mask?variant=31999290933317
8809810560566,16.80,Red Rose,https://sokoglam.com/products/glowiest-effortless-glow-lip-oil?variant=40559453700165
8809653231739,26.40,Default Title,https://sokoglam.com/products/hanskin-pink-capsule-serum?variant=40559453798469
8809680142428,14.00,CHERRY,https://sokoglam.com/products/dew-balm?variant=40623772172357
8809647770954,7.69,Default Title,https://sokoglam.com/products/unleashia-shaper-pomade-eyebrow-fixer?variant=40643749871685
8809566991713,18.90,Default Title,https://sokoglam.com/products/benton-fermentation-essence?variant=28339508617
8809732910289,22.40,Default Title,https://sokoglam.com/products/mixsoon-soondy-centella-asiatica-essence?variant=40627089309765
8809525930531,18.90,Default Title,https://sokoglam.com/products/im-from-rice-serum-30ml?variant=39324148269125
8809447251936,12.60,Default Title,https://sokoglam.com/products/dr-althea-oasis-soothing-mask?variant=39245869023301
8809566990440,19.60,Default Title,https://sokoglam.com/products/benton-snail-bee-ultimate-hydrogel-eye-patch?variant=19686149652549
8809820698174,12.59,Default Title,https://sokoglam.com/products/etude-sunprise-mild-airy-finish-sun-milk?variant=42156261048389
8809864762299,3.50,Default Title,https://sokoglam.com/products/collagen-gel-mask-jericho-rose-jelly?variant=42491304640581
8809653240700,23.80,Default Title,https://sokoglam.com/products/surmedic-perfection-100tm-all-in-one-facial-eyecream?variant=39403284267077
8809525930548,21.00,Default Title,https://sokoglam.com/products/im-from-rice-cream-50g?variant=39324148465733
8809495681709,21.00,Default Title,https://sokoglam.com/products/safe-me-relief-essence-toner?variant=42397837164613
8809653236956,22.40,Default Title,https://sokoglam.com/products/plodica-water-bag-barrier-cream?variant=40513249935429
8809268158445,22.40,Default Title,https://sokoglam.com/products/mixsoon-bifida-ferment-essence?variant=41125311774789
8809653236666,22.40,Default Title,https://sokoglam.com/products/hanskin-seven-layer-ceramide-cream?variant=39745014595653
8809595050603,24.50,Default Title,https://sokoglam.com/products/im-from-mugwort-mask-110g?variant=39324157411397
8809083997083,19.60,Default Title,https://sokoglam.com/products/sioris-cleanse-me-softly-milk-cleanser?variant=39320897454149
8809730950560,17.50,Default Title,https://sokoglam.com/products/manyo-factory-bifida-biome-aqua-barrier-cream?variant=40513213366341
868893990090,11.20,Organic Cotton Pad,https://sokoglam.com/products/soko-glam-the-sustainable-cleansing-pad-set?variant=39312216916037
818416022192,15.40,Ember,https://sokoglam.com/products/em-cosmetics-lip-mage-tinted-serum?variant=42206585290821
8809181938049,8.40,Default Title,https://sokoglam.com/products/lador-acv-vinegar-shampoo?variant=39599416311877
8809634850072,21.70,Default Title,https://sokoglam.com/products/juice-to-cleanse-grain-water-cleansing-oil?variant=39403289444421
8809810560450,15.40,Yuzu,https://sokoglam.com/products/glowiest-sweet-dreams-berry-lip-mask?variant=39713815068741
8809836580036,20.00,003 Stranger,https://sokoglam.com/products/muzigae-mansion-objet-liquid?variant=40919491182661
818416021980,19.60,Venetian Rose,https://sokoglam.com/products/em-cosmetics-color-drops-serum-blush-shade?variant=40683253268549
810045751597,26.60,Petal Pink,https://sokoglam.com/products/on-the-glow-blush-and-illuminator-bare?variant=42202776633413
8809810560580,16.80,Crush,https://sokoglam.com/products/glowiest-effortless-glow-lip-oil?variant=40559453732933
8809680142459,14.00,DEW ROSE,https://sokoglam.com/products/dew-balm?variant=40623772991557
868893990089,16.00,Bamboo Charcoal + Organic Cotton Pad,https://sokoglam.com/products/soko-glam-the-sustainable-cleansing-pad-set?variant=39312216883269
818416022178,15.40,Mirage,https://sokoglam.com/products/em-cosmetics-lip-mage-tinted-serum?variant=42206585323589
8809810560429,15.40,Berry,https://sokoglam.com/products/glowiest-sweet-dreams-berry-lip-mask?variant=41986373845061
8809836580050,20.00,005 Stunning,https://sokoglam.com/products/muzigae-mansion-objet-liquid?variant=40919491215429
818416021997,19.60,Little Lilac,https://sokoglam.com/products/em-cosmetics-color-drops-serum-blush-shade?variant=40683253301317
8809810560610,16.80,Berry,https://sokoglam.com/products/glowiest-effortless-glow-lip-oil?variant=40559453765701
8809680142404,14.00,BOKSOONGA BALM,https://sokoglam.com/products/dew-balm?variant=40623773024325
818416022185,15.40,Enigma,https://sokoglam.com/products/em-cosmetics-lip-mage-tinted-serum?variant=42206585356357
8809836580395,16.80,019 Lavish,https://sokoglam.com/products/muzigae-mansion-objet-liquid?variant=40919500554309
8809083997106,23.80,Default Title,https://sokoglam.com/products/sioris-deep-in-a-barrier-cream?variant=39320898601029
8809460210958,14.70,Default Title,https://sokoglam.com/products/flex-gentle-brush?variant=39646491705413
8809982980087,5.81,Default Title,https://sokoglam.com/products/lador-dermatical-shampoo-brush?variant=40586920427589
8809690862361,21.00,Default Title,https://sokoglam.com/products/beauty-water-mist?variant=40679631192133
8809789633162,23.31,Default Title,https://sokoglam.com/products/lador-perfumed-hair-oil-hinoki?variant=40601015812165
8809668022391,7.28,Default Title,https://sokoglam.com/products/etude-house-soonjung-lip-eye-remover-100ml?variant=31848059535429
8809672282583,3.50,Default Title,https://sokoglam.com/products/lea132583?variant=41893076795461
8809541377204,24.80,Default Title,https://sokoglam.com/products/inward-yulmu-brightening-spot-cream?variant=40900609376325
8809634610294,25.00,Default Title,https://sokoglam.com/products/axis-y-ay-me-biome-comforting-infused-toner?variant=40807244464197
8809603904423,20.24,Default Title,https://sokoglam.com/products/serumkind-black-blossom-drop?variant=40628284620869
8809517461920,20.30,Default Title,https://sokoglam.com/products/nacific-pink-aha-bha-serum?variant=39259012825157
8809733480026,15.75,Default Title,https://sokoglam.com/products/dr-orga-argan-sunflower-treatment-pack?variant=40628283375685
8809566990464,13.30,Default Title,https://sokoglam.com/products/benton-aloe-hyaluron-cream?variant=19688722202693
8809448639948,15.40,Default Title,https://sokoglam.com/products/hanskin-pore-cleansing-balm-pha?variant=19368405925957
8809348503998,23.10,Default Title,https://sokoglam.com/products/rovectin-lha-blemish-ampoule?variant=32057823264837
8809145479328,16.73,Default Title,https://sokoglam.com/products/the-plant-base-time-stop-peptide-eye-cream?variant=39410879561797
8809733480293,19.25,Default Title,https://sokoglam.com/products/dr-orga-pure-tamanu-light-oil?variant=40628283441221
855540008302,22.40,Default Title,https://sokoglam.com/products/compd-aha-super-serum?variant=40642013069381
855540008081,13.30,Default Title,https://sokoglam.com/products/good-days-for-all-prime-time-refining-toner-essence?variant=31722650730565
8809657114700,24.50,Default Title,https://sokoglam.com/products/manyo-factory-bifida-biome-complex-ampoule?variant=39459782557765
8809527672996,16.80,Default Title,https://sokoglam.com/products/son-reve-hydrating-facial-emulsion?variant=40524618072133
8809653237328,17.50,Default Title,https://sokoglam.com/products/plodica-good-to-refreshing-cleansing-oil?variant=41624625512517
8809668022957,4.90,03 Orange Ade,https://sokoglam.com/products/etude-dear-darling-water-tint?variant=41624625020997
8809454983172,16.80,Default Title,https://sokoglam.com/products/thank-you-farmer-sun-project-soothing-sun-lotion-spf-30-broad-spectrum?variant=42172009349189
8809647393276,16.69,Default Title,https://sokoglam.com/products/some-by-mi-v10-hyal-airfit-sun-screen?variant=40665815154757
8809566991836,18.90,Default Title,https://sokoglam.com/products/benton-snail-bee-ultimate-serum?variant=12224535363692
8809733480637,13.42,Default Title,https://sokoglam.com/products/dr-orga-jojoba-tea-tree-shampoo?variant=40628283310149
8809525932412,23.80,Default Title,https://sokoglam.com/products/im-from-silky-body-lotion-supul?variant=40665780256837
8809187048544,20.30,Default Title,https://sokoglam.com/products/im-from-ginseng-serum-30ml?variant=39323965620293
8809668022940,4.90,02 Cherry Ade,https://sokoglam.com/products/etude-dear-darling-water-tint?variant=41624624988229
8809395252580,33.60,Default Title,https://sokoglam.com/products/vitabrid-c12-daily-c-balancing-cleansing-balm?variant=40899346366533
8809653247389,2.80,Single,https://sokoglam.com/products/neogen-dermalogy-real-heartleaf-soothing-mask?variant=40559457140805
8809647770671,17.49,Default Title,https://sokoglam.com/products/unleashia-glitterpedia-eye-palette-no3-all-of-coral-pink?variant=40643744137285
8809820688618,14.00,Default Title,https://sokoglam.com/products/etude-house-soonjung-2x-barrier-intensive-cream?variant=43554871369
8809730954711,24.50,Default Title,https://sokoglam.com/products/manyo-factory-v-collagen-heart-fit-ampoule?variant=40513207304261
8809911692371,17.50,Default Title,https://sokoglam.com/products/real-barrier-extreme-pathenol-toner-pad-80-pads?variant=41624621875269
8809647771203,10.49,Default Title,https://sokoglam.com/products/unleashia-mood-shower-eye-palette-no-2-rose-shower?variant=40900661116997
8809668022933,4.90,01 Strawberry Ade,https://sokoglam.com/products/etude-dear-darling-water-tint?variant=41624624955461
8809789633148,23.31,Default Title,https://sokoglam.com/products/products-lador-perfumed-hair-oil-la-pitta?variant=40601016205381
8809663572617,17.50,Default Title,https://sokoglam.com/products/chasin-rabbits-magic-beauty-shroom?variant=32078312603717
8809723785940,17.50,Default Title,https://sokoglam.com/products/atopalm-maternity-care-relaxing-leg-cream?variant=40586919641157
8809733480279,26.60,Default Title,https://sokoglam.com/products/pure-jojoba-oil?variant=40628283932741
8809780881258,15.40,Default Title,https://sokoglam.com/products/the-lab-by-blanc-doux-oligo-hyaluronic-acid-deep-toner?variant=41125230608453
8809653248119,9.50,5 Pack,https://sokoglam.com/products/neogen-dermalogy-real-heartleaf-soothing-mask?variant=40559457108037
8809690862200,147.20,Default Title,https://sokoglam.com/products/cellect-beauty-beam-rejuvenating-red?variant=40632430788677
8809560226521,15.40,Default Title,https://sokoglam.com/products/banila-co-clean-it-zero-resveratrol?variant=37452771593
8809624727353,18.90,Default Title,https://sokoglam.com/products/abib-heartleaf-essence-calming-pump?variant=41025160314949
8809093198128,24.50,Default Title,https://sokoglam.com/products/son-reve-pregnacare-therapy-oil?variant=40524618235973
8809800940767,15.54,Default Title,https://sokoglam.com/products/isntree-onion-newpair-sunscreen?variant=41125922242629
8809551730280,25.20,Default Title,https://sokoglam.com/products/inward-ferment-cica-cream?variant=40900613013573
8809820696644,13.79,Default Title,https://sokoglam.com/products/etude-sebum-soak-pore-primer?variant=40627988791365
8809048416079,16.80,Default Title,https://sokoglam.com/products/atopalm-top-to-toe-wash?variant=40586919510085
8809864762503,24.50,Default Title,https://sokoglam.com/products/abib-heartleaf-creme-calming-tube?variant=41025161723973
8806196309055,22.40,Default Title,https://sokoglam.com/products/lapcos-chagarest-essence-toner?variant=40559455371333
8809422534184,25.20,Default Title,https://sokoglam.com/products/huxley-body-wash-moroccan-gardener?variant=40703648759877
8809551730327,25.20,Default Title,https://sokoglam.com/products/inward-ferment-cica-serum?variant=40900616847429
8809606850505,23.20,Default Title,https://sokoglam.com/products/celimax-dual-barrier-skin-wearable-cream?variant=41406631739461
8809690862194,147.20,Default Title,https://sokoglam.com/products/cellect-beauty-beam-anti-breakout-blue?variant=40632430329925
8809810562690,16.80,Cherry Lip Oil Mask,https://sokoglam.com/products/glowiest-sweet-dreams-lip-oil-mask?variant=42491501084741
8809810562720,16.80,Yuzu Lip Oil Mask,https://sokoglam.com/products/glowiest-sweet-dreams-lip-oil-mask?variant=42491501150277
8809810562706,16.80,Peach Lip Oil Mask,https://sokoglam.com/products/glowiest-sweet-dreams-lip-oil-mask?variant=42491501117509
8809990126842,15.40,Default Title,https://sokoglam.com/products/ginger6-energizing-pepti-cream?variant=40900652630085
8809911692463,23.80,Default Title,https://sokoglam.com/products/real-barrier-extreme-cream-light?variant=41624618696773
8809566992505,21.00,Default Title,https://sokoglam.com/products/benton-guave-70-face-mask-pad?variant=41125972181061
8809186779104,26.60,Default Title,https://sokoglam.com/products/sioris-all-your-love-body-cream?variant=40627988365381
8809647770930,6.99,No2. Kraft Brown,https://sokoglam.com/products/unleashia-shaper-defining-eyebrow-pencil?variant=40643753476165
8809647770947,6.99,No3. Taupe Grey,https://sokoglam.com/products/unleashia-shaper-defining-eyebrow-pencil?variant=40643753508933
8809292443197,22.40,Default Title,https://sokoglam.com/products/abib-jericho-rose-bifida-serum-firming-drop?variant=41025162084421
8809093198111,16.80,Default Title,https://sokoglam.com/products/son-reve-pregnacare-massage-cream?variant=40524618170437
8809789633186,23.31,Default Title,https://sokoglam.com/products/lador-perfumed-hair-oil-osmanthus?variant=40601015910469
8809048412576,22.40,Default Title,https://sokoglam.com/products/atopalm-mle-lotion?variant=40586919444549
8809810562492,16.80,Nude Mauve,https://sokoglam.com/products/glowiest-dream-glow-tinted-lip-oil?variant=41624615813189
8809460211061,14.40,Default Title,https://sokoglam.com/products/british-m-scalp-massage-brush?variant=40586919739461
8809810562485,16.80,Rosewood,https://sokoglam.com/products/glowiest-dream-glow-tinted-lip-oil?variant=41624615878725
8809810562508,16.80,Dusty Rose,https://sokoglam.com/products/glowiest-dream-glow-tinted-lip-oil?variant=41624615845957
8809634610539,18.00,Default Title,https://sokoglam.com/products/axis-y-lha-peel-fill-pore-balance-cream?variant=40807242760261
8809647770664,17.49,Default Title,https://sokoglam.com/products/glitterpedia-eye-palette-no2-all-of-brown?variant=40643737485381
8809554845080,21.00,Default Title,https://sokoglam.com/products/atopalm-maternity-care-stretch-mark-cream?variant=40586919608389
8809782554426,52.50,Default Title,https://sokoglam.com/products/dalba-white-truffle-double-serum-cream?variant=40559452127301
8809723781591,17.50,Default Title,https://sokoglam.com/products/telse-kombucha-hydro-glow-ampoule?variant=40900643946565
8809463992615,16.80,Default Title,https://sokoglam.com/products/celimax-ji-woo-gae-heartleaf-bha-peeling-pad?variant=41121083916357
8809634610683,18.00,Default Title,https://sokoglam.com/products/axis-y-panthenol-10-skin-smoothing-shield-cream?variant=41125901467717
8809663574840,11.90,Default Title,https://sokoglam.com/products/its-skin-power-10-formula-ad-pore-lupin?variant=40592712826949
8809680144767,11.90,01 BOKSOONGA,https://sokoglam.com/products/amuse-lip-smudger?variant=40900631920709
8809680144798,11.90,04 HIPPIE GIRL,https://sokoglam.com/products/amuse-lip-smudger?variant=40900631953477
8809680144774,11.90,02 ROSE,https://sokoglam.com/products/amuse-lip-smudger?variant=40900631986245
8809607360058,16.80,Default Title,https://sokoglam.com/products/dr-dahruem-barrier-cream?variant=40900636442693
8809836580210,16.80,01 Vague,https://sokoglam.com/products/muzigae-mansion-icy-glow?variant=40919516741701
8809836580227,16.80,02 Untold,https://sokoglam.com/products/muzigae-mansion-icy-glow?variant=40919516971077
8809836580258,16.80,05 Tempting,https://sokoglam.com/products/muzigae-mansion-icy-glow?variant=40919518609477
8809525931743,23.80,Default Title,https://sokoglam.com/products/im-from-body-hand-lotion-nyeok?variant=40665777176645
8809738603406,24.50,Default Title,https://sokoglam.com/products/abib-jericho-rose-creme-nutrition-tube?variant=41025162379333
8809647770657,17.49,Default Title,https://sokoglam.com/products/unleashia-glitterpedia-eye-palette-no1-all-of-glitter?variant=40643736633413
810045751702,20.80,Default Title,https://sokoglam.com/products/unlashed-volume-and-curl-mascara?variant=40609389314117
8809454982342,28.00,Default Title,https://sokoglam.com/products/thank-you-farmer-miracle-age-melawring-dual-balm?variant=40559457337413
8809647393214,19.64,Default Title,https://sokoglam.com/products/some-by-mi-beta-panthenol-repair-serum?variant=40665796575301
8809653237922,16.10,Default Title,https://sokoglam.com/products/plodica-welcome-to-water-village-kit?variant=40513273757765
