UPC,Price,Variant,Source Link
0193318948369,209.29999999999998,XS / Noir,https://www.solidandstriped.com/products/the-seleta-dress-noir?variant=40547361390705
0193318948376,209.29999999999998,S / Noir,https://www.solidandstriped.com/products/the-seleta-dress-noir?variant=40547361423473
0193318948383,209.29999999999998,M / Noir,https://www.solidandstriped.com/products/the-seleta-dress-noir?variant=40547361456241
0193318948390,209.29999999999998,L / Noir,https://www.solidandstriped.com/products/the-seleta-dress-noir?variant=40547361489009
0193318948406,209.29999999999998,XL / Noir,https://www.solidandstriped.com/products/the-seleta-dress-noir?variant=40547361521777
0193318622054,53.9,XS / Noir,https://www.solidandstriped.com/products/maayan-top-noir?variant=42266627014769
0193318966370,489.29999999999995,XS / Camel,https://www.solidandstriped.com/products/the-warren-coat-in-camel?variant=41048340693105
0193318966424,146.29999999999998,XS / Camel,https://www.solidandstriped.com/products/the-miriam-vest-in-camel?variant=41048340889713
0193318966271,268.79999999999995,XS / Stone,https://www.solidandstriped.com/products/the-warren-blazer-in-stone?variant=41048340332657
0193318966479,180.6,XS / Mist,https://www.solidandstriped.com/products/the-julianna-sweater-in-mist?variant=41048341053553
0193318622061,53.9,S / Noir,https://www.solidandstriped.com/products/maayan-top-noir?variant=42266627047537
0193318920730,23.799999999999997,XS / Hot Coral,https://www.solidandstriped.com/products/the-elle-ribbed-top-hot-coral?variant=40256311984241
0193318917204,69.3,XS / Blackout,https://www.solidandstriped.com/products/the-sylvie-top-blackout?variant=40235389616241
0193318966387,489.29999999999995,S / Camel,https://www.solidandstriped.com/products/the-warren-coat-in-camel?variant=41048340725873
0193318965571,161.0,XS / Stone,https://www.solidandstriped.com/products/the-mini-bonnie-skirt-in-stone?variant=41048338104433
0193318922130,23.799999999999997,XS / Sorbet Stripe,https://www.solidandstriped.com/products/the-rachel-ribbed-bottom-sorbet-stripe?variant=40256316637297
0193318961023,27.299999999999997,XS / Pink Multi Stripe,https://www.solidandstriped.com/products/the-lilo-ribbed-bikini-bottom-pink-multi-stripe?variant=40699275051121
0193318922062,23.799999999999997,XS / Hot Pink,https://www.solidandstriped.com/products/the-rachel-ribbed-bottom-hot-pink?variant=40256316407921
0193318621989,53.9,XS / Optic White,https://www.solidandstriped.com/products/maayan-top-optic-white?variant=42266627113073
0193318624157,69.3,XS / Noir,https://www.solidandstriped.com/products/greta-top-noir?variant=42266626457713
0193318924073,67.89999999999999,XS / Hot Coral,https://www.solidandstriped.com/products/the-eyelet-charlie-short-hot-coral?variant=40256323321969
0193318928422,159.6,XS / Noir,https://www.solidandstriped.com/products/the-kai-dress-blackout?variant=40261801803889
0193318947645,62.3,XS / Ecru,https://www.solidandstriped.com/products/the-ronit-long-sleeve-top-ecru?variant=40547359588465
0193318625277,76.3,XS / Brule,https://www.solidandstriped.com/products/the-nicki-dress-brule?variant=41403189330033
0193318923236,67.89999999999999,XS / Hot Coral,https://www.solidandstriped.com/products/the-eyelet-cropped-cabana-shirt-hot-coral?variant=40256320438385
0193318921577,53.9,XS / Chartreuse,https://www.solidandstriped.com/products/the-anne-marie-ribbed-chartreuse?variant=40256314867825
0193318966325,293.29999999999995,XS / Camel,https://www.solidandstriped.com/products/the-warren-blazer-in-camel?variant=41048340529265
0193318953011,32.9,XS / Tangerine,https://www.solidandstriped.com/products/the-jaya-one-piece-tangerine?variant=40547372433521
0193318957804,208.6,XS / French Navy,https://www.solidandstriped.com/products/the-strapless-soglio-dress-french-navy?variant=40699264991345
0193318945924,244.29999999999998,XS / Ecru,https://www.solidandstriped.com/products/the-lowell-cashmere-sweater-ecru?variant=40547355263089
0193318933761,51.8,XS / Tangerine,https://www.solidandstriped.com/products/the-zoya-one-piece-tangerine?variant=40547371286641
0193318933266,22.4,XS / Tangerine,https://www.solidandstriped.com/products/the-ilona-bikini-bottom-tangerine?variant=40547372105841
0193318966523,146.29999999999998,XS / Magenta,https://www.solidandstriped.com/products/the-carmella-sweater-vest-in-magenta?variant=41048341217393
0193318937363,35.0,XS / Marina Blue Stripe,https://www.solidandstriped.com/products/the-charlie-short-marina-blue?variant=40419582345329
0193318938537,69.3,XS / Marina Blue Stripe,https://www.solidandstriped.com/products/the-kimberly-mini-dress-marina-blue-stripe?variant=40419581198449
0193318952861,22.4,XS / Tangerine,https://www.solidandstriped.com/products/the-ilona-bikini-top-tangerine?variant=40547371614321
0193318939435,37.099999999999994,XS / Marina Blue Stripe,https://www.solidandstriped.com/products/the-naomi-top-marina-blue-stripe?variant=40419579560049
0193318925025,22.4,XS / Sage,https://www.solidandstriped.com/products/the-iris-ring-bikini-bottom-sage?variant=40261795512433
0193318623594,66.5,XS / Noir,https://www.solidandstriped.com/products/nancy-short-baby-eyelet-noir?variant=42266627768433
0193318966431,146.29999999999998,S / Camel,https://www.solidandstriped.com/products/the-miriam-vest-in-camel?variant=41048340922481
0193318960873,23.799999999999997,XS / Marina Blue,https://www.solidandstriped.com/products/the-lilo-ribbed-bikini-top-marina-blue?variant=40699274559601
0193318961122,26.599999999999998,XS / Powder Blue,https://www.solidandstriped.com/products/the-daphne-eyelet-bikini-bottom-powder-blue?variant=40699275378801
0193318966288,268.79999999999995,S / Stone,https://www.solidandstriped.com/products/the-warren-blazer-in-stone?variant=41048340365425
0193318961078,26.599999999999998,XS / Powder Blue,https://www.solidandstriped.com/products/the-daphne-eyelet-bikini-top-powder-blue?variant=40699275214961
0193318922819,23.799999999999997,XS / Sorbet Stripe,https://www.solidandstriped.com/products/the-lilo-ribbed-bottom-sorbet-stripe?variant=40256319258737
0193318920662,23.799999999999997,XS / Chartreuse,https://www.solidandstriped.com/products/the-elle-ribbed-top-chartreuse?variant=40256311754865
0193318920945,23.799999999999997,XS / Hot Coral,https://www.solidandstriped.com/products/the-elle-ribbed-bottom-hot-coral?variant=40256312639601
0193318946372,47.599999999999994,XS / Ecru,https://www.solidandstriped.com/products/the-ronit-sleeveless-top-ecru?variant=40547356049521
0193318920877,23.799999999999997,XS / Chartreuse,https://www.solidandstriped.com/products/the-elle-ribbed-bottom-chartreuse?variant=40256312377457
0193318960057,20.299999999999997,XS / Lava,https://www.solidandstriped.com/products/the-annie-bikini-bottom-lava?variant=40699272429681
0193318946525,68.6,XS / Ecru,https://www.solidandstriped.com/products/the-varena-tank-ecru?variant=40547356541041
0193318947447,30.799999999999997,XS / Ecru,https://www.solidandstriped.com/products/the-milly-top-ecru?variant=40547358933105
0193318956203,30.799999999999997,XS / Lava,https://www.solidandstriped.com/products/the-milly-top-lava?variant=40699260338289
0193318925377,24.5,XS / Sage,https://www.solidandstriped.com/products/the-maia-bikini-bottom-sage?variant=40261795840113
0193318956302,30.799999999999997,XS / Powder Blue,https://www.solidandstriped.com/products/the-milly-top-powder-blue?variant=40699260665969
0193318966486,180.6,S / Mist,https://www.solidandstriped.com/products/the-julianna-sweater-in-mist?variant=41048341086321
,53.9,M / Noir,https://www.solidandstriped.com/products/maayan-top-noir?variant=42266634322033
0193318920747,23.799999999999997,S / Hot Coral,https://www.solidandstriped.com/products/the-elle-ribbed-top-hot-coral?variant=40256312017009
0193318917211,69.3,S / Blackout,https://www.solidandstriped.com/products/the-sylvie-top-blackout?variant=40235389649009
0193318966394,489.29999999999995,M / Camel,https://www.solidandstriped.com/products/the-warren-coat-in-camel?variant=41048340758641
