UPC,Price,Variant,Source Link
,358,black,https://www.sonos.com/en-us/shop/two-room-set-era-100-black
,358,white,https://www.sonos.com/en-us/shop/two-room-set-era-100-white
,598,black,https://www.sonos.com/en-us/shop/sonos-ace-pair-black
,598,soft-white,https://www.sonos.com/en-us/shop/sonos-ace-pair-white
,598,black-and-soft-white,https://www.sonos.com/en-us/shop/sonos-ace-pair-black-white
,338,black,https://www.sonos.com/en-us/shop/2-room-set-ray-roam-2-black
,338,white,https://www.sonos.com/en-us/shop/2-room-set-ray-roam-2-white
,1348,black,https://www.sonos.com/en-us/shop/multiroom-entertainment-set-arc-ultra-move-2-black
,1348,white,https://www.sonos.com/en-us/shop/multiroom-entertainment-set-arc-ultra-move-2-white
,798,black,https://www.sonos.com/en-us/shop/personal-entertainment-set-sonos-ace-beam-black
,798,white,https://www.sonos.com/en-us/shop/personal-entertainment-set-sonos-ace-beam-white
,557,black,https://www.sonos.com/en-us/shop/surround-set-ray-era-100-pair-black
,557,white,https://www.sonos.com/en-us/shop/surround-set-ray-era-100-pair-white
8720862502680,139,black,https://www.sonos.com/en-us/shop/roam-2-black
8720862502673,139,white,https://www.sonos.com/en-us/shop/roam-2-white
8720862502710,139,sunset,https://www.sonos.com/en-us/shop/roam-2-sunset
8720862502703,139,wave,https://www.sonos.com/en-us/shop/roam-2-wave
8720862502697,139,olive,https://www.sonos.com/en-us/shop/roam-2-olive
,528,black,https://www.sonos.com/en-us/shop/indoor-outdoor-set-era-100-move-2-black
,528,white,https://www.sonos.com/en-us/shop/indoor-outdoor-set-era-100-move-2-white
840136805830,179,black,https://www.sonos.com/en-us/shop/era-100-black
840136805823,179,white,https://www.sonos.com/en-us/shop/era-100-white
8720862501485,349,black,https://www.sonos.com/en-us/shop/move-2-black
8720862501478,349,white,https://www.sonos.com/en-us/shop/move-2-white
8720862501492,349,olive,https://www.sonos.com/en-us/shop/move-2-olive
,278,black,https://www.sonos.com/en-us/shop/adventure-set-roam-2-black
,278,white,https://www.sonos.com/en-us/shop/adventure-set-roam-2-white
,278,sunset,https://www.sonos.com/en-us/shop/adventure-set-roam-2-sunset
,278,wave,https://www.sonos.com/en-us/shop/adventure-set-roam-2-wave
,278,olive,https://www.sonos.com/en-us/shop/adventure-set-roam-2-olive
,498,black,https://www.sonos.com/en-us/shop/personal-entertainment-set-sonos-ace-ray-black
,498,white,https://www.sonos.com/en-us/shop/personal-entertainment-set-sonos-ace-ray-white
,188,black,https://www.sonos.com/en-us/shop/roam-2-charging-set-black
,188,white,https://www.sonos.com/en-us/shop/roam-2-charging-set-white
,188,sunset,https://www.sonos.com/en-us/shop/roam-2-charging-set-sunset
,188,wave,https://www.sonos.com/en-us/shop/roam-2-charging-set-wave
,188,olive,https://www.sonos.com/en-us/shop/roam-2-charging-set-olive
,139,shadow-black,https://www.sonos.com/en-us/shop/rugged-adventure-set-roam-2-otterbox-case-black
,139,lunar-white,https://www.sonos.com/en-us/shop/rugged-adventure-set-roam-2-otterbox-case-white
,488,black,https://www.sonos.com/en-us/shop/portable-set-move-2-roam-2-black
,488,white,https://www.sonos.com/en-us/shop/portable-set-move-2-roam-2-white
,488,olive,https://www.sonos.com/en-us/shop/portable-set-move-2-roam-2-olive
,1298,black,https://www.sonos.com/en-us/shop/personal-entertainment-set-sonos-ace-arc-ultra-black
,1298,white,https://www.sonos.com/en-us/shop/personal-entertainment-set-sonos-ace-arc-ultra-white
,299,black,https://www.sonos.com/en-us/shop/sonos-ace-black
,299,soft-white,https://www.sonos.com/en-us/shop/sonos-ace-white
