UPC,Price,Variant,Source Link
0198429051526,177.00,ESPRESSO,https://staud.clothing/collections/sale/products/the-dude-shoulder-bag-espresso?variant=43999964332205
0198429035144,73.00,BLACK / XS,https://staud.clothing/collections/sale/products/palladium-top-black?variant=43803957985453
0198429035151,73.00,BLACK / S,https://staud.clothing/collections/sale/products/palladium-top-black?variant=43803958018221
0198429051632,347.00,NATURAL FRINGE,https://staud.clothing/collections/sale/products/large-raffia-moon-tote-bag-natural-fringe?variant=43999964627117
0198429026784,138.00,IVORY NAVY / XS,https://staud.clothing/collections/sale/products/wentworth-dress-ivory-navy?variant=43803944419501
0198429035168,73.00,BLACK / M,https://staud.clothing/collections/sale/products/palladium-top-black?variant=43803958050989
0198429036646,198.00,WOODLAND / 00,https://staud.clothing/collections/sale/products/odin-silk-skirt-woodland?variant=43803961426093
0198429097005,347.00,NATURAL TAN,https://staud.clothing/collections/sale/products/rue-tote-bag-natural-tan?variant=44283793211565
0198429023233,88.00,WOODLAND / XS,https://staud.clothing/collections/sale/products/durand-silk-cami-woodland?variant=43803938029741
0198429029181,298.00,BLACK / 00,https://staud.clothing/collections/sale/products/nile-dress-black?variant=43803949007021
0198429064342,238.00,ROSE GOLD / XS,https://staud.clothing/collections/sale/products/araya-dress-rose-gold?variant=43999988646061
0198429069446,298.00,MOSS FLORAL TAPESTRY / XS,https://staud.clothing/collections/sale/products/albee-dress-moss-floral-tapestry?variant=43999993659565
0198429018444,180.00,BLUE ROSE / 35,https://staud.clothing/collections/sale/products/stella-platform-sandal-blue-rose?variant=43803926724781
0198429028184,121.00,METALLIC GOLD / XS,https://staud.clothing/collections/sale/products/craftsman-sweater-dress-metallic-gold?variant=43803947040941
0198429024032,348.00,BLACK / 00,https://staud.clothing/collections/sale/products/tina-dress-black?variant=43803939668141
0840400282749,198.00,PINOT,https://staud.clothing/collections/sale/products/taru-bag-pinot?variant=43558389350573
0198429020256,248.00,BLACK / 35,https://staud.clothing/collections/sale/products/gardening-pump-black?variant=43803930689709
0198429073399,138.00,JUNGLE LEOPARD / XS,https://staud.clothing/collections/sale/products/cropped-hampton-sweater-jungle-leopard?variant=43999997657261
0198429087730,238.00,SLATE BLUE / XS,https://staud.clothing/collections/sale/products/milner-silk-slip-dress-slate-blue?variant=44000018301101
0198429034291,98.00,SKY MICRO CHECK / XS,https://staud.clothing/collections/sale/products/knack-pant-sky-micro-check?variant=43803957657773
0198429032822,79.00,METALLIC GOLD / XS,https://staud.clothing/collections/sale/products/craftsman-sweater-metallic-gold?variant=43803954479277
0198429000715,130.00,MERLOT / XS,https://staud.clothing/collections/sale/products/aura-sweater-merlot?variant=43558355697837
0198429026791,138.00,IVORY NAVY / S,https://staud.clothing/collections/sale/products/wentworth-dress-ivory-navy?variant=43803944452269
0840400295787,121.00,SPECKLE GREY / XS,https://staud.clothing/collections/sale/products/malachite-dress-speckle-grey?variant=43558407864493
0198429032525,180.00,IVORY NAVY / XS,https://staud.clothing/collections/sale/products/morrison-cardigan-ivory-navy?variant=43803953823917
0840400295633,198.00,BLACK / XS,https://staud.clothing/collections/sale/products/obsidian-dress-black?variant=43481949274285
0198429020409,248.00,WOODLAND / 35,https://staud.clothing/collections/sale/products/gardening-pump-woodland?variant=43803931181229
0198429035595,198.00,BLACK / XS,https://staud.clothing/collections/sale/products/hawthorne-skirt-black?variant=43803958640813
0198429014613,140.00,CREAM,https://staud.clothing/collections/sale/products/harlow-faux-fur-bag-cream?variant=43803918237869
0840400296586,98.00,DUSK DIP DYE / XS,https://staud.clothing/collections/sale/products/shoko-sweater-dusk-dip-dye?variant=43558410059949
0840400280639,138.00,SERGEANT GREEN / 00,https://staud.clothing/collections/sale/products/division-skirt-sergeant-green?variant=43558387482797
0198429014354,158.00,ESPRESSO,https://staud.clothing/collections/sale/products/romeo-bag-espresso?variant=43803917582509
0198429035175,73.00,BLACK / L,https://staud.clothing/collections/sale/products/palladium-top-black?variant=43803958083757
0198429006946,298.00,CORNFLOWER / 00,https://staud.clothing/collections/sale/products/casey-dress-cornflower?variant=43558369591469
0198429021925,148.00,WOODLAND / 00,https://staud.clothing/collections/sale/products/brunswick-silk-top-woodland?variant=43803936161965
0198429036653,198.00,WOODLAND / 0,https://staud.clothing/collections/sale/products/odin-silk-skirt-woodland?variant=43803961458861
0198429042777,110.00,NAVY / XS/S,https://staud.clothing/collections/sale/products/suzy-tunic-navy?variant=43803966439597
0198429049356,225.00,DARK OLIVE / XS,https://staud.clothing/collections/sale/products/dana-cashmere-dress-dark-olive?variant=43803973615789
0198429048885,225.00,HEATHER GREY / XS,https://staud.clothing/collections/sale/products/dana-cashmere-dress-heather-grey?variant=43803973288109
0840400296036,150.00,BLACK / XS,https://staud.clothing/collections/sale/products/domani-dress-black?variant=43558408519853
0198429016518,198.00,WOODLAND / 35,https://staud.clothing/collections/sale/products/keith-ballet-flat-woodland?variant=43803923185837
0840400297583,118.00,CAMEL / XS,https://staud.clothing/collections/sale/products/callum-dress-camel?variant=43558412189869
0840400250748,138.00,WHITE NAVY / 00,https://staud.clothing/collections/sale/products/rig-dress-white-navy?variant=42967853498541
0198429033546,173.00,IVORY / XS,https://staud.clothing/collections/sale/products/mick-cashmere-sweater-ivory?variant=43803956019373
0198429024780,198.00,METALLIC GOLD / XS,https://staud.clothing/collections/sale/products/raquel-dress-metallic-gold?variant=43803940323501
0198429033072,173.00,OATMEAL / XS,https://staud.clothing/collections/sale/products/wilson-sweater-oatmeal?variant=43803955134637
0198429023240,88.00,WOODLAND / S,https://staud.clothing/collections/sale/products/durand-silk-cami-woodland?variant=43803938062509
0198429029198,298.00,BLACK / 0,https://staud.clothing/collections/sale/products/nile-dress-black?variant=43803949039789
0198429064359,238.00,ROSE GOLD / S,https://staud.clothing/collections/sale/products/araya-dress-rose-gold?variant=43999988678829
0198429069453,298.00,MOSS FLORAL TAPESTRY / S,https://staud.clothing/collections/sale/products/albee-dress-moss-floral-tapestry?variant=43999993692333
0198429018451,180.00,BLUE ROSE / 36,https://staud.clothing/collections/sale/products/stella-platform-sandal-blue-rose?variant=43803926757549
0198429028191,121.00,METALLIC GOLD / S,https://staud.clothing/collections/sale/products/craftsman-sweater-dress-metallic-gold?variant=43803947073709
0198429024049,348.00,BLACK / 0,https://staud.clothing/collections/sale/products/tina-dress-black?variant=43803939700909
0840400271392,158.00,BLACK / 00,https://staud.clothing/collections/sale/products/midi-wayfaring-dress-black?variant=43558378569901
0198429020270,248.00,BLACK / 36,https://staud.clothing/collections/sale/products/gardening-pump-black?variant=43803930755245
0198429073405,138.00,JUNGLE LEOPARD / S,https://staud.clothing/collections/sale/products/cropped-hampton-sweater-jungle-leopard?variant=43999997690029
0198429087747,238.00,SLATE BLUE / S,https://staud.clothing/collections/sale/products/milner-silk-slip-dress-slate-blue?variant=44000018333869
0198429034307,98.00,SKY MICRO CHECK / S,https://staud.clothing/collections/sale/products/knack-pant-sky-micro-check?variant=43803957690541
0198429032839,79.00,METALLIC GOLD / S,https://staud.clothing/collections/sale/products/craftsman-sweater-metallic-gold?variant=43803954512045
0198429000722,130.00,MERLOT / S,https://staud.clothing/collections/sale/products/aura-sweater-merlot?variant=43558355730605
0198429026807,138.00,IVORY NAVY / M,https://staud.clothing/collections/sale/products/wentworth-dress-ivory-navy?variant=43803944485037
0840400295794,121.00,SPECKLE GREY / S,https://staud.clothing/collections/sale/products/malachite-dress-speckle-grey?variant=43558407897261
0198429032532,180.00,IVORY NAVY / S,https://staud.clothing/collections/sale/products/morrison-cardigan-ivory-navy?variant=43803953856685
0840400295640,198.00,BLACK / S,https://staud.clothing/collections/sale/products/obsidian-dress-black?variant=43481949307053
0198429020423,248.00,WOODLAND / 36,https://staud.clothing/collections/sale/products/gardening-pump-woodland?variant=43803931246765
0198429035601,198.00,BLACK / S,https://staud.clothing/collections/sale/products/hawthorne-skirt-black?variant=43803958673581
0840400296593,98.00,DUSK DIP DYE / S,https://staud.clothing/collections/sale/products/shoko-sweater-dusk-dip-dye?variant=43558410092717
0198429001361,78.00,HEATHER GREY / XS,https://staud.clothing/collections/sale/products/pascale-pencil-skirt-heather-grey?variant=43558357565613
0840400280646,138.00,SERGEANT GREEN / 0,https://staud.clothing/collections/sale/products/division-skirt-sergeant-green?variant=43558387515565
0198429035182,73.00,BLACK / XL,https://staud.clothing/collections/sale/products/palladium-top-black?variant=43803958116525
0198429006953,298.00,CORNFLOWER / 0,https://staud.clothing/collections/sale/products/casey-dress-cornflower?variant=43558369624237
0198429021932,148.00,WOODLAND / 0,https://staud.clothing/collections/sale/products/brunswick-silk-top-woodland?variant=43803936194733
0198429036660,198.00,WOODLAND / 2,https://staud.clothing/collections/sale/products/odin-silk-skirt-woodland?variant=43803961491629
0198429042784,110.00,NAVY / M/L,https://staud.clothing/collections/sale/products/suzy-tunic-navy?variant=43803966472365
0198429049363,225.00,DARK OLIVE / S,https://staud.clothing/collections/sale/products/dana-cashmere-dress-dark-olive?variant=43803973648557
0198429048892,225.00,HEATHER GREY / S,https://staud.clothing/collections/sale/products/dana-cashmere-dress-heather-grey?variant=43803973320877
0840400296043,150.00,BLACK / S,https://staud.clothing/collections/sale/products/domani-dress-black?variant=43558408552621
0198429016532,198.00,WOODLAND / 36,https://staud.clothing/collections/sale/products/keith-ballet-flat-woodland?variant=43803923251373
0840400297590,118.00,CAMEL / S,https://staud.clothing/collections/sale/products/callum-dress-camel?variant=43558412222637
0840400250755,138.00,WHITE NAVY / 0,https://staud.clothing/collections/sale/products/rig-dress-white-navy?variant=42967853531309
0198429033553,173.00,IVORY / S,https://staud.clothing/collections/sale/products/mick-cashmere-sweater-ivory?variant=43803956052141
0198429024797,198.00,METALLIC GOLD / S,https://staud.clothing/collections/sale/products/raquel-dress-metallic-gold?variant=43803940356269
0198429033089,173.00,OATMEAL / S,https://staud.clothing/collections/sale/products/wilson-sweater-oatmeal?variant=43803955167405
0198429023257,88.00,WOODLAND / M,https://staud.clothing/collections/sale/products/durand-silk-cami-woodland?variant=43803938095277
0198429029204,298.00,BLACK / 2,https://staud.clothing/collections/sale/products/nile-dress-black?variant=43803949072557
0198429064366,238.00,ROSE GOLD / M,https://staud.clothing/collections/sale/products/araya-dress-rose-gold?variant=43999988711597
0198429069460,298.00,MOSS FLORAL TAPESTRY / M,https://staud.clothing/collections/sale/products/albee-dress-moss-floral-tapestry?variant=43999993725101
0198429018468,180.00,BLUE ROSE / 37,https://staud.clothing/collections/sale/products/stella-platform-sandal-blue-rose?variant=43803926790317
0198429023738,298.00,BLACK / 00,https://staud.clothing/collections/sale/products/beaton-dress-black?variant=43803938685101
0198429028207,121.00,METALLIC GOLD / M,https://staud.clothing/collections/sale/products/craftsman-sweater-dress-metallic-gold?variant=43803947106477
0198429024056,348.00,BLACK / 2,https://staud.clothing/collections/sale/products/tina-dress-black?variant=43803939733677
0840400271408,158.00,BLACK / 0,https://staud.clothing/collections/sale/products/midi-wayfaring-dress-black?variant=43558378602669
0198429020287,248.00,BLACK / 36.5,https://staud.clothing/collections/sale/products/gardening-pump-black?variant=43803930788013
0198429073412,138.00,JUNGLE LEOPARD / M,https://staud.clothing/collections/sale/products/cropped-hampton-sweater-jungle-leopard?variant=43999997722797
0198429087754,238.00,SLATE BLUE / M,https://staud.clothing/collections/sale/products/milner-silk-slip-dress-slate-blue?variant=44000018366637
0198429034314,98.00,SKY MICRO CHECK / M,https://staud.clothing/collections/sale/products/knack-pant-sky-micro-check?variant=43803957723309
0198429006540,180.00,AZURE / 00,https://staud.clothing/collections/sale/products/midi-wayfaring-dress-azure?variant=43321274925229
0198429032846,79.00,METALLIC GOLD / M,https://staud.clothing/collections/sale/products/craftsman-sweater-metallic-gold?variant=43803954544813
0198429000739,130.00,MERLOT / M,https://staud.clothing/collections/sale/products/aura-sweater-merlot?variant=43558355763373
0198429026814,138.00,IVORY NAVY / L,https://staud.clothing/collections/sale/products/wentworth-dress-ivory-navy?variant=43803944517805
0840400295800,121.00,SPECKLE GREY / M,https://staud.clothing/collections/sale/products/malachite-dress-speckle-grey?variant=43558407930029
0198429032549,180.00,IVORY NAVY / M,https://staud.clothing/collections/sale/products/morrison-cardigan-ivory-navy?variant=43803953889453
0840400295657,198.00,BLACK / M,https://staud.clothing/collections/sale/products/obsidian-dress-black?variant=43481949339821
0198429020430,248.00,WOODLAND / 36.5,https://staud.clothing/collections/sale/products/gardening-pump-woodland?variant=43803931279533
