UPC,Price,Variant,Source Link
196926080858,119.20,Sediment / Small,https://www.stio.com/products/mens-opr-shirt-ls?variant=46038330310830
196926080865,119.20,Sediment / Medium,https://www.stio.com/products/mens-opr-shirt-ls?variant=46038330343598
196926080872,119.20,Sediment / Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=46038330376366
196926080889,119.20,Sediment / Extra Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=46038330409134
196926080896,119.20,Sediment / Extra Extra Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=46038330441902
196926208597,119.20,Raven / Small,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650245806
196926208603,119.20,Raven / Medium,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650278574
196926208610,119.20,Raven / Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650311342
196926208627,119.20,Raven / Extra Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650344110
196926197990,39.50,"Pebble / Small / 5""",https://www.stio.com/products/mens-vallis-lined-short-5?variant=45980752806062
196926183498,109.25,Larkspur Blue Plaid / Extra Small,https://www.stio.com/products/mens-eddy-shirt-ss?variant=45980737306798
196926208634,119.20,Raven / Extra Extra Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650376878
196926208641,119.20,Stormy Weather / Small,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650409646
196926208658,119.20,Stormy Weather / Medium,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650442414
196926208665,119.20,Stormy Weather / Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650475182
196926186031,62.30,Boundless / Small,https://www.stio.com/products/mens-alpin-lightweight-merino-tee-ss?variant=45981486874798
196926198003,39.50,"Pebble / Medium / 5""",https://www.stio.com/products/mens-vallis-lined-short-5?variant=45980752838830
196926183504,109.25,Larkspur Blue Plaid / Small,https://www.stio.com/products/mens-eddy-shirt-ss?variant=45980737339566
196926208672,119.20,Stormy Weather / Extra Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650507950
196926186048,62.30,Boundless / Medium,https://www.stio.com/products/mens-alpin-lightweight-merino-tee-ss?variant=45981486907566
196926198010,39.50,"Pebble / Large / 5""",https://www.stio.com/products/mens-vallis-lined-short-5?variant=45980752871598
196926178821,92.00,Chicory Flower Plaid / Small,https://www.stio.com/products/mens-eddy-coast-shirt-ss?variant=45981681254574
196926178753,103.20,Sage Flats Plaid / Small,https://www.stio.com/products/mens-eddy-coast-shirt-ls?variant=45981678272686
196926208757,111.30,"Abyss / Small / 11""",https://www.stio.com/products/mens-stio-team-bibs?variant=45985877262510
196926192605,41.40,"Mountain Shadow / Small / 5""",https://www.stio.com/products/mens-second-light-short-5?variant=45985580286126
196926183511,109.25,Larkspur Blue Plaid / Medium,https://www.stio.com/products/mens-eddy-shirt-ss?variant=45980737372334
196926090604,33.00,Mountain Shadow Heather / Small,https://www.stio.com/products/mens-crester-tee-ss?variant=46045962928302
196926207972,170.05,Raven / 30 / Regular,https://www.stio.com/products/mens-opr-pant?variant=45985649098926
196926208689,119.20,Stormy Weather / Extra Extra Large,https://www.stio.com/products/mens-opr-shirt-ls?variant=45985650540718
196926186055,62.30,Boundless / Large,https://www.stio.com/products/mens-alpin-lightweight-merino-tee-ss?variant=45981486940334
196926198027,39.50,"Pebble / Extra Large / 5""",https://www.stio.com/products/mens-vallis-lined-short-5?variant=45980752904366
196926178838,92.00,Chicory Flower Plaid / Medium,https://www.stio.com/products/mens-eddy-coast-shirt-ss?variant=45981681287342
196926181654,69.30,Poison Green Blooms / Small,https://www.stio.com/products/mens-shifter-shirt-ss?variant=45981767598254
196926178760,103.20,Sage Flats Plaid / Medium,https://www.stio.com/products/mens-eddy-coast-shirt-ls?variant=45981678305454
196926194500,35.40,"Cobalt Night / Small / 7""",https://www.stio.com/products/mens-cfs-drifter-lined-short-7?variant=45981371269294
196926192001,39.50,"Mountain Shadow / Small / 7""",https://www.stio.com/products/mens-glide-tech-short?variant=45985679212718
196926208764,111.30,"Abyss / Medium / 11""",https://www.stio.com/products/mens-stio-team-bibs?variant=45985877295278
196926180268,97.30,Bonfire / Small,https://www.stio.com/products/mens-cfs-hooded-anorak?variant=45981366485166
196926199642,77.40,"Stormy Weather / 30 / 9""",https://www.stio.com/products/mens-opr-short-9?variant=45985651818670
196926106206,113.05,Alloy / Small,https://www.stio.com/products/mens-second-light-windshell?variant=46060297027758
196926192704,41.40,"Boundless / Small / 7""",https://www.stio.com/products/mens-second-light-short-7?variant=45985583562926
196926192612,41.40,"Mountain Shadow / Medium / 5""",https://www.stio.com/products/mens-second-light-short-5?variant=45985580318894
196926187557,55.30,January Sky / Small,https://www.stio.com/products/mens-hylas-crew-ls?variant=45981663166638
196926196542,65.40,Deep Shade / 30 / Regular,https://www.stio.com/products/mens-cut-bank-pant?variant=45985478770862
196926199192,77.40,"Raven / 30 / 11.5""",https://www.stio.com/products/mens-opr-short-11-5?variant=45985655718062
196926179071,83.40,January Sky Plaid / Small,https://www.stio.com/products/mens-eddy-drift-shirt-ls?variant=45981678993582
196926181319,62.30,Inferno / Small,https://www.stio.com/products/mens-second-light-vest?variant=45985590116526
196926183528,109.25,Larkspur Blue Plaid / Large,https://www.stio.com/products/mens-eddy-shirt-ss?variant=45980737405102
196926180565,79.20,Sage Flats Novelty Stripe / Small,https://www.stio.com/products/mens-curtis-camp-shirt-ss?variant=45981685481646
196926198386,84.55,"Castlerock / 30 / 9""",https://www.stio.com/products/mens-vallis-short-9?variant=45980761587886
196926186635,52.00,Magnet Heather / Small,https://www.stio.com/products/mens-crester-tee-ls?variant=45980823093422
196926212983,59.50,Mountain Shadow / Small,https://www.stio.com/products/mens-crester-half-zip?variant=46094505836718
196926057706,103.20,Mountain Shadow / Small / Regular,https://www.stio.com/products/mens-whitebark-french-terry-jogger?variant=46514411208878
196926208801,97.30,Stormy Weather / Small,https://www.stio.com/products/mens-stio-team-jersey-ss?variant=45985877754030
196926029581,59.40,Mountain Shadow / Small,https://www.stio.com/products/mens-alpin-lightweight-merino-polo-ss?variant=46016344490158
196926090611,33.00,Mountain Shadow Heather / Medium,https://www.stio.com/products/mens-crester-tee-ss?variant=46045962961070
196926198652,62.30,"Cabin Fever / 30 / 7.5""",https://www.stio.com/products/mens-vallis-short-7-5?variant=45980754346158
196926198249,39.50,"Stormy Weather / Small / 7.5""",https://www.stio.com/products/mens-vallis-lined-short-7-5?variant=45980757819566
196926187953,41.30,Chicory Flower Heather / Small,https://www.stio.com/products/mens-lucent-tee-ss?variant=45985712373934
196926189964,34.30,Bonfire Heather / Extra Small,https://www.stio.com/products/mens-divide-tee-ss?variant=45985530773678
196926196993,53.40,"Sage Flats / 30 / 10""",https://www.stio.com/products/mens-cut-bank-short?variant=45985489125550
196926207989,170.05,Raven / 31 / Regular,https://www.stio.com/products/mens-opr-pant?variant=45985649131694
196926121162,55.30,"Mountain Shadow / 28 / 10.5""",https://www.stio.com/products/mens-cfs-board-short-10-5?variant=46016384336046
196926187854,24.50,Sage Flats Heather / Small,https://www.stio.com/products/mens-lucent-sleeveless-tee?variant=45985708540078
196926187151,47.20,Alloy Heather / Small,https://www.stio.com/products/mens-divide-polo?variant=45985527201966
196926035629,76.30,Bear Cub / 8,https://www.stio.com/products/mens-colter-summer-low?variant=46383957180590
196926187038,55.30,Sage Flats Heather / Small,https://www.stio.com/products/mens-divide-hooded-pullover?variant=45985524908206
196926196184,59.40,"Atmosphere / 30 / 10""",https://www.stio.com/products/mens-coburn-xt-short?variant=45981631545518
196926186062,62.30,Boundless / Extra Large,https://www.stio.com/products/mens-alpin-lightweight-merino-tee-ss?variant=45981486973102
196926198034,39.50,"Pebble / Extra Extra Large / 5""",https://www.stio.com/products/mens-vallis-lined-short-5?variant=45980752937134
196926178845,92.00,Chicory Flower Plaid / Large,https://www.stio.com/products/mens-eddy-coast-shirt-ss?variant=45981681320110
196926181661,69.30,Poison Green Blooms / Medium,https://www.stio.com/products/mens-shifter-shirt-ss?variant=45981767631022
196926178777,103.20,Sage Flats Plaid / Large,https://www.stio.com/products/mens-eddy-coast-shirt-ls?variant=45981678338222
196926194517,35.40,"Cobalt Night / Medium / 7""",https://www.stio.com/products/mens-cfs-drifter-lined-short-7?variant=45981371302062
196926102000,71.20,"Canyon Rock / 30 / 8""",https://www.stio.com/products/mens-coburn-short-8?variant=46038390800558
196926181166,49.50,Boundless / Small,https://www.stio.com/products/mens-second-light-pullover?variant=45985574027438
196926192018,39.50,"Mountain Shadow / Medium / 7""",https://www.stio.com/products/mens-glide-tech-short?variant=45985679245486
196926208771,111.30,"Abyss / Large / 11""",https://www.stio.com/products/mens-stio-team-bibs?variant=45985877328046
196926180275,97.30,Bonfire / Medium,https://www.stio.com/products/mens-cfs-hooded-anorak?variant=45981366517934
196926199659,77.40,"Stormy Weather / 31 / 9""",https://www.stio.com/products/mens-opr-short-9?variant=45985651851438
196926106213,113.05,Alloy / Medium,https://www.stio.com/products/mens-second-light-windshell?variant=46060297060526
196926192711,41.40,"Boundless / Medium / 7""",https://www.stio.com/products/mens-second-light-short-7?variant=45985583595694
196926192629,41.40,"Mountain Shadow / Large / 5""",https://www.stio.com/products/mens-second-light-short-5?variant=45985580351662
196926187564,55.30,January Sky / Medium,https://www.stio.com/products/mens-hylas-crew-ls?variant=45981663199406
196926196559,65.40,Deep Shade / 31 / Regular,https://www.stio.com/products/mens-cut-bank-pant?variant=45985478803630
196926057607,119.20,Raven / Small,https://www.stio.com/products/mens-whitebark-french-terry-hoodie?variant=46514417041582
196926199208,77.40,"Raven / 31 / 11.5""",https://www.stio.com/products/mens-opr-short-11-5?variant=45985655750830
