UPC,Price,Variant,Source Link
0810095964688,49.00,"Sahara Tan - Black / 20"" x 20""",https://sundaycitizen.co/products/faces-throw-pillow?variant=52299949474155
0810015998748,32.50,Camel / S,https://sundaycitizen.co/products/cosset-lazy-jogger?variant=39493210603618
0810095966156,49.00,"Rose - Pomegranate / 20"" x 20""",https://sundaycitizen.co/products/faces-ii-throw-pillow?variant=40434648318050
0810095964695,49.00,"Grape - Lavender / 20"" x 20""",https://sundaycitizen.co/products/faces-throw-pillow?variant=40154587725922
0810095960321,32.50,Olive / S,https://sundaycitizen.co/products/cosset-cropped-sweatshirt?variant=39616289865826
0810095960499,37.50,Chocolate / XS/S,https://sundaycitizen.co/products/cosset-lazy-sweater-dress?variant=39631161327714
0810015999240,25.00,Coal / XS,https://sundaycitizen.co/products/naked-short?variant=39674004668514
0810015998434,27.50,Coal / S,https://sundaycitizen.co/products/naked-boat-neck-tee?variant=39634330189922
0198862001607,49.00,"Off White - Sahara Tan / 20"" x 20""",https://sundaycitizen.co/products/chamomile-throw-pillow?variant=51746777104747
0198862000327,42.50,"Dusky Blue / 30"" x 40""",https://sundaycitizen.co/products/ombre-baby-blanket-copy?variant=51713992294763
0810015995563,105.00,"Off White / 20"" x 20""",https://sundaycitizen.co/products/braided-throw-pillow?variant=32106971824226
0198862000273,180.00,Cloud Gray - Off White / Throw,https://sundaycitizen.co/products/chevron-throw?variant=51713987740011
0198862001553,90.00,Off White - Sahara Tan / Throw,https://sundaycitizen.co/products/chamomile-throw?variant=51704703680875
0810095966408,80.00,Copper Mix / Throw,https://sundaycitizen.co/products/cusco-throw?variant=41082270875746
0810015999080,42.50,Mint / XS,https://sundaycitizen.co/products/naked-jogger?variant=39674003783778
0810015999615,170.00,Clear White / Full - Queen,https://sundaycitizen.co/products/snug-quilted-comforter?variant=39558226739298
0810015998908,22.50,Olive / XS,https://sundaycitizen.co/products/cosset-easy-shorts?variant=39493145493602
0810095961267,52.50,"Bronze Age / 36"" x 14""",https://sundaycitizen.co/products/rio-tinto-lumbar-pillow?variant=39682478243938
0810015996478,130.00,Cloud Gray / Standard,https://sundaycitizen.co/products/snug-bamboo-sham-set?variant=39678117445730
0810095961922,135.00,White - Taupe / Full - Queen,https://sundaycitizen.co/products/frame-premium-bamboo-duvet-cover?variant=39824727310434
0810095961144,12.50,Moon over Malta Gray / Pack of Two,https://sundaycitizen.co/products/cosset-scrunchie-set?variant=39678116888674
0810095966989,49.00,"Biscotti - Off White / 20"" x 20""",https://sundaycitizen.co/products/tulum-throw-pillow?variant=40571494629474
0810095961199,75.00,Bronze Age / Throw,https://sundaycitizen.co/products/rio-tinto-lightweight-throw?variant=39682449277026
0810015998199,22.50,Coal / XS,https://sundaycitizen.co/products/naked-tank-top?variant=39634288869474
0810095968518,49.00,Biscotti - Sahara Tan,https://sundaycitizen.co/products/snug-piped-throw-pillow?variant=41014553149538
0810095962042,32.50,White - Taupe / Standard,https://sundaycitizen.co/products/frame-premium-bamboo-pillowcase-set?variant=39824738680930
0810095967221,55.00,"Wave / 36"" x 14""",https://sundaycitizen.co/products/cusco-lumbar-pillow?variant=40632906154082
0810095967153,120.00,"Cloud Gray / 36"" x 14""",https://sundaycitizen.co/products/braided-pom-pom-lumbar-pillow?variant=40597674262626
0810015999899,35.00,Camel / S,https://sundaycitizen.co/products/cosset-relaxed-turtleneck-1?variant=39616480804962
0810015992005,80.00,Moon / Queen,https://sundaycitizen.co/products/premium-bamboo-top-sheet?variant=31852567855202
0810095961304,45.00,"Bronze Age / 18"" x 12""",https://sundaycitizen.co/products/rio-tinto-mini-pillow?variant=39682515566690
0198862001577,90.00,Curry - Black / Throw,https://sundaycitizen.co/products/leopard-throw?variant=51698894635371
0810095967634,75.00,Boulder / Standard,https://sundaycitizen.co/products/natural-premium-bamboo-sham-set?variant=40703064211554
0810095968631,65.00,"Sahara Tan - Biscotti / 12"" x 12"" x 12""",https://sundaycitizen.co/products/knot-pillow?variant=40743582400610
0810015997949,35.00,Mint / XS,https://sundaycitizen.co/products/naked-modal-sleep-shirt?variant=39634274025570
