UPC,Price,Variant,Promo,Source Link
816218023799,19.200000000000003,6 fl. oz.,SUPER20,https://supergoop.com/products/antioxidant-infused-sunscreen-mist-with-vitamin-c?variant=31189114388578
816218022464,28.8,5.5 fl. oz.,SUPER20,https://supergoop.com/products/everyday-sunscreen?variant=31189086634082
,115.2,Sunrise,SUPER20,https://supergoop.com/products/bestsellers-sunscreen-set?variant=41420780142690
816218028329,25.6,0.70 oz.,SUPER20,https://supergoop.com/products/unseen-clear-sunscreen-stick?variant=40758203154530
816218029111,32.0,Unscented / 5 fl. oz.,SUPER20,https://supergoop.com/products/sun-defying-sunscreen-oil-with-meadowfoam?variant=31189112422498
810165890534,36.0,One Size,SUPER20,https://supergoop.com/products/destination-glow-spf-kit?variant=41671998865506
816218029241,27.200000000000003,1.7 fl. oz.,SUPER20,https://supergoop.com/products/every-single-face-watery-lotion-spf-50?variant=39592850817122
,105.60000000000001,Default Title,SUPER20,https://supergoop.com/products/play-pump-refill-set?variant=41105452630114
810165890046,17.6,Vanilla Soft Serve,SUPER20,https://supergoop.com/products/glow-gloss-lip-balm?variant=41683278430306
816218029074,25.6,1.4 oz.,SUPER20,https://supergoop.com/products/play-everyday-stick-spf-50?variant=41845450768482
816218026127,32.0,1.5 fl. oz.,SUPER20,https://supergoop.com/products/smooth-and-poreless-mattescreen?variant=39625226879074
,27.200000000000003,Default Title,SUPER20,https://supergoop.com/products/work-hard-play-hard-spf-set?variant=41788056371298
816218029449,38.400000000000006,1.7 fl. oz.,SUPER20,https://supergoop.com/products/triple-prep-weightless-multitasking-moisturizer-spf-40?variant=40601387204706
816218029081,38.400000000000006,1.7 fl. oz.,SUPER20,https://supergoop.com/products/superscreen-daily-moisturizer?variant=18213291130978
816218027247,19.200000000000003,2.4 fl. oz.,SUPER20,https://supergoop.com/products/everyday-sunscreen-spf30?variant=31189098594402
,56.0,Sunrise / Sunrise,SUPER20,https://supergoop.com/products/sunkissed-glow-go-spf-set?variant=41834964615266
816218026882,30.400000000000002,Sunrise / 1.7 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=39553207730274
816218028817,30.400000000000002,1.7 fl. oz.,SUPER20,https://supergoop.com/products/unseen-sunscreen-spf-50?variant=41610270802018
816218029517,25.6,Sunrise / 0.35 oz.,SUPER20,https://supergoop.com/products/glowscreen-sunlighter-stick-spf-45?variant=41683267846242
810165890558,28.0,One Size,SUPER20,https://supergoop.com/products/clear-favorites-spf-duo-kit?variant=41806901018722
816218023553,25.6,0.70 oz.,SUPER20,https://supergoop.com/products/glow-stick-sunscreen?variant=31200871088226
816218028732,32.0,Sunrise / 1.7 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-glow-drops?variant=41683260997730
816218029203,17.6,1.7 fl. oz.,SUPER20,https://supergoop.com/products/play-everyday-face-lotion-spf-50?variant=41845464465506
816218025748,40.0,1.0 fl. oz.,SUPER20,https://supergoop.com/products/daily-dose-vitamin-c-serum-spf-40?variant=32068825120866
,52.800000000000004,Default Title,SUPER20,https://supergoop.com/products/glow-gloss-spf-40-lip-balm-trio?variant=41921559134306
,67.2,Default Title,SUPER20,https://supergoop.com/products/beach-day-trio?variant=41085068083298
,27.200000000000003,Default Title,SUPER20,https://supergoop.com/products/on-the-go-spf-set?variant=41790231150690
,62.400000000000006,Sunrise / Sunrise,SUPER20,https://supergoop.com/products/way-to-glow-spf-set?variant=41834990960738
816218023836,19.200000000000003,6 fl. oz.,SUPER20,https://supergoop.com/products/play-antioxidant-body-mist-spf-30-with-vitamin-c?variant=31200847331426
816218028749,32.0,0.5 fl. oz.,SUPER20,https://supergoop.com/products/bright-eyed-100-mineral-eye-cream-spf-40?variant=31191267967074
816218028350,17.6,Unseen,SUPER20,https://supergoop.com/products/lipscreen-sheer-spf-30?variant=41432611291234
,54.400000000000006,Default Title,SUPER20,https://supergoop.com/products/unseen-sunscreen-stick-and-gel?variant=41213237461090
816218023379,19.200000000000003,0.67 oz.,SUPER20,https://supergoop.com/products/100-mineral-sunscreen-stick?variant=731856470032
810165890503,24.0,One Size,SUPER20,https://supergoop.com/products/icons-only-spf-bestsellers-kit?variant=41672009023586
816218023393,9.600000000000001,Mint,SUPER20,https://supergoop.com/products/play-lip-balm-spf-30?variant=40722206425186
,28.8,6.5 oz.,SUPER20,https://supergoop.com/products/super-power-sunscreen-mousse?variant=31338665476194
816218023867,28.0,Translucent,SUPER20,https://supergoop.com/products/mineral-setting-powder?variant=32056031051874
816218023270,32.0,1.5 fl. oz.,SUPER20,https://supergoop.com/products/mineral-sheerscreen-spf-30?variant=32123495284834
816218027605,19.200000000000003,Hey Y'all,SUPER20,https://supergoop.com/products/lipshade-100-mineral-spf-30-hydrating-lipstick?variant=40334820540514
810165890510,25.6,One Size,SUPER20,https://supergoop.com/products/meet-the-minerals-spf-starter-kit?variant=41672006664290
816218023409,17.6,0.34 oz.,SUPER20,https://supergoop.com/products/shine-on-lip-screen?variant=31816600223842
810165890527,24.0,One Size,SUPER20,https://supergoop.com/products/best-in-class-spf-starter-kit?variant=41672005714018
816218023782,14.4,3 fl. oz.,SUPER20,https://supergoop.com/products/antioxidant-infused-sunscreen-mist-with-vitamin-c?variant=31189114454114
816218027988,32.0,1.7 fl. oz.,SUPER20,https://supergoop.com/products/mineral-unseen?variant=40811652350050
,57.6,Default Title,SUPER20,https://supergoop.com/products/play-antioxidant-body-mist-spf-50-with-vitamin-c-3-pack?variant=41832783478882
816218023645,30.400000000000002,6.76 fl. oz.,SUPER20,https://supergoop.com/products/forever-young-hand-cream-with-sea-buckthorn-sunscreen?variant=31200855785570
,57.6,Default Title,SUPER20,https://supergoop.com/products/play-time-toddlers-kiddos-spf-set?variant=41721009438818
816218028121,19.200000000000003,2.4 fl. oz.,SUPER20,https://supergoop.com/products/everyday-sunscreen?variant=31189086666850
,115.2,Dawn,SUPER20,https://supergoop.com/products/bestsellers-sunscreen-set?variant=41420782993506
,14.4,Unscented / 1 fl. oz,SUPER20,https://supergoop.com/products/sun-defying-sunscreen-oil-with-meadowfoam?variant=42072172724322
810165890053,17.6,Pink Peppermint,SUPER20,https://supergoop.com/products/glow-gloss-lip-balm?variant=41683278463074
816218023430,19.200000000000003,0.68 fl. oz.,SUPER20,https://supergoop.com/products/smooth-and-poreless-mattescreen?variant=39816821407842
816218027162,28.8,5.5 fl. oz.,SUPER20,https://supergoop.com/products/everyday-sunscreen-spf30?variant=31189098561634
,56.0,Sunrise / Golden Hour,SUPER20,https://supergoop.com/products/sunkissed-glow-go-spf-set?variant=41834964648034
816218027285,38.400000000000006,Sunrise / 2.5 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=40722207899746
816218028824,38.400000000000006,2.5 fl. oz.,SUPER20,https://supergoop.com/products/unseen-sunscreen-spf-50?variant=41610274275426
816218029524,25.6,Golden Hour / 0.35 oz.,SUPER20,https://supergoop.com/products/glowscreen-sunlighter-stick-spf-45?variant=41683267879010
816218029173,32.0,Golden Hour / 1.7 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-glow-drops?variant=41683260964962
,62.400000000000006,Sunrise / Dawn,SUPER20,https://supergoop.com/products/way-to-glow-spf-set?variant=41834990993506
894280001297,9.600000000000001,Acai,SUPER20,https://supergoop.com/products/play-lip-balm-spf-30?variant=40722206392418
,16.0,3 oz.,SUPER20,https://supergoop.com/products/super-power-sunscreen-mousse?variant=31338683236450
816218023027,28.0,Light,SUPER20,https://supergoop.com/products/mineral-setting-powder?variant=32056031084642
816218028336,19.200000000000003,0.68 fl. oz.,SUPER20,https://supergoop.com/products/mineral-sheerscreen-spf-30?variant=39607728537698
816218028398,19.200000000000003,Obsessed,SUPER20,https://supergoop.com/products/lipshade-100-mineral-spf-30-hydrating-lipstick?variant=40334826111074
816218023249,11.200000000000001,1 fl. oz.,SUPER20,https://supergoop.com/products/forever-young-hand-cream-with-sea-buckthorn-sunscreen?variant=31200855818338
816218022969,54.400000000000006,18 fl. oz.,SUPER20,https://supergoop.com/products/everyday-sunscreen?variant=31189086601314
,115.2,Golden Hour,SUPER20,https://supergoop.com/products/bestsellers-sunscreen-set?variant=41420783026274
816218029456,32.0,Beach Flower / 5 fl. oz.,SUPER20,https://supergoop.com/products/sun-defying-sunscreen-oil-with-meadowfoam?variant=41900663046242
810165890060,17.6,Strawberry Spritz,SUPER20,https://supergoop.com/products/glow-gloss-lip-balm?variant=41683280822370
,64.0,2-pack,SUPER20,https://supergoop.com/products/smooth-and-poreless-mattescreen?variant=41967660728418
,56.0,Dawn / Sunrise,SUPER20,https://supergoop.com/products/sunkissed-glow-go-spf-set?variant=41834964680802
816218025762,17.6,Sunrise / .68 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=41252926324834
816218028855,17.6,0.68 fl. oz.,SUPER20,https://supergoop.com/products/unseen-sunscreen-spf-50?variant=41610278305890
,62.400000000000006,Sunrise / Golden Hour,SUPER20,https://supergoop.com/products/way-to-glow-spf-set?variant=41834991026274
816218023058,28.0,Medium,SUPER20,https://supergoop.com/products/mineral-setting-powder?variant=32056031117410
816218024116,16.0,0.5 fl. oz.,SUPER20,https://supergoop.com/products/mineral-sheerscreen-spf-30?variant=32123495317602
816218022778,19.200000000000003,Love You More,SUPER20,https://supergoop.com/products/lipshade-100-mineral-spf-30-hydrating-lipstick?variant=40334826143842
,38.400000000000006,2-pack,SUPER20,https://supergoop.com/products/everyday-sunscreen?variant=42134726967394
,115.2,Sunset,SUPER20,https://supergoop.com/products/bestsellers-sunscreen-set?variant=41420783059042
816218029463,32.0,Sunkissed Coconut / 5 fl. oz.,SUPER20,https://supergoop.com/products/sun-defying-sunscreen-oil-with-meadowfoam?variant=41900663341154
,56.0,Dawn / Golden Hour,SUPER20,https://supergoop.com/products/sunkissed-glow-go-spf-set?variant=41834964713570
,60.800000000000004,Sunrise / 2-pack,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=42136908169314
,60.800000000000004,2-pack,SUPER20,https://supergoop.com/products/unseen-sunscreen-spf-50?variant=42134729261154
,62.400000000000006,Sunrise / Sunset,SUPER20,https://supergoop.com/products/way-to-glow-spf-set?variant=41834991059042
816218023096,28.0,Deep,SUPER20,https://supergoop.com/products/mineral-setting-powder?variant=32056031150178
816218026424,19.200000000000003,Lucky Me,SUPER20,https://supergoop.com/products/lipshade-100-mineral-spf-30-hydrating-lipstick?variant=40334826078306
,56.0,Golden Hour / Sunrise,SUPER20,https://supergoop.com/products/sunkissed-glow-go-spf-set?variant=41834964746338
816218026240,30.400000000000002,Dawn / 1.7 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=40266005446754
,62.400000000000006,Golden Hour / Sunrise,SUPER20,https://supergoop.com/products/way-to-glow-spf-set?variant=41834991091810
816218024901,19.200000000000003,High Five,SUPER20,https://supergoop.com/products/lipshade-100-mineral-spf-30-hydrating-lipstick?variant=40334826045538
,56.0,Golden Hour / Golden Hour,SUPER20,https://supergoop.com/products/sunkissed-glow-go-spf-set?variant=41834964779106
,60.800000000000004,Dawn / 2-pack,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=42136908202082
,62.400000000000006,Golden Hour / Dawn,SUPER20,https://supergoop.com/products/way-to-glow-spf-set?variant=41834991124578
,56.0,Sunset / Sunrise,SUPER20,https://supergoop.com/products/sunkissed-glow-go-spf-set?variant=41834964811874
816218028978,30.400000000000002,Golden Hour / 1.7 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=39553228505186
,60.800000000000004,Golden Hour / 2-pack,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=42136908234850
816218029142,30.400000000000002,Sunset / 1.7 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=40266005512290
,60.800000000000004,Sunset / 2-pack,SUPER20,https://supergoop.com/products/glowscreen-spf-40?variant=42136908267618
,62.400000000000006,Golden Hour / Golden Hour,SUPER20,https://supergoop.com/products/way-to-glow-spf-set?variant=41834991157346
,56.0,Sunset / Golden Hour,SUPER20,https://supergoop.com/products/sunkissed-glow-go-spf-set?variant=41834964844642
,62.400000000000006,Golden Hour / Sunset,SUPER20,https://supergoop.com/products/way-to-glow-spf-set?variant=41834991190114
816218026769,35.2,10N / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749945880674
816218026967,35.2,14N / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749945913442
816218027254,35.2,20C / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749945946210
816218027261,35.2,22W / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749945978978
816218027414,35.2,24N / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946011746
816218027421,35.2,26W / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946044514
816218027452,35.2,30W / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946077282
816218027469,35.2,32N / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946110050
816218027506,35.2,34C / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946142818
816218027513,35.2,40W / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946175586
816218027551,35.2,42C / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946208354
816218027568,35.2,46N / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946241122
816218027575,35.2,52N / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749946306658
816218027612,35.2,58W / 1.18 fl. oz.,SUPER20,https://supergoop.com/products/protectint-skin-tint-spf-50?variant=40749968293986
816218024765,28.0,0.13 oz,SUPER20,https://supergoop.com/products/glowsetting-powder-100-mineral-spf-35?variant=40253923557474
,24.0,Default Title,SUPER20,https://supergoop.com/products/play-lip-shield-spf-30-tropical-set?variant=41577750069346
816218025489,33.6,3.4 fl. oz.,SUPER20,https://supergoop.com/products/glowscreen-body-spf-40?variant=32129061748834
,49.6,Default Title,SUPER20,https://supergoop.com/products/3-ways-to-play-travel-set?variant=41109484896354
,57.6,Sunrise / Sunrise,SUPER20,https://supergoop.com/products/soft-glow-go-spf-set?variant=41834991419490
816218022839,51.2,18 fl. oz.,SUPER20,https://supergoop.com/products/play-everyday-lotion-spf-50-pump-refill-pouch?variant=40379042365538
,92.80000000000001,Default Title,SUPER20,https://supergoop.com/products/beach-day-set-jumbo?variant=41510126911586
,64.0,Default Title,SUPER20,https://supergoop.com/products/play-all-day-spf-set?variant=41898164813922
,64.0,Default Title,SUPER20,https://supergoop.com/products/unseen-face-body-set?variant=41093049090146
816218022372,24.0,3.4 fl. oz.,SUPER20,https://supergoop.com/products/sunnyscreen-100-mineral-spray?variant=20293149917282
,72.0,Default Title,SUPER20,https://supergoop.com/products/play-poolside-spf-set?variant=41897784180834
816218025472,35.2,3.4 fl. oz.,SUPER20,https://supergoop.com/products/unseen-sunscreen-body-spf-40?variant=40253950165090
816218021023,38.400000000000006,1.7 fl. oz.,SUPER20,https://supergoop.com/products/zincscreen-100-mineral-lotion?variant=20460432326754
857250005428,38.400000000000006,2.0 fl. oz.,SUPER20,https://supergoop.com/products/city-sunscreen-serum?variant=731871641616
,211.20000000000002,Default Title,SUPER20,https://supergoop.com/products/mesh-pouch-glow-gloss-duo?variant=41839841149026
816218022181,12.8,1 fl. oz.,SUPER20,https://supergoop.com/products/play-100-mineral-lotion-spf-30-with-green-algae?variant=39622636568674
,115.2,Default Title,SUPER20,https://supergoop.com/products/bachelorette-bundle-spf-lip-set-1?variant=41814011215970
,60.0,Translucent,SUPER20,https://supergoop.com/products/the-matte-prime-reapply-set?variant=41105440178274
816218022402,19.200000000000003,Daydream,SUPER20,https://supergoop.com/products/shimmershade-spf-30?variant=40722206982242
,57.6,Sunrise / Golden Hour,SUPER20,https://supergoop.com/products/soft-glow-go-spf-set?variant=41834991452258
816218029838,30.400000000000002,3.4 fl. oz.,SUPER20,https://supergoop.com/products/play-100-mineral-lotion-spf-50-with-green-algae?variant=39622604652642
,73.60000000000001,Default Title,SUPER20,https://supergoop.com/products/play-home-away-set?variant=41105458430050
,52.800000000000004,Default Title,SUPER20,https://supergoop.com/products/play-game-face-spf-set?variant=41897806987362
816218023683,19.200000000000003,Translucent,SUPER20,https://supergoop.com/products/mineral-setting-powder-refill?variant=32056186798178
816218021580,40.0,1.0 fl. oz.,SUPER20,https://supergoop.com/products/daily-dose-bioretinol-mineral-spf-40-fluid?variant=40153478824034
816218029890,25.6,0.70 oz.,SUPER20,https://supergoop.com/products/mineral-sheer-sunscreen-stick?variant=40758236282978
810165890541,32.0,One Size,SUPER20,https://supergoop.com/products/round-trip-ready-spf-travel-kit?variant=41672003780706
,67.2,10N / Sunrise,SUPER20,https://supergoop.com/products/makeup-base-ics-spf-set?variant=41867121983586
816218026219,19.200000000000003,0.13 oz,SUPER20,https://supergoop.com/products/glowsetting-powder-100-mineral-spf-35-refill?variant=40256485687394
