UPC,Price,Variant,Source Link
888818463534,34.99,Matte Black / SM/MED,https://tacomabike.com/collections/sale-items/products/specialized-chamonix-2-helmet
4713250802923,85.20,Black/Blue / 46,https://tacomabike.com/collections/sale-items/products/giant-shuttle-dh-off-road-shoe
4713250802886,85.20,Black/Blue / 42,https://tacomabike.com/collections/sale-items/products/giant-shuttle-dh-off-road-shoe
4713250802930,85.20,Black/Blue / 47,https://tacomabike.com/collections/sale-items/products/giant-shuttle-dh-off-road-shoe
2220000022439,11.75,Black,https://tacomabike.com/collections/sale-items/products/assos-recovery-socks
888818957170,34.99,Dove Grey/Hyper / S,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818956357,34.99,Dove Grey/Hyper / M,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818956890,34.99,Dove Grey/Hyper / L,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818955954,34.99,Dove Grey/Hyper / XL,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787012,74.99,Oak Green/Black / S,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787029,74.99,Oak Green/Black / M,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787036,74.99,Oak Green/Black / L,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818819614,74.99,Oak Green/Black / XL,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818819751,74.99,Oak Green/Black / XS,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787074,34.99,Redwood / Garnet Red / S,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787081,34.99,Redwood / Garnet Red / M,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787098,34.99,Redwood / Garnet Red / L,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818786985,74.99,Black / S,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818786992,74.99,Black / M,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787005,74.99,Black / L,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818819669,74.99,Black / XL,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787135,74.99,White / S,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787142,74.99,White / M,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818787159,74.99,White / L,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818819706,74.99,White / XL,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818952120,74.99,Smoke/Black / S,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818952175,74.99,Smoke/Black / M,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818952144,74.99,Smoke/Black / L,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
888818952137,74.99,Smoke/Black / XL,https://tacomabike.com/collections/sale-items/products/specialized-camber-helmet
682670915169,27.99,Blue / One Size,https://tacomabike.com/collections/sale-items/products/specialized-supacaz-smash-pedal-thermopoly
682670915176,27.99,Red / One Size,https://tacomabike.com/collections/sale-items/products/specialized-supacaz-smash-pedal-thermopoly
888818721450,39.99,Black / XS,https://tacomabike.com/collections/sale-items/products/specialized-rbx-tights-womens
888818720187,39.99,Black / S,https://tacomabike.com/collections/sale-items/products/specialized-rbx-tights-womens
888818717873,39.99,Black / M,https://tacomabike.com/collections/sale-items/products/specialized-rbx-tights-womens
888818720439,39.99,Black / L,https://tacomabike.com/collections/sale-items/products/specialized-rbx-tights-womens
888818761678,39.99,Black / M,https://tacomabike.com/collections/sale-items/products/specialized-rbx-comp-thermal-knicker-womens
888818760367,39.99,Black / L,https://tacomabike.com/collections/sale-items/products/specialized-rbx-comp-thermal-knicker-womens
660902386864,12.99,Black / One Size,https://tacomabike.com/collections/sale-items/products/specialized-supacaz-fly-cage-poly
888818899128,6.49,Revel Smoke / 26 oz,https://tacomabike.com/collections/sale-items/products/specialized-purist-watergate-26oz-bottle
888818898985,13.00,Team Red / 26 oz,https://tacomabike.com/collections/sale-items/products/specialized-purist-watergate-26oz-bottle
888818044153,34.95,Black / 41-42,https://tacomabike.com/collections/sale-items/products/specialized-deflect-comp-shoe-covers
888818044214,34.95,Black / 43-44,https://tacomabike.com/collections/sale-items/products/specialized-deflect-comp-shoe-covers
888818044290,34.95,Black / 45-46,https://tacomabike.com/collections/sale-items/products/specialized-deflect-comp-shoe-covers
888818981205,574.99,Satin Black Liquid Metal/White / XS,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818978212,574.99,Satin Black Liquid Metal/White / S,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818981489,574.99,Satin Black Liquid Metal/White / M,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818974900,574.99,Satin Black Liquid Metal/White / L,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818982974,574.99,Gloss Pine Green/Obsidian / M,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818973835,574.99,Gloss Pine Green/Obsidian / L,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818976768,574.99,Satin Clay/Black Liquid / XL,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818983698,574.99,Satin Clay/Black Liquid / M,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818976140,574.99,Satin Clay/Black Liquid / L,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
888818975174,574.99,Gloss Pine Green/Obsidian / S,https://tacomabike.com/collections/sale-items/products/specialized-rockhopper-sport
710845805509,27.50,Default Title,https://tacomabike.com/collections/sale-items/products/sram-centerline-140mm-rounded
888818615438,29.99,Black / 700x38C,https://tacomabike.com/collections/sale-items/products/specialized-pathfinder-sport-reflect-700c
810005783118,579.00,Earth,https://tacomabike.com/collections/sale-items/products/coros-vertix-2s-gps-adventure-watch
810005783125,619.00,Moon,https://tacomabike.com/collections/sale-items/products/coros-vertix-2s-gps-adventure-watch
810005783132,619.00,Space,https://tacomabike.com/collections/sale-items/products/coros-vertix-2s-gps-adventure-watch
2220000199629,23.99,200ML,https://tacomabike.com/collections/sale-items/products/assos-womens-chamois-cream
196625152344,1999.99,Gloss Maroon/White / S,https://tacomabike.com/collections/sale-items/products/specialized-chisel
196625152498,1999.99,Gloss Dove Grey/Ashen Grey / M,https://tacomabike.com/collections/sale-items/products/specialized-chisel
196625152382,1999.99,Gloss Dove Grey/Ashen Grey / L,https://tacomabike.com/collections/sale-items/products/specialized-chisel
888818682003,39.99,Black/Cool Grey / 41,https://tacomabike.com/collections/sale-items/products/specialized-2fo-dh-flat-mountain-bike-shoes
888818683604,39.99,Black/Cool Grey / 41.5,https://tacomabike.com/collections/sale-items/products/specialized-2fo-dh-flat-mountain-bike-shoes
888818685196,39.99,Black/Cool Grey / 42,https://tacomabike.com/collections/sale-items/products/specialized-2fo-dh-flat-mountain-bike-shoes
888818681594,39.99,Black/Cool Grey / 42.5,https://tacomabike.com/collections/sale-items/products/specialized-2fo-dh-flat-mountain-bike-shoes
888818681624,39.99,Black/Cool Grey / 43,https://tacomabike.com/collections/sale-items/products/specialized-2fo-dh-flat-mountain-bike-shoes
888818683178,39.99,Black/Cool Grey / 44.5,https://tacomabike.com/collections/sale-items/products/specialized-2fo-dh-flat-mountain-bike-shoes
888818685844,39.99,Black/Cool Grey / 46,https://tacomabike.com/collections/sale-items/products/specialized-2fo-dh-flat-mountain-bike-shoes
810035871977,79.99,Blackout,https://tacomabike.com/collections/sale-items/products/pnw-loam-flat-pedals
810035872004,79.99,Fruit Snacks Purple,https://tacomabike.com/collections/sale-items/products/pnw-loam-flat-pedals
810035871984,79.99,Blood Orange,https://tacomabike.com/collections/sale-items/products/pnw-loam-flat-pedals
810035874923,79.99,Moss Green,https://tacomabike.com/collections/sale-items/products/pnw-loam-flat-pedals
888818989836,5499.99,Black/Dove Grey/Black / S4,https://tacomabike.com/collections/sale-items/products/specialized-turbo-levo-comp-alloy-g3
888818988631,5499.99,Black/Dove Grey/Black / S5,https://tacomabike.com/collections/sale-items/products/specialized-turbo-levo-comp-alloy-g3
888818687251,53.99,Oak Green / 36,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
888818686162,53.99,Oak Green / 37,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
888818687329,53.99,Oak Green / 38,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
888818687282,53.99,Oak Green / 39,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
888818794256,53.99,Maroon / 36,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
888818791019,53.99,Maroon / 37,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
888818791644,53.99,Maroon / 38,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
888818789528,53.99,Maroon / 40,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
888818789504,53.99,Maroon / 45,https://tacomabike.com/collections/sale-items/products/specialized-recon-1-0-mountain-bike-shoe
682670915206,82.49,Oil Slick / One Size,https://tacomabike.com/collections/sale-items/products/specialized-supacaz-krypto-pedal-cnc-alloy
682670915190,74.99,Black / One Size,https://tacomabike.com/collections/sale-items/products/specialized-supacaz-krypto-pedal-cnc-alloy
196625010378,55.99,Dusty Rose / S,https://tacomabike.com/collections/sale-items/products/specialized-foundation-short-sleeve-jersey-womens
196625011337,55.99,Dusty Rose / M,https://tacomabike.com/collections/sale-items/products/specialized-foundation-short-sleeve-jersey-womens
196625020476,55.99,Dusty Rose / L,https://tacomabike.com/collections/sale-items/products/specialized-foundation-short-sleeve-jersey-womens
719676100845,19.99,Black / 700 x 42,https://tacomabike.com/collections/sale-items/products/specialized-trigger-sport-tire
888818764457,87.49,Black / S,https://tacomabike.com/collections/sale-items/products/specialized-trail-rain-jacket-mens
888818765300,87.49,Black / M,https://tacomabike.com/collections/sale-items/products/specialized-trail-rain-jacket-mens
888818759323,87.49,Black / L,https://tacomabike.com/collections/sale-items/products/specialized-trail-rain-jacket-mens
888818761517,87.49,Black / XL,https://tacomabike.com/collections/sale-items/products/specialized-trail-rain-jacket-mens
2220000044752,94.50,XS,https://tacomabike.com/collections/sale-items/products/assos-half-shorts-s7
888818399550,54.95,Black / S,https://tacomabike.com/collections/sale-items/products/specialized-therminal-alpha-jacket-womens
