UPC,Price,Color,Source Link
690104296432,30.90,Navy,https://tacticalgear.com/tru-spec-24-7-series-original-long-sleeve-polo-navy~2?queryID=a91eb0ed10b6167e191b2e10ab1178f7
788029701442,29.99,Ranger,https://tacticalgear.com/propper-edgetec-tactical-pants-ranger~2?queryID=a91eb0ed10b6167e191b2e10ab1178f7
769028893505,104.90,Rudder Green / OD Green,https://tacticalgear.com/vertx-navigator-rudder-green-od-green?queryID=f6fd8f43dd0bbca7cee3a21405d3c578
612632198286,242.99,Coyote Brown,https://tacticalgear.com/danner-8-rivot-tfx-coyote-brown?queryID=91a5a3b06592f4173f1bdd41376fd2b8
840295804316,110.90,Burgundy,https://tacticalgear.com/carhartt-3-haslett-sd-work-composite-burgundy?queryID=a91eb0ed10b6167e191b2e10ab1178f7
886798014340,304.90,Black,https://tacticalgear.com/camelbak-bfm-100oz-mil-spec-crux-black?queryID=f6fd8f43dd0bbca7cee3a21405d3c578
849954025277,33.90,Black,https://tacticalgear.com/high-speed-gear-duty-pistol-taco-black?queryID=a91eb0ed10b6167e191b2e10ab1178f7
194511722428,44.90,Black,https://tacticalgear.com/under-armour-rival-fleece-hoodie-black?queryID=f6fd8f43dd0bbca7cee3a21405d3c578
612632372044,159.90,Realtree Edge,https://tacticalgear.com/danner-8-vital-waterproof-boots-realtree-edge?queryID=f6fd8f43dd0bbca7cee3a21405d3c578
840154619310,96.90,Grayman,https://tacticalgear.com/viktos-range-trainer-grayman?queryID=f6fd8f43dd0bbca7cee3a21405d3c578
840154605498,68.90,Leo Black,https://tacticalgear.com/viktos-leo-duty-pants-leo-black?queryID=f6fd8f43dd0bbca7cee3a21405d3c578
788029464873,29.99,Silver Tan,https://tacticalgear.com/propper-snag-free-polo-silver-tan?queryID=a91eb0ed10b6167e191b2e10ab1178f7
840295801186,110.90,Black / White,https://tacticalgear.com/carhartt-3-force-work-composite-toe-black?queryID=a91eb0ed10b6167e191b2e10ab1178f7
