UPC,Price,Variant,Source Link
0732919548457,8.50,Default Title,https://www.tenthousandvillages.com/products/nila-brass-dangle-earrings?variant=50162549588271
0732919544183,10.00,Default Title,https://www.tenthousandvillages.com/products/night-out-dangle-earrings?variant=47082157506863
0732919546132,6.25,Default Title,https://www.tenthousandvillages.com/products/mila-pendant-necklace?variant=48808007139631
,7.50,Default Title,https://www.tenthousandvillages.com/products/kantha-stitched-stocking?variant=45179954823471
,8.75,Default Title,https://www.tenthousandvillages.com/products/earrings-post-etched-semicircle-w-link-br-2-5l-br?variant=46032292872495
0732919548587,15.00,Default Title,https://www.tenthousandvillages.com/products/ica-drop-earrings?variant=50162546508079
0732919544558,20.00,Default Title,https://www.tenthousandvillages.com/products/isla-gem-ring?variant=47082157048111
0732919544664,15.00,Default Title,https://www.tenthousandvillages.com/products/namlay-drop-earrings?variant=47082156851503
0732919544657,6.25,Default Title,https://www.tenthousandvillages.com/products/nhi-cherry-drop-earrings?variant=47082156949807
0732919544572,11.25,Default Title,https://www.tenthousandvillages.com/products/nuna-teardrop-earrings?variant=47082156687663
0732919544534,25.00,Default Title,https://www.tenthousandvillages.com/products/isla-crystal-drop-earrings?variant=47082157375791
0732919544145,5.00,Default Title,https://www.tenthousandvillages.com/products/sarita-drop-earrings?variant=47082160193839
,6.50,Default Title,https://www.tenthousandvillages.com/products/recycled-paper-tree-star-ornament?variant=45179947319599
0732919544565,20.00,Default Title,https://www.tenthousandvillages.com/products/isla-teardrop-earrings?variant=47082156917039
0732919552638,12.50,Default Title,https://www.tenthousandvillages.com/products/embrace-tagua-dangle-earrings?variant=50701434061103
0732919546125,5.00,Default Title,https://www.tenthousandvillages.com/products/meera-blue-beaded-pendant-necklace?variant=48808007434543
,6.25,Tangerine,https://www.tenthousandvillages.com/products/pendant-hoop-earrings-tangerine?variant=49920145916207
0732919547467,6.25,Default Title,https://www.tenthousandvillages.com/products/nuru-moon-drop-earrings?variant=49493127758127
0732919544305,5.00,Default Title,https://www.tenthousandvillages.com/products/netra-gem-dangle-earrings?variant=47082159604015
0732919544275,3.25,Default Title,https://www.tenthousandvillages.com/products/rose-onyx-drop-earrings?variant=47082158391599
0732919548495,7.50,Default Title,https://www.tenthousandvillages.com/products/saroja-brass-pendant-necklace?variant=50162548637999
,10.00,Default Title,https://www.tenthousandvillages.com/products/earrings-post-rect-bar-duo-mtl-1-5l-br-silv?variant=46032292577583
0732919545791,8.50,Default Title,https://www.tenthousandvillages.com/products/keekar-teardrop-earrings?variant=48488797667631
0732919547542,7.50,Default Title,https://www.tenthousandvillages.com/products/sierra-tagua-pendant-necklace?variant=49493130346799
0732919546057,5.00,Default Title,https://www.tenthousandvillages.com/products/maanika-filigree-circle-drop-earrings?variant=48808008778031
0732919544541,31.25,Default Title,https://www.tenthousandvillages.com/products/isla-cinco-bracelet?variant=47082155508015
,10.00,Multicolored,https://www.tenthousandvillages.com/products/sequins-hoop-earrings-multicolored?variant=49920296091951
0732919545852,10.00,Default Title,https://www.tenthousandvillages.com/products/shaalee-stone-bead-leather-necklace?variant=48488797241647
0732919551426,14.99,Default Title,https://www.tenthousandvillages.com/products/endless-knot-hammered-brass-drop-earrings?variant=50382273610031
0732919548549,4.50,Default Title,https://www.tenthousandvillages.com/products/heartstrings-greeting-card?variant=50162546868527
0732919552508,10.00,Default Title,https://www.tenthousandvillages.com/products/esmarelda-drop-earrings?variant=50701432717615
0732919553932,10.00,Default Title,https://www.tenthousandvillages.com/products/hara-beaded-disc-earrings?variant=50809774571823
0732919547627,8.50,Default Title,https://www.tenthousandvillages.com/products/ishita-drop-earrings?variant=49493128413487
0732919548532,4.50,Default Title,https://www.tenthousandvillages.com/products/hello-sunshine-greeting-card?variant=50162546802991
0732919552515,20.00,Default Title,https://www.tenthousandvillages.com/products/esmarelda-cuff-bracelet?variant=50701432750383
0732919552669,37.49,Default Title,https://www.tenthousandvillages.com/products/etched-silver-purple-medallion-pendant-necklace?variant=50701432357167
0732919552683,10.00,Default Title,https://www.tenthousandvillages.com/products/julieta-glass-statement-ring?variant=50701434192175
0732919553420,10.00,Default Title,https://www.tenthousandvillages.com/products/jameela-serpentine-earrings?variant=50803575390511
0732919542875,7.50,Default Title,https://www.tenthousandvillages.com/products/four-seasons-cube-candleholder?variant=47112078033199
0732919553543,12.50,Default Title,https://www.tenthousandvillages.com/products/kitanzi-twisted-metal-necklace?variant=50803575357743
0732919554144,30.00,Default Title,https://www.tenthousandvillages.com/products/jatila-hand-embroidered-round-pillow?variant=50809774178607
0732919544602,75.00,Black,https://www.tenthousandvillages.com/products/jarni-leather-backback-black?variant=49919641125167
0732919553000,6.74,Default Title,https://www.tenthousandvillages.com/products/heart-in-bloom-card?variant=50701433897263
0732919553635,29.99,Default Title,https://www.tenthousandvillages.com/products/kikin-sodalite-earrings?variant=50803575882031
