UPC,Price,Variant,Source Link
,199.00,Leather - Stone Seminyak,https://www.thesak.com/products/los-feliz-large-tote-pouch-3-piece-set-leather-stone-seminyak
711640670736,49.00,Hand Crochet - Black,https://www.thesak.com/products/vita-wristlet-hand-crochet-black
711640583500,62.50,Leather - Stone / 6,https://www.thesak.com/products/everly-sandal-leather-stone
711640583494,62.50,Leather - Stone / 7,https://www.thesak.com/products/everly-sandal-leather-stone
711640583487,62.50,Leather - Stone / 8,https://www.thesak.com/products/everly-sandal-leather-stone
711640583470,62.50,Leather - Stone / 9,https://www.thesak.com/products/everly-sandal-leather-stone
711640583463,62.50,Leather - Stone / 10,https://www.thesak.com/products/everly-sandal-leather-stone
711640583456,62.50,Leather - Stone / 11,https://www.thesak.com/products/everly-sandal-leather-stone
711640832301,25.00,Hand Crochet - Pineapple,https://www.thesak.com/products/cyrus-charm-earrings-hand-crochet-pineapple
711640670743,49.00,Hand Crochet - Seashell,https://www.thesak.com/products/vita-wristlet-hand-crochet-seashell
711640832295,17.50,Hand Crochet - Watermelon,https://www.thesak.com/products/cyrus-charm-earrings-hand-crochet-watermelon
,199.00,Hand Crochet - Maritime Stripe,https://www.thesak.com/products/los-feliz-large-tote-pouch-3-piece-set-hand-crochet-maritime-stripe
711640827536,25.00,Hand Crochet - Chili Peppers,https://www.thesak.com/products/cyrus-charm-earrings-hand-crochet-chili-peppers
,139.00,Hand Crochet - Ecru Pink Multi Beads,https://www.thesak.com/products/melrose-crossbody-3-piece-set-hand-crochet-ecru-pink-multi-beads
711640646601,49.00,Hand Crochet - Ecru Seascape,https://www.thesak.com/products/vita-wristlet-hand-crochet-ecru-seascape
711640835906,55.50,Hand Crochet - Ecru Multi Beads / 6,https://www.thesak.com/products/everly-sandal-hand-crochet-ecru-multi-beads
711640835890,55.50,Hand Crochet - Ecru Multi Beads / 7,https://www.thesak.com/products/everly-sandal-hand-crochet-ecru-multi-beads
711640835883,55.50,Hand Crochet - Ecru Multi Beads / 8,https://www.thesak.com/products/everly-sandal-hand-crochet-ecru-multi-beads
711640835876,55.50,Hand Crochet - Ecru Multi Beads / 9,https://www.thesak.com/products/everly-sandal-hand-crochet-ecru-multi-beads
711640835869,55.50,Hand Crochet - Ecru Multi Beads / 10,https://www.thesak.com/products/everly-sandal-hand-crochet-ecru-multi-beads
711640835852,55.50,Hand Crochet - Ecru Multi Beads / 11,https://www.thesak.com/products/everly-sandal-hand-crochet-ecru-multi-beads
711640683712,49.50,Leather - Dark Silver / 6,https://www.thesak.com/products/ella-clog-sandal-leather-dark-silver
711640683729,49.50,Leather - Dark Silver / 7,https://www.thesak.com/products/ella-clog-sandal-leather-dark-silver
711640683736,49.50,Leather - Dark Silver / 8,https://www.thesak.com/products/ella-clog-sandal-leather-dark-silver
711640683743,49.50,Leather - Dark Silver / 9,https://www.thesak.com/products/ella-clog-sandal-leather-dark-silver
711640683750,49.50,Leather - Dark Silver / 10,https://www.thesak.com/products/ella-clog-sandal-leather-dark-silver
711640583760,55.50,Hand Crochet - Sunset Stripe / 6,https://www.thesak.com/products/everly-sandal-hand-crochet-sunset-stripe
711640583753,55.50,Hand Crochet - Sunset Stripe / 7,https://www.thesak.com/products/everly-sandal-hand-crochet-sunset-stripe
711640583746,55.50,Hand Crochet - Sunset Stripe / 8,https://www.thesak.com/products/everly-sandal-hand-crochet-sunset-stripe
711640583739,55.50,Hand Crochet - Sunset Stripe / 9,https://www.thesak.com/products/everly-sandal-hand-crochet-sunset-stripe
711640583722,55.50,Hand Crochet - Sunset Stripe / 10,https://www.thesak.com/products/everly-sandal-hand-crochet-sunset-stripe
711640583715,55.50,Hand Crochet - Sunset Stripe / 11,https://www.thesak.com/products/everly-sandal-hand-crochet-sunset-stripe
711640671740,59.00,Leather - Indigo,https://www.thesak.com/products/vita-wristlet-leather-indigo
711640832721,62.50,Leather - Black / 6,https://www.thesak.com/products/everly-sandal-leather-black
711640832714,62.50,Leather - Black / 7,https://www.thesak.com/products/everly-sandal-leather-black
711640832707,62.50,Leather - Black / 8,https://www.thesak.com/products/everly-sandal-leather-black
711640832691,62.50,Leather - Black / 9,https://www.thesak.com/products/everly-sandal-leather-black
711640832684,62.50,Leather - Black / 10,https://www.thesak.com/products/everly-sandal-leather-black
711640832677,62.50,Leather - Black / 11,https://www.thesak.com/products/everly-sandal-leather-black
711640683569,49.50,Hand Crochet - Blue Static Shell / 6,https://www.thesak.com/products/ella-clog-sandal-hand-crochet-blue-static-shell
711640683576,49.50,Hand Crochet - Blue Static Shell / 7,https://www.thesak.com/products/ella-clog-sandal-hand-crochet-blue-static-shell
711640683583,49.50,Hand Crochet - Blue Static Shell / 8,https://www.thesak.com/products/ella-clog-sandal-hand-crochet-blue-static-shell
711640683590,49.50,Hand Crochet - Blue Static Shell / 9,https://www.thesak.com/products/ella-clog-sandal-hand-crochet-blue-static-shell
711640683606,49.50,Hand Crochet - Blue Static Shell / 10,https://www.thesak.com/products/ella-clog-sandal-hand-crochet-blue-static-shell
711640662571,59.00,Leather - Meadow,https://www.thesak.com/products/vita-wristlet-leather-meadow
711640827529,25.00,Hand Crochet - Red Mushroom,https://www.thesak.com/products/cyrus-charm-earrings-hand-crochet-red-mushroom
711640681213,49.00,Hand Crochet - Bamboo,https://www.thesak.com/products/vita-wristlet-hand-crochet-bamboo
711640583944,55.50,Hand Crochet - Lapis Stripe / 6,https://www.thesak.com/products/everly-sandal-hand-crochet-lapis-stripe
711640583937,55.50,Hand Crochet - Lapis Stripe / 7,https://www.thesak.com/products/everly-sandal-hand-crochet-lapis-stripe
711640583920,55.50,Hand Crochet - Lapis Stripe / 8,https://www.thesak.com/products/everly-sandal-hand-crochet-lapis-stripe
711640583913,55.50,Hand Crochet - Lapis Stripe / 9,https://www.thesak.com/products/everly-sandal-hand-crochet-lapis-stripe
711640583883,55.50,Hand Crochet - Natural Medallion / 6,https://www.thesak.com/products/everly-sandal-hand-crochet-natural-medallion
711640583876,55.50,Hand Crochet - Natural Medallion / 7,https://www.thesak.com/products/everly-sandal-hand-crochet-natural-medallion
711640583869,55.50,Hand Crochet - Natural Medallion / 8,https://www.thesak.com/products/everly-sandal-hand-crochet-natural-medallion
711640583852,55.50,Hand Crochet - Natural Medallion / 9,https://www.thesak.com/products/everly-sandal-hand-crochet-natural-medallion
711640583845,55.50,Hand Crochet - Natural Medallion / 10,https://www.thesak.com/products/everly-sandal-hand-crochet-natural-medallion
711640583906,55.50,Hand Crochet - Lapis Stripe / 10,https://www.thesak.com/products/everly-sandal-hand-crochet-lapis-stripe
711640583890,55.50,Hand Crochet - Lapis Stripe / 11,https://www.thesak.com/products/everly-sandal-hand-crochet-lapis-stripe
711640583838,55.50,Hand Crochet - Natural Medallion / 11,https://www.thesak.com/products/everly-sandal-hand-crochet-natural-medallion
711640827512,25.00,Hand Crochet - Christmas Tree,https://www.thesak.com/products/cyrus-charm-earrings-hand-crochet-christmas-tree
711640835968,55.50,Hand Crochet - Black / 6,https://www.thesak.com/products/everly-sandal-hand-crochet-black
711640835951,55.50,Hand Crochet - Black / 7,https://www.thesak.com/products/everly-sandal-hand-crochet-black
711640835944,55.50,Hand Crochet - Black / 8,https://www.thesak.com/products/everly-sandal-hand-crochet-black
711640835937,55.50,Hand Crochet - Black / 9,https://www.thesak.com/products/everly-sandal-hand-crochet-black
711640835913,55.50,Hand Crochet - Black / 11,https://www.thesak.com/products/everly-sandal-hand-crochet-black
711640835845,55.50,Hand Crochet - Bamboo / 6,https://www.thesak.com/products/everly-sandal-hand-crochet-bamboo
711640835838,55.50,Hand Crochet - Bamboo / 7,https://www.thesak.com/products/everly-sandal-hand-crochet-bamboo
711640835821,55.50,Hand Crochet - Bamboo / 8,https://www.thesak.com/products/everly-sandal-hand-crochet-bamboo
711640835814,55.50,Hand Crochet - Bamboo / 9,https://www.thesak.com/products/everly-sandal-hand-crochet-bamboo
711640835807,55.50,Hand Crochet - Bamboo / 10,https://www.thesak.com/products/everly-sandal-hand-crochet-bamboo
711640835791,55.50,Hand Crochet - Bamboo / 11,https://www.thesak.com/products/everly-sandal-hand-crochet-bamboo
711640583821,62.50,Hand Crochet - Pink Cherries / 6,https://www.thesak.com/products/everly-sandal-hand-crochet-pink-cherries
711640583814,62.50,Hand Crochet - Pink Cherries / 7,https://www.thesak.com/products/everly-sandal-hand-crochet-pink-cherries
711640583807,62.50,Hand Crochet - Pink Cherries / 8,https://www.thesak.com/products/everly-sandal-hand-crochet-pink-cherries
711640583791,62.50,Hand Crochet - Pink Cherries / 9,https://www.thesak.com/products/everly-sandal-hand-crochet-pink-cherries
711640583784,62.50,Hand Crochet - Pink Cherries / 10,https://www.thesak.com/products/everly-sandal-hand-crochet-pink-cherries
711640583777,62.50,Hand Crochet - Pink Cherries / 11,https://www.thesak.com/products/everly-sandal-hand-crochet-pink-cherries
711640671726,59.00,Leather - Rosewood,https://www.thesak.com/products/vita-wristlet-leather-rosewood
711640683668,49.50,Leather - Black / 6,https://www.thesak.com/products/ella-clog-sandal-leather-black
711640683675,49.50,Leather - Black / 7,https://www.thesak.com/products/ella-clog-sandal-leather-black
711640683682,49.50,Leather - Black / 8,https://www.thesak.com/products/ella-clog-sandal-leather-black
711640683699,49.50,Leather - Black / 9,https://www.thesak.com/products/ella-clog-sandal-leather-black
711640683705,49.50,Leather - Black / 10,https://www.thesak.com/products/ella-clog-sandal-leather-black
