UPC,Price,Variant,Source Link
0400422900566,64.00,XS / White / KN4127991-800,https://www.toddsnyder.com/collections/sale/products/short-sleeve-jersey-polowhite?variant=41334721478727
0400422900641,64.00,S / White / KN4127991-800,https://www.toddsnyder.com/collections/sale/products/short-sleeve-jersey-polowhite?variant=41334721511495
0400422900726,64.00,M / White / KN4127991-800,https://www.toddsnyder.com/collections/sale/products/short-sleeve-jersey-polowhite?variant=41334721544263
0400422900801,64.00,L / White / KN4127991-800,https://www.toddsnyder.com/collections/sale/products/short-sleeve-jersey-polowhite?variant=41334721577031
0400422900986,64.00,XL / White / KN4127991-800,https://www.toddsnyder.com/collections/sale/products/short-sleeve-jersey-polowhite?variant=41334721609799
0400422901068,64.00,XXL / White / KN4127991-800,https://www.toddsnyder.com/collections/sale/products/short-sleeve-jersey-polowhite?variant=41334721642567
0400422764366,54.00,XS / Golden Straw / PA600426-938,https://www.toddsnyder.com/collections/sale/products/5-linen-beachcombergolden-straw?variant=41250622079047
0400422764441,54.00,S / Golden Straw / PA600426-938,https://www.toddsnyder.com/collections/sale/products/5-linen-beachcombergolden-straw?variant=41250622111815
0400422764519,54.00,M / Golden Straw / PA600426-938,https://www.toddsnyder.com/collections/sale/products/5-linen-beachcombergolden-straw?variant=41250622144583
0400422764694,54.00,L / Golden Straw / PA600426-938,https://www.toddsnyder.com/collections/sale/products/5-linen-beachcombergolden-straw?variant=41250622177351
0400428481359,94.00,XS / Blacktop / KN2274000-010,https://www.toddsnyder.com/collections/sale/products/ss-linen-poloblacktop?variant=41410677702727
0400428481434,94.00,S / Blacktop / KN2274000-010,https://www.toddsnyder.com/collections/sale/products/ss-linen-poloblacktop?variant=41410677735495
0400428481502,94.00,M / Blacktop / KN2274000-010,https://www.toddsnyder.com/collections/sale/products/ss-linen-poloblacktop?variant=41410677768263
0400428481687,94.00,L / Blacktop / KN2274000-010,https://www.toddsnyder.com/collections/sale/products/ss-linen-poloblacktop?variant=41410677801031
0400422764779,54.00,XL / Golden Straw / PA600426-938,https://www.toddsnyder.com/collections/sale/products/5-linen-beachcombergolden-straw?variant=41250622210119
0400422764854,54.00,XXL / Golden Straw / PA600426-938,https://www.toddsnyder.com/collections/sale/products/5-linen-beachcombergolden-straw?variant=41250622242887
0400428481762,94.00,XL / Blacktop / KN2274000-010,https://www.toddsnyder.com/collections/sale/products/ss-linen-poloblacktop?variant=41410677833799
0400428481847,94.00,XXL / Blacktop / KN2274000-010,https://www.toddsnyder.com/collections/sale/products/ss-linen-poloblacktop?variant=41410677866567
0400421986226,144.00,XS / Blue Note / KN4450673-062,https://www.toddsnyder.com/collections/sale/products/ls-knit-jacquard-shirtblue-note?variant=41214844010567
0400421986301,144.00,S / Blue Note / KN4450673-062,https://www.toddsnyder.com/collections/sale/products/ls-knit-jacquard-shirtblue-note?variant=41214844043335
0400421986486,144.00,M / Blue Note / KN4450673-062,https://www.toddsnyder.com/collections/sale/products/ls-knit-jacquard-shirtblue-note?variant=41214844076103
0400421986554,144.00,L / Blue Note / KN4450673-062,https://www.toddsnyder.com/collections/sale/products/ls-knit-jacquard-shirtblue-note?variant=41214844108871
0400421986639,144.00,XL / Blue Note / KN4450673-062,https://www.toddsnyder.com/collections/sale/products/ls-knit-jacquard-shirtblue-note?variant=41214844141639
0400421986714,144.00,XXL / Blue Note / KN4450673-062,https://www.toddsnyder.com/collections/sale/products/ls-knit-jacquard-shirtblue-note?variant=41214844174407
0400405628036,74.00,XS / Vintage Brown / SH269075-260,https://www.toddsnyder.com/collections/sale/products/slim-fit-linen-point-collar-ls-shirtvintage-brown?variant=40408394399815
0400427958494,124.00,XS / Baja Dunes / SW7370289-213,https://www.toddsnyder.com/collections/sale/products/micro-geo-montauk-polobaja-dunes?variant=41454009122887
0400422774914,64.00,28/32 / British Khaki / PA1834418-273,https://www.toddsnyder.com/collections/sale/products/extended-tab-chinobritish-khaki?variant=41284688478279
0400405628111,74.00,S / Vintage Brown / SH269075-260,https://www.toddsnyder.com/collections/sale/products/slim-fit-linen-point-collar-ls-shirtvintage-brown?variant=40408394432583
0400422732013,134.00,XS / Smoked Mauve / KN4260573-619,https://www.toddsnyder.com/collections/sale/products/ls-textured-knit-shirtsmoked-mauve?variant=41284690411591
0400422732198,134.00,S / Smoked Mauve / KN4260573-619,https://www.toddsnyder.com/collections/sale/products/ls-textured-knit-shirtsmoked-mauve?variant=41284690444359
