UPC,Price,Variant,Source Link
045242505340,359.94,Default Title,https://toolup.com/products/milwaukee-packout-large-tool-box-kit-w-15-tool-bag-and-free-tool-box
885911819466,748.00,Default Title,https://toolup.com/products/dewalt-dcs379b-20v-max-bandsaw-kit-w-dcn930b-framing-nailer-and-free-dcb205-2c-battery-kit
885911405102,578.00,Default Title,https://toolup.com/products/dewalt-dch273b-20v-max-rotary-hammer-kit-w-dce580b-adhesive-gun-and-free-dcb205-2c-battery-kit
885911968027,478.00,Default Title,https://toolup.com/products/dewalt-dcs384b-20v-max-reciprocating-saw-kit-w-dce560b-caulking-gun-and-free-dcb205-2c-battery-kit
885911377614,558.00,Default Title,https://toolup.com/products/dewalt-dcf898b-impact-wrench-kit-w-dch273b-rotary-hammer-and-free-dcb205-battery-kit
885911454162,549.00,Default Title,https://toolup.com/products/dewalt-dcs7485b-60v-max-flexvolt-table-saw-w-dcb606-20-60v-max-flexvolt-battery
885911405102,558.00,Default Title,https://toolup.com/products/dewalt-dch273b-20v-max-rotary-hammer-kit-w-dce560b-caulking-gun-and-free-dcb205-2c-battery-kit
885911500555,429.00,Default Title,https://toolup.com/products/dewalt-dcs520b-tracksaw-kit-w-free-dcb606-flexvolt-battery
885911405102,498.00,Default Title,https://toolup.com/products/dewalt-dch273b-rotary-hammer-kit-w-dcw200b-sander-and-free-dcb205-battery-kit
885911458498,3899.00,Default Title,https://toolup.com/products/dewalt-dce300m2-20v-max-crimping-tool-kit-w-free-dce150d1-20v-cutting-tool-kit
885911595292,688.00,Default Title,https://toolup.com/products/dewalt-dcs376b-bandsaw-kit-w-dch273b-rotary-hammer-and-free-dcb205-battery-kit
045242350636,219.00,Default Title,https://toolup.com/products/milwaukee-48-59-1850-starter-kit-w-free-2760-20-hydraulic-driver
840163201506,309.99,Default Title,https://toolup.com/products/flex-fx2141r-z-7-1-4-circular-saw-bare-tool-w-free-fx0411-1f-3-5ah-starter-kit
045242505333,308.97,Default Title,https://toolup.com/products/milwaukee-48-22-8424-tool-box-kit-w-48-22-8428-rolling-chest-and-free-48-22-8424-tool-box
045242531691,323.97,Default Title,https://toolup.com/products/milwaukee-packout-cooler-kit-w-40qt-xl-cooler-and-free-tool-box
45242566402,449.00,Default Title,https://toolup.com/products/milwaukee-2880-22-m18-fuel%E2%84%A2-grinder-kit-w-free-2880-20-m18-fuel-grinder-bare
045242505333,328.97,Default Title,https://toolup.com/products/milwaukee-packout-tool-box-kit-w-40qt-xl-cooler-and-free-tool-box
885911736442,578.00,Default Title,https://toolup.com/products/dewalt-dcf892b-impact-wrench-kit-w-dch273b-rotary-hammer-and-free-dcb205-battery-kit
885911819466,618.00,Default Title,https://toolup.com/products/dewalt-dcs379b-band-saw-kit-w-dcs384b-reciprocating-saw-and-free-dcb205-2c-battery-kit
885911818476,728.00,Default Title,https://toolup.com/products/dewalt-dcf964b-20v-max-impact-wrench-kit-w-dch273b-rotary-hammer-and-free-dcb205-2c-battery-kit
885911982610,299.00,Default Title,https://toolup.com/products/dewalt-dcg407p1-grinder-kit-w-free-dcg407b-grinder
45242569427,279.00,Default Title,https://toolup.com/products/milwaukee-2888-20-m18-fuel-4-1-2-braking-grinder-w-free-2983-20-impact-driver
885911736435,578.00,Default Title,https://toolup.com/products/dewalt-dcf891b-20v-max-impact-wrench-kit-w-dch273b-rotary-hammer-and-free-dcb205-battery-kit
885911405102,658.00,Default Title,https://toolup.com/products/dewalt-dch273b-20v-max-brushless-rotary-hammer-2-pack-kit-w-free-dcb205-2c-20v-max-5ah-battery-kit
885911955935,399.00,Default Title,https://toolup.com/products/dewalt-dcb205-2c-battery-kit-w-free-dcs334b-jig-saw-and-free-dcw600b-router
045242524044,309.94,Default Title,https://toolup.com/products/milwaukee-48-22-8321-tool-bag-kit-w-48-22-8317-tote-and-free-48-22-8424-box
045242524051,303.97,Default Title,https://toolup.com/products/milwaukee-20-packout-tool-bag-kit-w-rolling-tool-chest-and-free-tool-box
885911709958,508.00,Default Title,https://toolup.com/products/dewalt-dce555b-drywall-cut-out-tool-kit-w-dch273b-rotary-hammer-and-free-dcb205-2c-battery-kit
045242593149,629.00,Default Title,https://toolup.com/products/milwaukee-3632-21-m12-green-laser-kit-w-free-48-11-2440-m12-xc4-0-battery-pack
885911700115,548.00,Default Title,https://toolup.com/products/dewalt-dcf923b-impact-wrench-kit-w-dch273b-rotary-hammer-and-free-dcb205-2c-battery-kit
