UPC,Price,Variant,Source Link
885911177801,859.00,Default Title,https://toolup.com/products/dewalt-dw735x-13-three-knife-two-speed-thickness-planer-1
885911676083,189.00,Default Title,https://toolup.com/products/dewalt-dcbl722p1-20v-max-xr-brushless-handheld-blower-1
885911890250,338.26,Default Title,https://toolup.com/products/dewalt-dcs570h1-20v-max-xr-brushless-cordless-7-1-4-in-circular-saw-kit-with-dewalt-powerstack-5-0ah-battery-1
885911497381,197.54,Default Title,https://toolup.com/products/dewalt-dce151b-20v-max-cordless-cable-stripper-tool-only
885911377614,239.00,Default Title,https://toolup.com/products/dewalt-dcf898b-20v-max-xr-li-ion-brushless-7-16-impact-wrench-quick-release-bare-tool
885911919210,149.35,Default Title,https://toolup.com/products/dewalt-dcd777d1-20v-max-compact-drill-driver-kit
885911703130,259.00,Default Title,https://toolup.com/products/dewalt-dwfp1kit-compressor-nailer-kit
885911524056,160.49,Default Title,https://toolup.com/products/dewalt-dccs620b-20-volt-max-12-cordless-brushless-chainsaw-bare-tool
885911379205,149.00,Default Title,https://toolup.com/products/dewalt-dwe304-10amp-120v-reciprocating-saw
885911362801,99.00,Default Title,https://toolup.com/products/dewalt-dcb205-20v-max-xr%C2%AE-5-0ah-lithium-ion-battery-pack
885911603850,169.00,Default Title,https://toolup.com/products/dewalt-dcd701f2-12v-max-drill-driver-kit
885911492775,178.52,Default Title,https://toolup.com/products/dewalt-dwe43113-4-1-2-to-5-high-performance-trigger-grip-grinder
885911477529,395.49,Default Title,https://toolup.com/products/dewalt-d25481k-1-9-16-sds-max-combination-hammer
885911333535,469.00,Default Title,https://toolup.com/products/dewalt-dwv010-8-gal-hepa-rrp-dust-extractor-vacuum-with-automatic-filter-cleaning
885911424530,219.00,Default Title,https://toolup.com/products/dewalt-dca2203c-20v-max-battery-adapter-kit-for-18v-tools
885911312349,278.60,Default Title,https://toolup.com/products/dewalt-dcs331m1-20v-max-lithium-ion-jig-saw-kit
885911841665,379.00,Default Title,https://toolup.com/products/dewalt-dck249m2-20v-max-xr-brushless-2-tool-combo-kit-with-2-4-0ah-batteries-and-charger
885911622301,409.46,Default Title,https://toolup.com/products/dewalt-dch263r2-20v-max-1-1-8-sds-plus-d-handle-rotary-hammer-kit
885911881111,299.00,Default Title,https://toolup.com/products/dewalt-dck2051d2-20v-max-xr-cordless-drill-driver-and-atomic-impact-driver-combo-kit-2-tool
885911906913,649.00,Default Title,https://toolup.com/products/dewalt-dws780-12-double-bevel-sliding-compound-miter-saw
885911812054,115.13,Default Title,https://toolup.com/products/dewalt-dcd794b-atomic-compact-series-20v-max-brushless-cordless-1-2-in-drill-driver-tool-only-2
885911375955,149.00,Default Title,https://toolup.com/products/dewalt-dcb205-2-20v-max-5-ah-battery-2-pack-1
099198416311,299.00,Default Title,https://toolup.com/products/dewalt-41631-dxst3000wb-2-shelf-industrial-4-foot-storage-rack-work-station-kit
885911262330,129.00,Default Title,https://toolup.com/products/dewalt-dcs380b-20v-max-li-ion-reciprocating-saw-tool-only
885911780551,152.15,Default Title,https://toolup.com/products/dewalt-dcd703f1-xtreme%E2%84%A2-12v-max-brushless-cordless-5-in-1-drill-driver-kit-2
885911801454,239.00,Default Title,https://toolup.com/products/dewalt-dcd800d1e1-dewalt-20v-xr-compact-drill-driver-w-powerstack
885911481564,799.00,Default Title,https://toolup.com/products/dewalt-dck620d2-20v-compact-6-tool-combo-kit
885911906906,449.00,Default Title,https://toolup.com/products/dewalt-dws779-12-sliding-double-bevel-compound-miter-saw-15-amp
