UPC,Price,Variant,Source Link
045242539550,312.47,Default Title,https://toolup.com/products/milwaukee-2840-20-m18-fuel-2-gallon-compact-quiet-compressor-2
045242637737,277.89,Default Title,https://toolup.com/products/milwaukee-2904-22-m18-fuel-1-2-hammer-drill-driver-kit-2
045242637720,171.58,Default Title,https://toolup.com/products/milwaukee-2904-20-m18-fuel-1-2-hammer-drill-driver-1
045242364244,127.83,Default Title,https://toolup.com/products/milwaukee-2890-20-m18-jobsite-radio
045242482320,499.00,Default Title,https://toolup.com/products/milwaukee-2727-21hd-m18-fuel-16-chainsaw-kit-1
045242604593,169.15,Default Title,https://toolup.com/products/milwaukee-2579-20-m12-stick-transfer-pump-2
045242271276,58.47,Default Title,https://toolup.com/products/milwaukee-48-59-1812-m12%E2%84%A2-m18%E2%84%A2-multi-voltage-charger
045242616657,110.49,Default Title,https://toolup.com/products/milwaukee-49-66-6818-shockwave-impact-duty-socket-1-2-drive-16-piece-mm-tray-set-1
045242566280,192.59,Default Title,https://toolup.com/products/milwaukee-2880-20-m18-fuel%E2%84%A2-4-1-2-5-grinder-paddle-switch-no-lock-2
045242502776,167.63,Default Title,https://toolup.com/products/milwaukee-2719-20-m18-fuel-hackzall-bare-tool-1
045242533381,174.26,Default Title,https://toolup.com/products/milwaukee-48-11-1865-m18-redlithium-high-output-xc6-0-battery-pack-2
045242313655,119.15,Default Title,https://toolup.com/products/milwaukee-2626-20-m18-oscillating-multi-tool-bare-tool
045242775149,492.15,Default Title,https://toolup.com/products/milwaukee-48-59-1852b-m18-18v-lithium-ion-starter-kit-with-two-xc-5-0-ah-battery-packs-and-multi-voltage-charger-1
045242610495,209.68,Default Title,https://toolup.com/products/milwaukee-2476-20-m12-fuel-16-gauge-variable-speed-nibbler-2
045242637713,268.21,Default Title,https://toolup.com/products/milwaukee-2903-22-m18-fuel-1-2-drill-driver-kit-1
045242318834,177.87,Default Title,https://toolup.com/products/milwaukee-2520-21xc-m12-fuel-hackzall-recip-saw-kit
045242293681,110.63,Default Title,https://toolup.com/products/milwaukee-48-59-1806-m18-six-pack-sequential-charger
045242572052,154.27,Default Title,https://toolup.com/products/milwaukee-2366-20-m18-rover-dual-power-flood-light-4
