UPC,Price,Variant,Source Link
095691635884,11045.91,Default Title,https://toolup.com/products/ridgid-63588-325-standard-35mm-non-sl-trusense-color-reel
095691635839,10918.98,Default Title,https://toolup.com/products/ridgid-63583-325-seesnake-standard-35mm-sl-trusense-color-reel
095691636584,9032.91,Default Title,https://toolup.com/products/ridgid-63658-seesnake%C2%AE-rm200a-reel-200-61m-with-self-leveling-camera-powered-with-trusense%C2%AE
095691636287,8316.36,Default Title,https://toolup.com/products/ridgid-63628-200-mini-30mm-trusense-self-leveling-color-reel
095691781987,3070.04,Default Title,https://toolup.com/products/ridgid-78198-rp-251-press-tool-battery-kit-with-propress-rings-1-2-1-1-4-and-c1-actuator
095691636034,9849.64,Default Title,https://toolup.com/products/ridgid-63603-200-seesnake-standard-35mm-sl-trusense-color-reel
095691665287,2483.80,Default Title,https://toolup.com/products/ridgid-66528-csx-via-wi-fi-control-device-kit-with-two-2-batteries-and-charger-for-seesnake-camera-reels
095691572783,5465.58,Default Title,https://toolup.com/products/ridgid-57278-cs12x-seesnake-digital-recording-monitor-with-wi-fi
095691720139,2332.52,Default Title,https://toolup.com/products/ridgid-72013-760-fxp-power-drive-12-r-2x-4ah-fxp-batteries-fxp-charger-support-arm-case
095691636331,8333.78,Default Title,https://toolup.com/products/ridgid-63633-200-mini-30mm-non-sl-trusense-color-reel
095691485533,3420.51,Default Title,https://toolup.com/products/ridgid-48553-1-2-to-2-megapress-kit
095691924421,393.48,Default Title,https://toolup.com/products/ridgid-92442-drive-groove-roll-set-for-8-12-sch-10-steel-stainless-pvc
095691924520,363.19,Default Title,https://toolup.com/products/ridgid-92452-915-manual-2-8-roll-groover-set-with-drive
095691449283,2257.18,Default Title,https://toolup.com/products/ridgid-44928-690-i-hand-held-power-drive-1-8-2
095691483829,4832.61,Default Title,https://toolup.com/products/ridgid-48382-48382r-918-4-hydraulic-roll-groover-with-1224-threading-machine-mount-kit
095691362735,572.39,Default Title,https://toolup.com/products/ridgid-36273-6-portable-tristand-chain-vise
095691480934,6756.28,Default Title,https://toolup.com/products/ridgid-48093-seesnake-compact2-reel-with-self-leveling-camera-ntsc
095691419354,1855.86,Default Title,https://toolup.com/products/ridgid-41935-700-power-drive-115v-pipe-threader
095691401953,278.17,Default Title,https://toolup.com/products/ridgid-40195-bc410-top-screw-bench-chain-vise
095691671820,7576.72,Default Title,https://toolup.com/products/ridgid-67182-300-compact-threader-with-250-stand
095691572882,5979.43,Default Title,https://toolup.com/products/ridgid-57288-cs12x-seesnake-digital-recording-monitor-kit-with-wi-fi
095691756022,7576.72,Default Title,https://toolup.com/products/ridgid-75602-52-rpm-300-compact-pipe-threading-machine-w-250-stand
095691450074,1379.32,Default Title,https://toolup.com/products/ridgid-45007-916-portable-power-driven-roll-pipe-groover
095691781482,2593.49,Default Title,https://toolup.com/products/ridgid-78148-rp-251-press-tool-battery-kit-with-propress-jaws-1-2-1-1-4
095691603821,1385.35,Default Title,https://toolup.com/products/ridgid-60382-916-power-driven-roll-groover-for-model-535-threading-machine
095691670533,4183.02,Default Title,https://toolup.com/products/ridgid-67053-rp-350-press-tool-kit-battery-and-charger-1-2-2-propress-jaws
095691924377,323.69,Default Title,https://toolup.com/products/ridgid-92437-set-of-grooves-1-1-4-1-1-2-sch-10-or-40-steel-stainless-pvc
095691669476,6694.85,Default Title,https://toolup.com/products/ridgid-66947-model-300-compact-threading-machine
095691402103,493.22,Default Title,https://toolup.com/products/ridgid-40210-bc610-top-screw-bench-chain-vise
095691492982,4499.14,Default Title,https://toolup.com/products/ridgid-49298-b-500-portable-pipe-beveller-with-37-1-2-degree-cutter-head
095691482976,4804.00,Default Title,https://toolup.com/products/ridgid-48297-918-1-roll-groover-w-mounting-kit-for-300-machine
095691725530,1488.16,Default Title,https://toolup.com/products/ridgid-72553-rp-115-battery-kit-with-propress-jaws-1-2-3-4
095691218933,3288.14,Default Title,https://toolup.com/products/ridgid-21893-sr-20-seektech-lightweight-and-utility-line-receiver-locator-up-to-35-khz
095691483072,1385.35,Default Title,https://toolup.com/products/ridgid-48307-48307r-916-roll-groover-for-model-1822-threading-machine
095691687685,6067.82,Default Title,https://toolup.com/products/ridgid-68768-cs65xr-monitor
095691734471,6539.32,Default Title,https://toolup.com/products/ridgid-73447-compact-115-volt-threading-machine-1-2-2-52-rpm
095691636638,10047.66,Default Title,https://toolup.com/products/ridgid-63663-seesnake%C2%AE-rm200b-reel-165-50m-with-self-leveling-camera-powered-with-trusense%C2%AE
095691787330,9300.90,Default Title,https://toolup.com/products/ridgid-78733-200-seesnake-standard-dsl-inspection-camera-with-trusense-technology
095691924476,387.63,Default Title,https://toolup.com/products/ridgid-92447-drive-groove-roll-set-for-4-6-sch-40-steel-stainless-pvc
095691636133,9881.09,Default Title,https://toolup.com/products/ridgid-63613-200-standard-35mm-non-sl-trusense-color-reel
095691449184,2269.77,Default Title,https://toolup.com/products/ridgid-44918-model-600-i-hand-held-power-drive-kit-pipe-threading-machine-and-1-2-inch-to-1-1-4-inch-11-r-npt-pipe-threading-die-heads-with-carrying-case-for-threading-pipe
095691665232,1984.95,Default Title,https://toolup.com/products/ridgid-66523-csx-via-wifi-control-device-for-seesnake-camera-reels
095691781581,2434.64,Default Title,https://toolup.com/products/ridgid-78158-rp-251-press-tool-battery-kit-wih-propress-jaws-1-2-1
095691468529,1385.35,Default Title,https://toolup.com/products/ridgid-46852-916-roll-groover-for-300-power-drive-copper-tubing
095691485588,984.81,Default Title,https://toolup.com/products/ridgid-48558-1-2-to-1-megapress-standard-kit
095691483874,4879.43,Default Title,https://toolup.com/products/ridgid-48387-918-5-hydraulic-roll-groover-with-535-threading-machine-mount-kit
095691362780,872.69,Default Title,https://toolup.com/products/ridgid-36278-460-12-12-portable-tristand-chain-vise
095691782083,3652.49,Default Title,https://toolup.com/products/ridgid-78208-rp-251-press-tool-battery-kit-with-propress-rings-jaws-1-2-1-1-4-and-c1-actuator
095691418555,3250.83,Default Title,https://toolup.com/products/ridgid-41855-300-power-drive-only-with-foot-switch
