UPC,Price,Variant,Source Link
717470228871,29.99,Black,https://www.tozostore.com/products/crystal-pods-headphone?variant=50489365397793
717470228888,32.99,White,https://www.tozostore.com/products/crystal-pods-headphone?variant=50590482006305
717687767088,32.99,Pink,https://www.tozostore.com/products/crystal-pods-headphone?variant=50638509867297
717687767095,32.99,Blue,https://www.tozostore.com/products/crystal-pods-headphone?variant=50644570898721
6971681318415,69.99,Black,https://www.tozostore.com/products/open-buds?variant=45649557618977
6971681318712,69.99,White,https://www.tozostore.com/products/open-buds?variant=47440288481569
6971681318989,69.99,Blue,https://www.tozostore.com/products/open-buds?variant=47999037112609
6971681318705,69.99,Pink,https://www.tozostore.com/products/open-buds?variant=47607743480097
717687768078,17.99,Black,https://www.tozostore.com/products/t12-charging-case?variant=44916171538721
6971681318620,39.99,Black,https://www.tozostore.com/products/s7-smartwatch?variant=50566240403745
6971681317791,29.99,Ergonomic with APP Edition (2025) / Black,https://www.tozostore.com/products/t10?variant=44909961216289
6971681317838,29.99,Ergonomic with APP Edition (2025) / Matte Khaki,https://www.tozostore.com/products/t10?variant=48119125246241
6971681317821,29.99,Ergonomic with APP Edition (2025) / Matte Blue,https://www.tozostore.com/products/t10?variant=44909961347361
6971681317814,29.99,Ergonomic with APP Edition (2025) / Matte Gray,https://www.tozostore.com/products/t10?variant=48119125213473
6971681317807,29.99,Ergonomic with APP Edition (2025) / Matte White,https://www.tozostore.com/products/t10?variant=48119125279009
6971681310570,28.99,Classic Edition / Black,https://www.tozostore.com/products/t10?variant=47893297299745
6971681312857,28.99,Classic Edition / Matte Khaki,https://www.tozostore.com/products/t10?variant=48119125147937
6971681312840,28.99,Classic Edition / Matte Blue,https://www.tozostore.com/products/t10?variant=47893297430817
6971681312833,28.99,Classic Edition / Matte Gray,https://www.tozostore.com/products/t10?variant=48119125115169
6971681311560,28.99,Classic Edition / Matte White,https://www.tozostore.com/products/t10?variant=48119125180705
717687767002,19.99,White,https://www.tozostore.com/products/nc2-charging-case?variant=44916168392993
717687766951,19.99,Black,https://www.tozostore.com/products/nc2-charging-case?variant=44916168425761
717687766999,19.99,Blue,https://www.tozostore.com/products/nc2-charging-case?variant=44916168458529
6971681318514,59.99,Black,https://www.tozostore.com/products/s5?variant=47746137981217
6971681316565,69.99,Orange,https://www.tozostore.com/products/s5?variant=49014422929697
6971681316558,79.99,Titanium Gray,https://www.tozostore.com/products/s5?variant=49014422896929
1000000841340,49.99,Default Title,https://www.tozostore.com/products/s8-smartwatch?variant=51510748774689
6971681318507,42.99,Black,https://www.tozostore.com/products/ht2?variant=47482257309985
6971681318743,52.99,khaki,https://www.tozostore.com/products/ht2?variant=47608820760865
6971681318873,52.99,Purple,https://www.tozostore.com/products/ht2?variant=48366354497825
6971681318736,52.99,Pink,https://www.tozostore.com/products/ht2?variant=47608820728097
6971681318729,52.99,White,https://www.tozostore.com/products/ht2?variant=47521129300257
6971681318866,52.99,Dark-Red,https://www.tozostore.com/products/ht2?variant=48779499045153
6971681318941,52.99,Red,https://www.tozostore.com/products/ht2?variant=48366354530593
6971681318859,52.99,Blue,https://www.tozostore.com/products/ht2?variant=47608820695329
6971681316602,39.99,Black,https://www.tozostore.com/products/pe1-speaker?variant=50489078579489
6971681310709,39.99,Blue,https://www.tozostore.com/products/pe1-speaker?variant=50489078612257
6971681310471,39.99,Red,https://www.tozostore.com/products/pe1-speaker?variant=50867931185441
1000000767485,39.99,Default Title,https://www.tozostore.com/products/pm1?variant=51367739785505
6971681314301,13.99,Matte Black,https://www.tozostore.com/products/w1?variant=44913783963937
6971681311690,13.99,Yellow,https://www.tozostore.com/products/w1?variant=44913783898401
6971681311638,13.99,Gray,https://www.tozostore.com/products/w1?variant=44913783931169
6971681311676,13.99,Gold & White,https://www.tozostore.com/products/w1?variant=44913783996705
6971681314332,13.99,Champagne,https://www.tozostore.com/products/w1?variant=44913784029473
6971681314363,13.99,Green,https://www.tozostore.com/products/w1?variant=44913784062241
6971681314752,13.99,Light Blue,https://www.tozostore.com/products/w1?variant=44913784095009
6971681314516,13.99,Navy Blue,https://www.tozostore.com/products/w1?variant=44913784127777
6971681314325,13.99,Rose Gold,https://www.tozostore.com/products/w1?variant=44913784160545
6971681311652,13.99,Royal Blue,https://www.tozostore.com/products/w1?variant=44913784193313
6971681314356,13.99,Sky Blue,https://www.tozostore.com/products/w1?variant=44913784226081
6971681311645,13.99,Space Gray,https://www.tozostore.com/products/w1?variant=44913784258849
