UPC,Price,Variant,Source Link
840474426681,113.00,4XS_00-0 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441826963502
840474426698,113.00,3XS_2-4 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441826996270
840474406287,50.00,4XS_00-0 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906390574
840474426704,113.00,2XS_6-8 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827029038
840474406294,50.00,3XS_2-4 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906423342
840474406300,50.00,2XS_6-8 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906456110
840474426711,113.00,XS_10-12 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827061806
840474418655,88.00,4XS_00-0 / Indigo Waterfall Print,https://www.universalstandard.com/products/kiani-voile-robe-indigo-waterfall-print?variant=41372318269486
840474406317,50.00,XS_10-12 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906488878
840474426728,113.00,S_14-16 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827094574
840474418662,88.00,3XS_2-4 / Indigo Waterfall Print,https://www.universalstandard.com/products/kiani-voile-robe-indigo-waterfall-print?variant=41372318302254
840474406324,50.00,S_14-16 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906521646
840474426735,113.00,M_18-20 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827127342
840474418679,88.00,2XS_6-8 / Indigo Waterfall Print,https://www.universalstandard.com/products/kiani-voile-robe-indigo-waterfall-print?variant=41372318335022
840474406331,50.00,M_18-20 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906554414
840474426742,113.00,L_22-24 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827160110
840474418686,88.00,XS_10-12 / Indigo Waterfall Print,https://www.universalstandard.com/products/kiani-voile-robe-indigo-waterfall-print?variant=41372318367790
840474406348,50.00,L_22-24 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906587182
840474426759,113.00,XL_26-28 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827192878
840474418693,88.00,S_14-16 / Indigo Waterfall Print,https://www.universalstandard.com/products/kiani-voile-robe-indigo-waterfall-print?variant=41372318400558
840474406355,50.00,XL_26-28 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906619950
840474426766,113.00,2XL_30-32 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827225646
840474426773,113.00,3XL_34-36 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827258414
840474426780,113.00,4XL_38-40 / Lipstick,https://www.universalstandard.com/products/zoey-liquid-jersey-jumpsuit-lipstick?variant=41441827291182
840474418709,88.00,M_18-20 / Indigo Waterfall Print,https://www.universalstandard.com/products/kiani-voile-robe-indigo-waterfall-print?variant=41372318433326
840474406362,50.00,2XL_30-32 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906652718
840474418716,88.00,L_22-24 / Indigo Waterfall Print,https://www.universalstandard.com/products/kiani-voile-robe-indigo-waterfall-print?variant=41372318466094
840474422720,89.00,4XS_00-0 / Ruby Red,https://www.universalstandard.com/products/kuki-linen-top-ruby-red?variant=41441829126190
840474406379,50.00,3XL_34-36 / Coral Reef,https://www.universalstandard.com/products/dakota-denim-skirt-coral-reef?variant=41282906685486
840474418211,68.00,4XS_00-0 / White,https://www.universalstandard.com/products/lulu-cotton-eyelet-shorts-white?variant=41382091161646
