UPC,Price,Variation,Source Link
'197651662050,74.99,Tortilla / 5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662067,74.99,Tortilla / 5.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662074,74.99,Tortilla / 6,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662081,74.99,Tortilla / 6.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662098,74.99,Tortilla / 7,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662104,74.99,Tortilla / 7.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662111,74.99,Tortilla / 8,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662128,74.99,Tortilla / 8.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662135,74.99,Tortilla / 9,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662142,74.99,Tortilla / 9.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662159,74.99,Tortilla / 10,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662166,74.99,Tortilla / 11,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'197651662173,74.99,Tortilla / 12,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-lylah-kitten-heel-sandal-tortilla
'191707419650,110.00,Black / 5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419667,110.00,Black / 5.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419674,110.00,Black / 6,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419681,110.00,Black / 6.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419698,110.00,Black / 7,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419704,110.00,Black / 7.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419711,110.00,Black / 8,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419728,110.00,Black / 8.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419735,110.00,Black / 9,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419742,110.00,Black / 9.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419759,110.00,Black / 10,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419766,110.00,Black / 11,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'191707419773,110.00,Black / 12,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-brissia-wedge-mule-black
'197651721290,99.00,Egyptian Gold / 5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721306,99.00,Egyptian Gold / 5.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721313,99.00,Egyptian Gold / 6,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721320,99.00,Egyptian Gold / 6.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721337,99.00,Egyptian Gold / 7,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721344,99.00,Egyptian Gold / 7.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721351,99.00,Egyptian Gold / 8,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721368,99.00,Egyptian Gold / 8.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721375,99.00,Egyptian Gold / 9,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721382,99.00,Egyptian Gold / 9.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721399,99.00,Egyptian Gold / 10,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721405,99.00,Egyptian Gold / 11,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651721412,99.00,Egyptian Gold / 12,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-egyptian-gold
'197651720637,99.00,Emerald Green / 5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720644,99.00,Emerald Green / 5.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720651,99.00,Emerald Green / 6,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720668,99.00,Emerald Green / 6.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720675,99.00,Emerald Green / 7,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720682,99.00,Emerald Green / 7.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720699,99.00,Emerald Green / 8,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720705,99.00,Emerald Green / 8.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720712,99.00,Emerald Green / 9,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720729,99.00,Emerald Green / 9.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720736,99.00,Emerald Green / 10,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720743,99.00,Emerald Green / 11,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651720750,99.00,Emerald Green / 12,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-linanna-mule-emerald-green
'197651721627,129.00,Black / 5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721634,129.00,Black / 5.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721641,129.00,Black / 6,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721658,129.00,Black / 6.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721665,129.00,Black / 7,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721672,129.00,Black / 7.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721689,129.00,Black / 8,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721696,129.00,Black / 8.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721702,129.00,Black / 9,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721719,129.00,Black / 9.5,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
'197651721726,129.00,Black / 10,https://www.vincecamuto.com/collections/buy-more-save-more-event/products/vince-camuto-alinna-o-ring-strappy-sandal-black
