UPC,Price,Promotion,Source URL
857682003863,4.89,[Use code 20FOODIE to save 20%],https://www.vitacost.com/barnana-organic-ridged-plantain-chips-himalayan-pink-sea-salt
011110786562,5.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/simple-truth-organic-beef-jerky-original
039978533005,5.39,[Use code 20FOODIE to save 20%],https://www.vitacost.com/bobs-red-mill-non-gmo-whole-wheat-flour
070718001231,4.59,[Use code 20FOODIE to save 20%],https://www.vitacost.com/bar-harbor-wild-petite-sardines-in-extra-virgin-olive-oil
089836023025,3.49,[Use code 20FOODIE to save 20%],https://www.vitacost.com/frontier-co-op-baking-soda
013562000517,5.59,[Use code 20FOODIE to save 20%],https://www.vitacost.com/annies-organic-cinnamon-graham-crackers
815421018004,4.49,[Use code 20FOODIE to save 20%],https://www.vitacost.com/jovial-organic-gluten-free-mac-cheese
687456230054,3.49,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/madegood-star-puffed-sea-salt-crackers
022506541009,11.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/spectrum-essentials-organic-cold-milled-ground-premium-flaxseed
815421011302,5.79,[Use code 20FOODIE to save 20%],https://www.vitacost.com/jovial-organic-brown-rice-pasta-gluten-free-traditional-egg-tagliatelle
039978041548,5.29,[Use code 20FOODIE to save 20%],https://www.vitacost.com/bobs-red-mill-kosher-whole-grain-rolled-oats-old-fashioned
024182029307,5.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/eden-foods-organic-garbanzo-beans
011110858467,1.89,[Use code 20FOODIE to save 20%],https://www.vitacost.com/simple-truth-organic-spaghetti
850016813046,6.39,[Use code 20FOODIE to save 20%],https://www.vitacost.com/three-wishes-gluten-free-cereal-high-protein-vanilla-frosted
039978111104,3.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/bobs-red-mill-10-grain-hot-cereal-25-oz-3
058449410089,4.19,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/natures-path-organic-unfrosted-toaster-pastries
072457880559,5.41,[Use code 20FOODIE to save 20%],https://www.vitacost.com/walden-farms-syrup-zero-calorie
011110126764,6.09,[Use code 20FOODIE to save 20%],https://www.vitacost.com/simple-truth-organic-black-mulberry-juice
687456230047,3.39,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/madegood-organic-star-puffed-crackers
026938737610,10.60,[Use code 20FOODIE to save 20%],https://www.vitacost.com/woodstock-non-gmo-kosher-almond-butter-smooth-lightly-toasted
067275000357,4.39,[Use code 20FOODIE to save 20%],https://www.vitacost.com/crofters-organic-fruit-spread-wild-blueberry-10-oz
829354102235,3.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/sun-tropics-mochi-snack-bites
072368508566,3.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/delallo-organic-whole-wheat-elbows-no-52-pasta
089836185327,16.09,[Use code 20FOODIE to save 20%],https://www.vitacost.com/simply-organic-extract
093856992193,4.39,[Use code 20FOODIE to save 20%],https://www.vitacost.com/natures-charm-condensed-coconut-milk-sweetened
045518009022,6.89,[Use code 20FOODIE to save 20%],https://www.vitacost.com/feridies-gourmet-virginia-peanuts-salted
042272005833,4.79,[Use code 20FOODIE to save 20%],https://www.vitacost.com/amys-organic-soup-light-in-sodium-lentil
039978018151,5.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/bobs-red-mill-gluten-free-kosher-organic-coconut-flour
042608459750,6.30,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/lakewood-juice-not-from-concentrate-organic-non-gmo-pure-pink-grapefruit
047593215916,7.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/shiloh-farms-organic-quinoa-flakes-16-oz
042563009069,8.48,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/woodstock-organic-kosher-dark-chocolate-covered-almonds
089125120077,11.36,[Use code 20FOODIE to save 20%],https://www.vitacost.com/ancient-harvest-traditional-quinoa
842638005039,12.59,[Use code 20FOODIE to save 20%],https://www.vitacost.com/pascha-organic-dark-chocolate-baking-chips-100-cacao
700596000117,8.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/spry-dental-defense-sugar-free-gum-with-xylitol
856017003448,6.19,[Use code 20FOODIE to save 20%],https://www.vitacost.com/birch-benders-paleo-grain-free-pancake-waffle-mix
708953601069,2.18,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/lotus-foods-buckwheat-mushroom-rice-ramen-with-vegetable-broth-2-8-oz
076950450110,4.19,[Use code 20FOODIE to save 20%],https://www.vitacost.com/yogi-tea-organic-caffeine-free
698997806158,6.79,[Use code 20FOODIE to save 20%],https://www.vitacost.com/udis-gluten-free-granola-au-naturel
011110090119,1.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/private-selection-italian-trottole-pasta
815421011104,4.49,[Use code 20FOODIE to save 20%],https://www.vitacost.com/jovial-organic-einkorn-whole-wheat-spaghetti-pasta
810091781586,5.79,[Use code 20FOODIE to save 20%],https://www.vitacost.com/siete-maiz-corn-taco-shells-made-with-avocado-oil
898655000212,7.89,[Use code 20FOODIE to save 20%],https://www.vitacost.com/tillen-farms-bada-bing-cherries-pitted-stem-on
011206000343,2.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/edward-sons-baked-brown-rice-snaps
844197025053,2.19,[Use code 20FOODIE to save 20%],https://www.vitacost.com/vitacost-gluten-free-non-gmo-black-eyed-peas
089836188311,1.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/simply-organic-dressing-mix-italian
680692101089,5.89,[Use code 20FOODIE to save 20%],https://www.vitacost.com/numi-tea-jasmine-green
