UPC,Price,Variant,Source Link
643985023369,399.00,Default Title,https://www.walkingpad.com/products/w1b-foldable-exercise-bike?variant=46079820955905
643985023222,399.00,Grey,https://www.walkingpad.com/products/walkingpad-office-chair?variant=44652558778625
768173021290,449.00,White,https://www.walkingpad.com/products/walkingpad-c2-foldable-walking-machine?variant=40860148727973
768173021344,899.00,Default Title,https://www.walkingpad.com/products/walkingpad-x21-foldable-treadmill?variant=42639453683969
643985023222,399.00,Black,https://www.walkingpad.com/products/walkingpad-office-chair?variant=44652553830657
643985023031,299.00,White,https://www.walkingpad.com/products/walkingpad-c1-walking-machine?variant=43051809276161
780627679000,799.00,Walnut,https://www.walkingpad.com/products/wm10-trifold-water-rowing-machine?variant=45943169155329
768173021313,799.00,Default Title,https://www.walkingpad.com/products/walkingpad-r2-foldable-treadmill?variant=42639465414913
654139422518,499.00,Default Title,https://www.walkingpad.com/products/walkingpad-mc11-workout-treadmill-for-running?variant=44193478639873
768173021283,449.00,Black,https://www.walkingpad.com/products/walkingpad-c2-foldable-walking-machine?variant=40887703240869
749565256902,349.00,No,https://www.walkingpad.com/products/walkingpad-z1-under-desk-treadmill?variant=46429224304897
768173021351,549.00,230 lbs / No,https://www.walkingpad.com/products/walkingpad-a1-pro-foldable-treadmill?variant=45807415329025
643985023048,699.00,Default Title,https://www.walkingpad.com/products/walkingpad-r1-pro-2in1-foldable-treadmill?variant=42639470592257
643985022973,349.00,No,https://www.walkingpad.com/products/walkingpad-z1-white-folding-treadmill?variant=46429223813377
6970492718612,859.00,Default Title,https://www.walkingpad.com/products/walkingpad-r2-hybrid-with-handle?variant=46615786684673
643985023154,299.00,Grey,https://www.walkingpad.com/products/walkingpad-c1-walking-machine?variant=36211553861797
780627678980,799.00,Red Oak,https://www.walkingpad.com/products/wm10-trifold-water-rowing-machine?variant=45943169122561
749565256896,449.00,Blue,https://www.walkingpad.com/products/walkingpad-c2-foldable-walking-machine?variant=43351106027777
,499.00,Yes,https://www.walkingpad.com/products/walkingpad-z1-under-desk-treadmill?variant=46429224337665
,599.00,230 lbs / Yes,https://www.walkingpad.com/products/walkingpad-a1-pro-foldable-treadmill?variant=46429089333505
,499.00,Yes,https://www.walkingpad.com/products/walkingpad-z1-white-folding-treadmill?variant=46429223846145
749565256872,449.00,Red,https://www.walkingpad.com/products/walkingpad-c2-foldable-walking-machine?variant=45667319972097
768173021351,599.00,300 lbs / No,https://www.walkingpad.com/products/walkingpad-a1-pro-foldable-treadmill?variant=45807415296257
,649.00,300 lbs / Yes,https://www.walkingpad.com/products/walkingpad-a1-pro-foldable-treadmill?variant=46429089366273
749565256889,449.00,Yellow,https://www.walkingpad.com/products/walkingpad-c2-foldable-walking-machine?variant=45667320004865
