UPC,Price,Variant,Source Link
802436475441,119.99,Black / 35 / Regular/Wide,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629550149
802436475809,119.99,Black / 35 / Medium/Narrow,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629812293
802436475472,119.99,Black / 36 / Regular/Wide,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629582917
802436475830,119.99,Black / 36 / Medium/Narrow,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629845061
802436475502,119.99,Black / 37 / Regular/Wide,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629615685
802436475861,119.99,Black / 37 / Medium/Narrow,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629877829
802436475533,119.99,Black / 38 / Regular/Wide,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629648453
802436475564,119.99,Black / 39 / Regular/Wide,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629681221
802436475953,119.99,Black / 40 / Medium/Narrow,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629910597
802436475625,119.99,Black / 41 / Regular/Wide,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629713989
802436475984,119.99,Black / 41 / Medium/Narrow,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629943365
802436475656,119.99,Black / 42 / Regular/Wide,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629746757
802436476042,119.99,Black / 43 / Medium/Narrow,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629976133
802436476103,119.99,Black / 45 / Medium/Narrow,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426630008901
802436475779,119.99,Black / 46 / Regular/Wide,https://www.zulily.com/products/birkenstock-boston-leather-clogs?variant=43426629779525
802436629417,109.99,Chunky Suede Black / 36 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818225221
802436633049,109.99,Chunky Suede Black / 37 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818257989
802436633070,109.99,Chunky Suede Black / 38 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818290757
802436633100,109.99,Chunky Suede Black / 39 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818323525
802436633131,109.99,Chunky Suede Black / 40 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818356293
822698501009,109.99,Ochre / 36 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818389061
822698501030,109.99,Ochre / 37 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818421829
822698501061,109.99,Ochre / 38 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818454597
822698501092,109.99,Ochre / 39 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818487365
822698501122,109.99,Ochre / 40 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818520133
822698501276,109.99,Taupe / 36 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818552901
822698501306,109.99,Taupe / 37 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818585669
822698501337,109.99,Taupe / 38 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818618437
822698501368,109.99,Taupe / 39 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818651205
822698501399,109.99,Taupe / 40 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818683973
822698501450,109.99,Taupe / 42 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818716741
887759754589,109.99,Fuchsia Tulip / 37 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818749509
887759757610,109.99,Fuchsia Tulip / 38 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818782277
887759757641,109.99,Fuchsia Tulip / 39 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818815045
887759757672,109.99,Fuchsia Tulip / 40 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818847813
887759757702,109.99,Fuchsia Tulip / 41 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41200818880581
822698501429,109.99,Taupe / 41 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=41523470008389
802436629387,109.99,Black / 35 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=43239745224773
802436633193,109.99,Black / 42 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=43239745257541
822698501245,109.99,Taupe / 35 / Medium/Narrow,https://www.zulily.com/products/birkenstock-arizona-platform-suede-leather-sandals?variant=43239745290309
