UPC,Price,Variant,Source Link
888392338471,75.00,Steel / Sapphire Iridium Polarized / O/S,https://www.zulily.com/products/oakley-mens-sliver-edge-polarized-sunglasses?variant=41997496090693
888392338457,75.00,Polished Black / Black Polarized / O/S,https://www.zulily.com/products/oakley-mens-sliver-edge-polarized-sunglasses?variant=42070556377157
888392214867,75.00,Polished Black/Black Iridium / O/S,https://www.zulily.com/products/oakley-mens-sliver-xl-sunglasses?variant=39289064194117
888392214850,75.00,Matte Brown Tortoise/Warm Grey / O/S,https://www.zulily.com/products/oakley-mens-sliver-xl-sunglasses?variant=31107588096069
888392214881,75.00,Matte Black/24K Iridium / O/S,https://www.zulily.com/products/oakley-mens-sliver-xl-sunglasses?variant=32015605006405
888392214836,75.00,Polished Clear/Jade / O/S,https://www.zulily.com/products/oakley-mens-sliver-xl-sunglasses?variant=39328696860741
888392332370,75.00,Matte Black / Jade Iridium Polarized / O/S,https://www.zulily.com/products/oakley-mens-targetline-polarized-sunglasses?variant=41997495926853
888392332387,75.00,Polished Black / Black Iridium Polarized / O/S,https://www.zulily.com/products/oakley-mens-targetline-polarized-sunglasses?variant=41997495992389
805289367604,75.00,Brown / Polarized Brown,https://www.zulily.com/products/ray-ban-mens-polarized-aviator-sunglasses-rb3267-brown?variant=40416411680837
713132572214,75.00,Black / Crystal Grey Gradient / O/S,https://www.zulily.com/products/ray-ban-rb4184-unisex-sunglasses-black-cry-gradient-grey?variant=40195798204485
713132572238,75.00,Matte Beige / Brown Gradient / O/S,https://www.zulily.com/products/ray-ban-rb4184-unisex-sunglasses-black-cry-gradient-grey?variant=42819019046981
713132572245,75.00,Blue / Blue Gradient Grey / O/S,https://www.zulily.com/products/ray-ban-rb4184-unisex-sunglasses-black-cry-gradient-grey?variant=42070556344389
713132572221,75.00,Light Havana / Crystal Brown Gradient / O/S,https://www.zulily.com/products/ray-ban-rb4184-unisex-sunglasses-black-cry-gradient-grey?variant=42194420891717
805289115021,75.00,Matte Black / Green,https://www.zulily.com/products/ray-ban-rb3293-sunglasses?variant=31939430776901
8053672066906,75.00,Black/Crystal Green / O/S,https://www.zulily.com/products/ray-ban-rb4194-sunglasses?variant=31886168424517
8053672066838,75.00,Havana Brown / Gradient Dark Brown / O/S,https://www.zulily.com/products/ray-ban-rb4194-sunglasses?variant=42063106637893
8053672066876,75.00,Matte Brown / Brown Gradient / O/S,https://www.zulily.com/products/ray-ban-rb4194-sunglasses?variant=42070565290053
8053672066852,75.00,Green Demi Gloss / Dark Green / O/S,https://www.zulily.com/products/ray-ban-rb4194-sunglasses?variant=42819026616389
888392589019,75.00,Matte Black Camo W/Ruby,https://www.zulily.com/products/oakley-mens-valve-polarized-sunglasses?variant=40478084071493
700285128375,75.00,Polished Black / Black Iridium Polarized,https://www.zulily.com/products/oakley-mens-valve-polarized-sunglasses?variant=31937266221125
700285879543,75.00,Matte Grey Smoke / Black Iridium,https://www.zulily.com/products/oakley-mens-valve-polarized-sunglasses?variant=31971695886405
700285941844,75.00,Polished Black/Deep Blue Polarized,https://www.zulily.com/products/oakley-mens-valve-polarized-sunglasses?variant=31934576590917
700285879536,75.00,Matte Fog / Grey Polarized,https://www.zulily.com/products/oakley-mens-valve-polarized-sunglasses?variant=31974329679941
