"UPC","Title","ASIN","Sales Rank 180","Price 180","New Count Offer 180","Monthly Sold","Buy Box 180"
"025784200125","Fiebing's White Saddle Soap for Leather (3.5 oz Tin) - Leather Cleaner & Conditioner to Soften & Protect Leathercraft, Car Seat, Couch, Shoe & Saddles","B00A2X5672","2554.0","19.99","19.0","1000","7.84"
"705105858272","Crazy Aaron's Thinking Putty - Liquid Glass - See-Through Putty for Kids and Adults in a 4"" Tin - Creative and Endless Fun, Stress Relief Therapy Toys, Never Dries Out - Made in USA","B004L13EXE","12953.0","17.1","20.0","900","14.49"
"025784300603","Fiebing's 100% Pure Neatsfoot Oil, 32 oz. - Natural Leather Preservative","B009P7694K","22285.0","25.99","18.0","300","17.91"
"196566002111","Squishmallows Original 10-Inch Felton The Siamese Cat - Official Jazwares Plush - Collectible Soft Squishy Kitty Stuffed Animal Toy - Add to Your Squad - Gift for Kids, Girls & Boys","B09QRTFBSP","16415.0","39.99","18.0","600","18.59"
"191726809982","Squishmallows Original 8-Inch Kuromi Jack O' Lantern- Hello Kitty - Official Jazwares Halloween Pumpkin Plush - Collectible Soft & Squishy Sanrio Stuffed Animal Toy - Gift for Kids, Girls & Boys","B0CSGBC8HS","104654.0","19.99","18.0","100","14.24"
"191726809975","Squishmallows Original 8-Inch Hello Kitty Jack O' Lantern - Official Jazwares Halloween Pumpkin Plush - Collectible Soft & Squishy Sanrio Stuffed Animal Toy - Gift for Kids, Girls & Boys","B0CSGC3BQQ","102549.0","19.99","19.0","300","14.82"
"796793011629","Fiebing's Yellow Saddle Soap for Leather (12 oz Tin) - Leather Cleaner & Conditioner to Soften, Protect & Restore Leathercraft - Leather Soap for Car Seat, Couch, Shoe, Purse, Boot, Bag, & Saddles","B00GRSVTK4","10212.0","19.99","15.0","100","10.99"
"796203067468","Manning Products Underground Exterminator Pest Control Reusable Exhaust Pipe Attachment- Exterminates Gophers, Moles, Skunks, Voles and All Outdoor Underground Pests Humanely with Exhaust from Cars","B0000BYDPE","33250.0","26.0","15.0","100","24.59"
"191726894834","Squishmallows 8-Inch Stitch - Official Jazwares Disney Movie Plush - Collectible Soft Squishy Stuffed Animal Toy - Gift for Kids, Girls, Boys","B0DB2KGQ5P","47421.0","19.99","15.0","200","17.37"
"025784300559","Fiebing's 100% Pure Neatsfoot Oil 16 oz - Leather Conditioner & Preservative with All Natural Animal Oil - Waterproof, Soften, Restore, & Strengthen Leathercraft Shoe, Boot, Belt, Saddle, Couch, Purse","B0000B3ASR","26959.0","19.99","16.0","100","14.76"
